"","Day","S","I","R"
"1",1,99954.6224505946,49.8649667049284,-4.48741729955002
"2",2,99945.0683929237,50.6736416195094,4.25796545680303
"3",3,99952.5290482852,52.3191912913394,-4.84823957648425
"4",4,99936.8809109622,51.1644997994805,11.9545892383164
"5",5,99905.5930797117,53.7795258713832,40.6273944168836
"6",6,99926.9128181531,52.1301316455159,20.9570502013746
"7",7,99920.4208926906,53.0966645558642,26.4824427535668
"8",8,99912.9028459886,54.8617971981334,32.23535681326
"9",9,99940.6953123558,55.6235652620162,3.6811223821303
"10",10,99915.7101438826,54.6525381181567,29.6373179992424
"11",11,99912.4888376552,57.6465145996991,29.8646477450799
"12",12,99893.6885046626,55.5994664888018,50.7120288486183
"13",13,99908.1351962546,56.4449014457776,35.4199022995888
"14",14,99893.5946924603,57.2829515415691,49.1223559981711
"15",15,99902.3540304189,58.524906084238,39.1210634969137
"16",16,99895.7407861726,58.2857805916701,45.9734332357889
"17",17,99886.1807468591,58.8660503342439,54.9532028066132
"18",18,99878.4806384204,60.2200957855462,61.2992657940655
"19",19,99885.9726282277,62.1847687616047,51.8426030106688
"20",20,99878.0201578496,62.2749583911672,59.7048837592068
"21",21,99884.0175151593,61.8473532122415,54.1351316284195
"22",22,99882.3948000526,62.4741043248584,55.1310956224852
"23",23,99890.9938380931,61.484341648575,47.5218202583611
"24",24,99878.7881317879,64.2561345721226,56.9557336399756
"25",25,99864.9932255875,63.1921920220047,71.8145823904234
"26",26,99838.5812664311,65.1975325488914,96.2212010200136
"27",27,99853.0588242247,68.1344101287198,78.8067656465175
"28",28,99841.4863984101,64.564965432249,93.9486361576442
"29",29,99848.3580604881,65.6550213421732,85.9869181696623
"30",30,99858.8335550112,66.2272797448088,74.9391652440147
"31",31,99845.7294927407,69.6768625062936,84.5936447529443
"32",32,99822.6331409223,67.0598360590846,110.307023018586
"33",33,99830.444253964,68.2830186985907,101.272727337384
"34",34,99824.4913951039,68.2059713537987,107.3026335423
"35",35,99839.5778169541,69.965024265547,90.4571587802815
"36",36,99839.9127857483,71.2043842776567,88.8828299739833
"37",37,99818.0621436104,71.8548306520066,110.08302573752
"38",38,99827.1377725645,72.6121309347815,100.250096500674
"39",39,99820.784129759,72.680787198008,106.535083042913
"40",40,99806.5135529396,74.9943377434405,118.492109316961
"41",41,99793.5427150565,74.9983194844985,131.458965458978
"42",42,99793.9738922284,74.7654548451779,131.260652926359
"43",43,99779.487373047,77.6211410150456,142.891485937928
"44",44,99780.2756442453,77.4919658802467,142.23238987443
"45",45,99783.4030474233,77.8698649559699,138.727087620668
"46",46,99774.4968523654,79.6566215686331,145.846526065937
"47",47,99770.0331609443,79.3899950117319,150.576844043927
"48",48,99775.2615586686,81.0814748936618,143.656966437756
"49",49,99770.9747557467,79.9881075780795,149.037136675156
"50",50,99757.4407163643,82.7097628235267,159.84952081216
"51",51,99752.2400738901,82.8274070023449,164.932519107552
"52",52,99731.6230618473,84.4248099956716,183.952128157011
"53",53,99730.6983280959,83.6995424414218,185.602129462715
"54",54,99735.5003396921,86.181529475569,178.318130832277
"55",55,99731.2018692369,85.0741799475416,183.723950815575
"56",56,99733.3279259522,88.2230328300286,178.449041217709
"57",57,99722.6703497961,86.8382214655138,190.49142873835
"58",58,99719.3751163225,88.7319253928165,191.892958284697
"59",59,99710.7063929851,89.4955624856229,199.798044529295
"60",60,99706.2056510356,91.4030839545481,202.391265009829
"61",61,99699.3166155965,90.7996296728225,209.883754730614
"62",62,99693.5848993023,92.925268285581,213.489832412108
"63",63,99681.1618996792,92.5483532488151,226.289747072006
"64",64,99676.7188874942,95.9552135255568,227.325898980204
"65",65,99674.3227684837,95.9747016099383,229.702529906374
"66",66,99682.0953168639,96.3673735476709,221.537309588375
"67",67,99670.5724299288,96.4655074885587,232.962062582624
"68",68,99650.8401227138,97.0144214468344,252.145455839386
"69",69,99659.57585176,99.759046149907,240.665102090105
"70",70,99655.1712713803,98.5343936446579,246.294334975001
"71",71,99625.6299702699,101.589509951554,272.780519778526
"72",72,99639.708059765,102.209548384777,258.082391850191
"73",73,99624.5305528808,100.293780936693,275.175666182536
"74",74,99613.2984094706,102.791216156078,283.910374373284
"75",75,99625.6657780571,103.897055331676,270.437166611238
"76",76,99598.0583882273,105.885488217647,296.056123555095
"77",77,99593.589070698,107.836463488613,298.574465813401
"78",78,99589.7950526004,107.29386666461,302.911080735036
"79",79,99596.0278004031,108.462215811631,295.509983785304
"80",80,99571.3995547375,110.880655018555,317.719790243935
"81",81,99568.2421897568,109.582394257962,322.17541598523
"82",82,99558.0735719513,110.466970143911,331.459457904836
"83",83,99560.4324950372,113.154381507274,326.413123455552
"84",84,99547.286836724,114.792419328955,337.920743947003
"85",85,99563.346173535,115.400244755858,321.253581709143
"86",86,99532.3254409151,116.19412601374,351.480433071118
"87",87,99554.1242973152,120.372851681709,325.502851003142
"88",88,99544.242584537,118.909542509696,336.847872953282
"89",89,99541.4474275296,120.626493623566,337.926078846789
"90",90,99523.6844824384,122.10744254726,354.208075014327
"91",91,99507.5878261741,123.360316161567,369.051857664326
"92",92,99492.6296721197,123.556752074749,383.813575805593
"93",93,99495.0091635807,125.014239252699,379.976597166636
"94",94,99495.4400271919,125.410926322105,379.149046485949
"95",95,99486.8318375535,128.951204507936,384.216957938553
"96",96,99468.6904751162,129.535821722052,401.773703161701
