"","Day","S","I","R"
"1",1,99971.0065755784,50.4311907182689,-21.4377662966269
"2",2,99971.0065755784,50.4311907182689,-21.4377662966269
"3",3,99962.7738346623,50.727283273022,-13.5011179352866
"4",4,99944.7281303703,51.3119500509543,3.95991957876903
"5",5,99940.120635882,53.7330808612293,6.14628325676522
"6",6,99929.3502046564,55.0480035756429,15.6017917679326
"7",7,99929.3502046564,55.0480035756429,15.6017917679326
"8",8,99929.3502046564,55.0480035756429,15.6017917679326
"9",9,99929.3502046564,55.0480035756429,15.6017917679326
"10",10,99929.3502046564,55.0480035756429,15.6017917679326
"11",11,99929.3502046564,55.0480035756429,15.6017917679326
"12",12,99929.3502046564,55.0480035756429,15.6017917679326
"13",13,99929.3502046564,55.0480035756429,15.6017917679326
"14",14,99929.3502046564,55.0480035756429,15.6017917679326
"15",15,99914.5647133642,58.8434619195967,26.5918247162128
"16",16,99914.5647133642,58.8434619195967,26.5918247162128
"17",17,99899.3752191968,59.3341835118726,41.2905972913332
"18",18,99894.2778275624,60.5872659674267,45.1349064702165
"19",19,99877.6255053024,60.3986460209618,61.9758486766312
"20",20,99873.5999080249,61.6918579699754,64.708234005108
"21",21,99867.2770659947,62.2574336917473,70.4655003135545
"22",22,99867.2770659947,62.2574336917473,70.4655003135545
"23",23,99867.2770659947,62.2574336917473,70.4655003135545
"24",24,99867.2770659947,62.2574336917473,70.4655003135545
"25",25,99863.9764519406,61.7919089156149,74.2316391437543
"26",26,99856.9045201807,63.0646761292154,80.0308036900534
"27",27,99856.9045201807,63.0646761292154,80.0308036900534
"28",28,99854.5354392495,64.7754448667521,80.6891158837269
"29",29,99851.5525626675,67.5441818416652,80.9032554908704
"30",30,99851.5525626675,67.5441818416652,80.9032554908704
"31",31,99851.5525626675,67.5441818416652,80.9032554908704
"32",32,99851.5525626675,67.5441818416652,80.9032554908704
"33",33,99850.0614683753,67.8766008006331,82.0619308240295
"34",34,99834.9769830901,69.0868903496974,95.9361265602257
"35",35,99829.0987000837,70.5471605355736,100.354139380736
"36",36,99828.3755772766,71.2702833426623,100.354139380736
"37",37,99828.3755772766,71.2702833426623,100.354139380736
"38",38,99812.922675063,72.820649229888,114.256675707064
"39",39,99801.947547977,73.8452928791058,124.207159143933
"40",40,99798.8962400678,73.0159999413368,128.087759990879
"41",41,99796.5111936616,75.4010463475493,128.087759990879
"42",42,99784.399590261,75.4319280471877,140.168481691823
"43",43,99783.607222355,76.2242959531482,140.168481691823
"44",44,99778.3003784208,75.5876981818093,146.111923397379
"45",45,99768.1055742769,76.677550622437,155.216875100639
"46",46,99759.3466098921,78.5286371469468,162.124752960919
"47",47,99759.3466098921,78.5286371469468,162.124752960919
"48",48,99755.6094061202,81.204155879778,163.186437999991
"49",49,99755.6094061202,81.204155879778,163.186437999991
"50",50,99755.1252402157,81.6883217843558,163.186437999991
"51",51,99733.8083079604,83.9051444700691,182.286547569491
"52",52,99733.8083079604,83.9051444700691,182.286547569491
"53",53,99733.8083079604,83.9051444700691,182.286547569491
"54",54,99723.5895464753,85.7729313825112,190.63752214222
"55",55,99723.5895464753,85.7729313825112,190.63752214222
"56",56,99711.5502873329,88.2238550609007,200.22585760619
"57",57,99711.5502873329,88.2238550609007,200.22585760619
"58",58,99708.5720648088,90.7582811338602,200.669654057381
"59",59,99708.5720648088,90.7582811338602,200.669654057381
"60",60,99708.5720648088,90.7582811338602,200.669654057381
"61",61,99708.5720648088,90.7582811338602,200.669654057381
"62",62,99700.6728804416,92.1284601382401,207.198659420184
"63",63,99700.6728804416,92.1284601382401,207.198659420184
"64",64,99688.1057310086,96.3645692487964,215.529699742586
"65",65,99688.1057310086,96.3645692487964,215.529699742586
"66",66,99688.1057310086,96.3645692487964,215.529699742586
"67",67,99674.1426566063,97.7166242557037,228.14071913798
"68",68,99663.0448015438,98.9094020229243,238.045796433289
"69",69,99653.1097305361,99.8719512118514,247.018318252089
"70",70,99653.1097305361,99.8719512118514,247.018318252089
"71",71,99641.2511289749,101.084384571417,257.664486453732
"72",72,99631.681250047,101.380203433756,266.938546519247
"73",73,99620.741757995,102.399188620727,276.859053384275
"74",74,99611.8025487328,103.195154904459,285.002296362743
"75",75,99608.0093198316,105.898617242089,286.092062926308
"76",76,99602.7825563125,107.909342843325,289.308100844181
"77",77,99602.7825563125,107.909342843325,289.308100844181
"78",78,99598.0776959664,109.224487495763,292.697816537873
"79",79,99594.1847595876,110.161231420664,295.654008991705
"80",80,99577.3020187304,109.35296192505,313.345019344529
"81",81,99564.6118897346,111.587045958988,323.801064306438
"82",82,99564.6118897346,111.587045958988,323.801064306438
"83",83,99560.4999412965,112.78798725573,326.712071447759
"84",84,99536.016860516,114.279831198937,349.703308285078
"85",85,99533.3421171996,115.534610387302,351.123272413052
"86",86,99526.023050326,116.640614467464,357.336335206511
"87",87,99511.6086768176,117.910669794378,370.480653388019
"88",88,99511.6086768176,117.910669794378,370.480653388019
"89",89,99511.6086768176,117.910669794378,370.480653388019
"90",90,99511.6086768176,117.910669794378,370.480653388019
"91",91,99498.4476695969,122.32493046387,379.227399939239
"92",92,99487.0774086714,122.755669693972,390.16692163462
"93",93,99483.0603718913,126.24587194057,390.693756168097
"94",94,99483.0603718913,126.24587194057,390.693756168097
"95",95,99477.3765224382,128.514778265148,394.108699296673
"96",96,99471.1074562926,128.824024907833,400.06851879953
"97",97,99469.3031937303,130.628287470197,400.06851879953
"98",98,99469.3031937303,130.628287470197,400.06851879953
"99",99,99445.1310709968,132.714308527942,422.154620475307
"100",100,99436.257661084,136.369323216928,427.373015699039
"101",101,99436.257661084,136.369323216928,427.373015699039
"102",102,99418.2584874367,138.989421911106,442.752090652162
"103",103,99409.7973465224,141.320378259902,448.882275217663
"104",104,99400.9051701367,141.308252998056,457.786576865245
"105",105,99400.9051701367,141.308252998056,457.786576865245
"106",106,99400.9051701367,141.308252998056,457.786576865245
"107",107,99375.0154563678,143.952091336991,481.032452295215
"108",108,99363.9932928035,145.28546002538,490.721247171151
"109",109,99361.2218913871,146.099392627191,492.678715985735
"110",110,99360.4634283123,146.516599636627,493.019972051115
"111",111,99339.8056065618,148.013785323,512.180608115171
"112",112,99339.8056065618,148.013785323,512.180608115171
"113",113,99339.8056065618,148.013785323,512.180608115171
"114",114,99311.5794800498,152.971650038485,535.448869911747
"115",115,99309.7647369316,154.786393156642,535.448869911747
"116",116,99309.7647369316,154.786393156642,535.448869911747
"117",117,99300.5445658596,156.983723827168,542.471710313247
"118",118,99268.3467816565,158.54172259495,573.111495748569
"119",119,99247.3819006301,160.120094794466,592.498004575385
"120",120,99244.7354951555,161.0321205154,594.232384329082
"121",121,99240.6145643671,163.88131066096,595.504124971951
"122",122,99236.4047469021,164.547685816911,599.047567280987
"123",123,99228.4889311758,167.33323661329,604.177832210923
"124",124,99217.5462830369,169.02149041969,613.432226543374
"125",125,99217.5462830369,169.02149041969,613.432226543374
"126",126,99217.5462830369,169.02149041969,613.432226543374
"127",127,99209.8201709268,170.57308909336,619.60673997988
"128",128,99192.6150726277,171.742489890077,635.642437482226
"129",129,99174.6778580627,175.172331183036,650.149810754264
"130",130,99172.0374026574,177.812786588366,650.149810754264
"131",131,99156.0039692316,180.781902245268,663.214128523141
"132",132,99150.3374139488,182.808463230406,666.854122820837
"133",133,99124.3809173391,183.214008446367,692.405074214571
"134",134,99124.3809173391,183.214008446367,692.405074214571
"135",135,99113.7548894765,187.030300672586,699.214809850908
"136",136,99112.7283130394,188.056877109642,699.214809850908
"137",137,99105.6366118617,190.867839395839,703.495548742504
"138",138,99087.5169879064,194.576632898176,717.906379195448
"139",139,99061.1110716467,194.762706028698,744.126222324623
"140",140,99058.4091524166,197.464625258748,744.126222324623
"141",141,99040.4605377519,198.919775548502,760.619686699565
"142",142,99031.3064138527,198.502144049759,770.191442097573
"143",143,99025.5530480063,201.350760586033,773.096191407621
"144",144,99005.9487057494,203.462229557681,790.589064692879
"145",145,98993.5439628038,205.700091362469,800.755945833716
"146",146,98993.5439628038,205.700091362469,800.755945833716
"147",147,98965.2960647283,208.499685358363,826.20424991329
"148",148,98938.2576587676,210.942590285458,850.799750946941
"149",149,98937.726762213,211.473486840057,850.799750946941
"150",150,98935.8248545678,213.375394485266,850.799750946941
"151",151,98924.8800311458,216.820917830749,858.299051023448
"152",152,98902.8225035965,218.913150706501,878.264345697013
"153",153,98893.4671085314,223.506398707217,883.026492761364
"154",154,98878.5548805759,225.674115463611,895.771003960501
"155",155,98846.4740769882,227.511402329432,926.014520682393
"156",156,98843.4678146325,227.911708709046,928.620476658451
"157",157,98829.7753747684,230.211571732333,940.013053499278
"158",158,98815.8569437027,234.531901963511,949.611154333785
"159",159,98815.8569437027,234.531901963511,949.611154333785
"160",160,98798.1043030497,238.443289808412,963.452407141937
"161",161,98786.2089616382,239.871710140901,973.919328220928
"162",162,98778.8354237778,242.065041221358,979.09953500086
"163",163,98740.9042595944,243.367434743741,1015.7283056619
"164",164,98738.3827471823,244.648987635376,1016.96826518232
"165",165,98716.8545111708,248.232006185222,1034.91348264397
"166",166,98712.9901598352,250.107117662344,1036.90272250246
"167",167,98712.9901598352,250.107117662344,1036.90272250246
"168",168,98710.2160846769,252.881192820619,1036.90272250246
"169",169,98686.0893318944,256.973918164653,1056.93674994098
"170",170,98634.3387959977,259.740630990439,1105.92057301185
"171",171,98629.449025796,261.43753439575,1109.11343980821
