"","Day","S","I","R"
"1",1,107549.014157061,522.432353060127,-8071.44651012063
"2",2,81442.2293474355,587.736575873519,17970.034076691
"3",3,79057.445681881,1220.36196323004,19722.192354889
"4",4,84782.4903495909,94.8922967330723,15122.617353676
"5",5,82800.9933954533,1502.81541271035,15696.1911918364
"6",6,94450.1618898501,2472.29100430754,3077.54710584235
"7",7,102592.489473461,1129.86218644364,-3722.35165990493
"8",8,103148.267822328,2571.42126745196,-5719.68908978002
"9",9,104709.749102095,3180.04237088974,-7889.79147298435
"10",10,82829.3613700517,3098.96688396024,14071.6717459881
"11",11,95545.7938148246,1442.75841358975,3011.44777158566
"12",12,79468.1747367785,1526.95897754426,19004.8662856773
"13",13,81677.8516430606,-408.725361381249,18730.8737183207
"14",14,86867.7712349388,296.17177599741,12836.0569890638
"15",15,89177.3627052379,-515.576519669867,11338.213814432
"16",16,91972.5579142694,1695.11827275101,6332.32381297954
"17",17,94543.6114867696,3134.54798502673,2321.84052820371
"18",18,88692.1812883159,1641.83801484847,9665.98069683568
"19",19,102430.96808472,1627.91698596891,-4058.88507068862
"20",20,117220.703739398,1169.39338256725,-18390.097121965
"21",21,86205.1351207549,833.304390460363,12961.5604887847
"22",22,57568.9405341869,-474.472823614439,42905.5322894276
"23",23,89742.7562376516,-1833.66102682386,12090.9047891723
"24",24,98020.0370729647,-1933.79180461763,3913.75473165295
"25",25,107455.719047114,997.431721685144,-8453.15076879961
"26",26,100784.595948372,1566.78548123826,-2351.38142961004
"27",27,104122.734609524,2152.01260587028,-6274.74721539396
"28",28,94304.9440838031,1483.37505602024,4211.68086017667
"29",29,100394.720453335,2933.7492571893,-3328.46971052459
"30",30,97093.035376857,3604.07441313745,-697.109789994443
"31",31,103946.162975505,2519.33676170816,-6465.49973721312
"32",32,82592.6971614896,3574.13875757472,13833.1640809357
"33",33,87528.2516814766,3000.73127194548,9471.0170465779
"34",34,104552.622795201,1331.60079706216,-5884.2235922627
"35",35,93580.4376909648,735.585143344761,5683.97716569043
"36",36,104656.523727043,350.051280318135,-5006.57500736091
"37",37,87081.1801385145,-1160.03815902828,14078.8580205137
"38",38,89961.5399225431,-215.236178567065,10253.6962560239
"39",39,85633.4341676732,757.300525340867,13609.265306986
"40",40,101813.801990402,1762.94954599325,-3576.75153639526
"41",41,104137.866842093,695.291794696736,-4833.15863678957
"42",42,112810.976658275,657.125382632135,-13468.1020409074
