"","Day","S","I","R"
"1",1,99065.8183650865,990.563188185381,-56.3815532718917
"2",2,98824.0743419608,1015.52664407138,160.39901396782
"3",3,98886.5247911659,1022.17380376356,91.3014050705194
"4",4,98864.1842231483,1026.78609252899,109.029684322724
"5",5,98767.49809684,1049.47528770682,183.026615453165
"6",6,98673.1418414612,1056.16377745102,270.694381087825
"7",7,98627.3063640699,1063.75162000686,308.942015923218
"8",8,98352.5812699286,1072.70496718963,574.713762881737
"9",9,98456.9999688772,1076.14841452237,466.851616600454
"10",10,98390.5084016758,1097.75503161479,511.736566709415
"11",11,98200.9275531983,1087.45149901982,711.620947781898
"12",12,98221.9073438793,1113.77015247953,664.322503641171
"13",13,98219.674210684,1127.946127477,652.379661838988
"14",14,98153.9343971349,1138.81498619032,707.250616674734
"15",15,98040.1920197944,1131.51217981314,828.295800392417
"16",16,97925.892512098,1146.93450061747,927.172987284576
"17",17,98003.0119912384,1167.26577648992,829.722232271732
"18",18,97779.5077066721,1166.22868339925,1054.26360992865
"19",19,97767.5070305609,1179.13914977349,1053.35381966564
"20",20,97869.8542010461,1182.70142490927,947.444374044594
"21",21,97499.61037559,1214.23181130409,1286.15781310588
"22",22,97588.5617316142,1229.83508327307,1181.60318511275
"23",23,97368.3211014057,1225.97853968773,1405.70035890658
"24",24,97578.334953582,1243.96787596228,1177.69717045572
"25",25,97401.3580797625,1256.36299595402,1342.27892428348
"26",26,97218.5856686034,1262.94351006036,1518.47082133625
"27",27,97259.7345882597,1274.0044220894,1466.26098965092
"28",28,97197.1884559257,1273.7667893035,1529.04475477076
"29",29,97132.0654781819,1296.95490848112,1570.97961333701
"30",30,96958.4433478801,1301.32069847797,1740.23595364196
"31",31,96923.9108951291,1317.24156090262,1758.84754396832
"32",32,96859.2001856385,1304.60522852375,1836.1945858377
"33",33,96605.1603657136,1310.46234205627,2084.37729223013
"34",34,96691.1445268002,1336.07247767327,1972.78299552657
"35",35,96754.6946093646,1367.13993283075,1878.16545780466
"36",36,96474.055615502,1365.96404047136,2159.98034402666
"37",37,96299.6569269423,1381.85534717991,2318.48772587776
"38",38,96472.0336234102,1396.27547719904,2131.69089939074
"39",39,96239.9872565907,1427.18487794179,2332.82786546748
"40",40,96225.9900014887,1417.47026446509,2356.53973404622
"41",41,96127.2767642946,1412.72962965719,2459.99360604824
"42",42,95732.2584494143,1447.2770408178,2820.46450976786
"43",43,95704.3684988149,1438.55319354199,2857.07830764308
"44",44,95935.0452938841,1453.04593764111,2611.9087684748
"45",45,95940.284672504,1463.61630379347,2596.0990237025
"46",46,95558.1182759142,1478.39133409308,2963.49038999276
"47",47,95612.5164912204,1493.72456345704,2893.75894532258
"48",48,95584.9416217479,1521.26473532382,2893.7936429283
"49",49,95580.2739694165,1509.00075576449,2910.72527481902
"50",50,95375.3544730517,1539.56866830071,3085.07685864759
"51",51,95339.1701066743,1521.75808914718,3139.07180417848
"52",52,95212.7783525481,1535.74514304422,3251.47650440769
"53",53,95040.5803583054,1558.8334217068,3400.58621998779
"54",54,95138.3794346161,1546.61058695005,3315.00997843388
"55",55,94943.0462757762,1573.87544491471,3483.07827930908
"56",56,94882.0939152271,1585.70070652519,3532.20537824776
"57",57,94824.408501898,1607.2726653545,3568.31883274755
"58",58,94766.2475481768,1622.50695499937,3611.24549682387
"59",59,94657.246358429,1620.56794377702,3722.18569779397
"60",60,94516.8955922207,1631.34362100386,3851.76078677548
"61",61,94333.624672361,1649.66403882967,4016.71128880938
"62",62,94324.0530803233,1659.92275393994,4016.02416573674
"63",63,94130.6208811431,1656.21256427168,4213.16655458521
"64",64,94107.8383003269,1664.0530957269,4228.10860394619
"65",65,93789.7125531083,1680.30777684941,4529.97967004227
