"","Day","S","I","R"
"1",1,97152.9850036583,606.206737187096,2240.8082591546
"2",2,102315.134729573,1871.52050547468,-4186.65523504728
"3",3,111322.745948646,1595.16285341145,-12917.9088020573
"4",4,107344.272708344,2223.49504271734,-9567.76775106093
"5",5,104755.259739156,2002.84452552536,-6758.10426468098
"6",6,101906.156430865,1545.78743686388,-3451.94386772865
"7",7,91896.5474438642,1749.05962938187,6354.3929267539
"8",8,92246.17150074,1450.34673246988,6303.4817667901
"9",9,97470.3821565678,874.067727984423,1655.55011544781
"10",10,93297.7776877233,1461.7636064709,5240.45870580578
"11",11,94294.6492623886,1916.76788036257,3788.58285724885
"12",12,98191.4215664355,1367.4092639926,441.169169571926
"13",13,107339.59979899,961.127778661415,-8300.72757765164
"14",14,113574.54256744,1194.91912255873,-14769.4616899989
"15",15,107718.700119802,854.046630577454,-8572.74675037993
"16",16,104998.381229016,903.104651739274,-5901.48588075568
"17",17,97975.5646286064,944.347638756284,1080.0877326373
"18",18,98867.3147008378,74.8066375208984,1057.87866164127
"19",19,91279.614331235,767.872520595124,7952.5131481699
"20",20,91864.1967592207,661.952992830152,7473.85024794917
"21",21,97034.5167638945,963.501996698334,2001.98123940712
"22",22,91503.000098131,954.719240388693,7542.28066148028
"23",23,98213.8976809775,584.866381429593,1201.23593759293
"24",24,88838.8236240564,550.92294599465,10610.2534299489
"25",25,80579.8080334547,608.263409753773,18811.9285567915
"26",26,80328.6030559509,544.202594876501,19127.1943491726
"27",27,90360.5953909626,785.960979290873,8853.4436297465
"28",28,90094.8207653446,728.106175113573,9177.07305954184
"29",29,99166.8682270712,964.1832900838,-131.051517155016
"30",30,89021.2332024101,338.965645920636,10639.8011516693
"31",31,87381.5487308555,513.091860827809,12105.3594083166
"32",32,89485.7577997023,1568.19366907634,8946.04853122133
"33",33,92389.1535687724,1627.15301427488,5983.69341695274
"34",34,91410.2674041943,2411.92871059559,6177.80388521014
"35",35,99000.0026427144,2094.78120738058,-1094.78385009502
"36",36,97750.5211388074,2115.52613646351,133.952724729139
"37",37,106480.949265418,2181.99789359384,-8662.94715901165
"38",38,103662.764645901,1956.34125606086,-5619.10590196187
"39",39,92092.9762869594,2414.91460841692,5492.10910462372
"40",40,89917.9978249179,1953.33246745145,8128.6697076307
"41",41,94320.7136341496,1473.68502571003,4205.60134014033
"42",42,95986.96626601,1084.72896454956,2928.30476944048
"43",43,93646.1937375344,568.238609151785,5785.56765331382
"44",44,82881.5230258127,1467.4554574957,15651.0215166916
"45",45,84189.7306822575,2158.87958979865,13651.3897279439
"46",46,84770.869028485,1714.38268824201,13514.748283273
"47",47,85062.3263788275,2263.861457585,12673.8121635875
"48",48,95585.8873015043,1946.47635963078,2467.63633886493
"49",49,98423.5800489165,3346.36276734585,-1769.94281626238
"50",50,97948.6314153411,2774.3205807396,-722.951996080678
"51",51,97412.2356508238,2546.34468748086,41.4196616953659
"52",52,92460.6374753289,1912.54456558755,5626.81795908357
"53",53,96894.1472157866,2359.69396710931,746.158817104086
"54",54,92860.9837493664,1651.89996686954,5487.11628376403
"55",55,91711.1189006948,1186.57439626166,7102.30670304356
"56",56,100807.442917473,1510.9529229684,-2318.39584044095
"57",57,103105.423524162,1088.42024084928,-4193.84376501141
"58",58,99267.4322123374,1396.41124814102,-663.843460478461
"59",59,103346.923710028,2529.65242052987,-5876.57613055754
"60",60,102029.846316953,1220.84280028702,-3250.68911723991
"61",61,108102.591817782,508.294475383271,-8610.88629316512
"62",62,104797.310279784,1015.88107535629,-5813.19135514053
"63",63,100856.167422512,781.18317272566,-1637.35059523745
"64",64,101018.067835598,1977.67188726413,-2995.73972286181
"65",65,91221.3403052748,1052.75414362583,7725.90555109932
"66",66,93720.0746508164,1440.28101281824,4839.6443363654
"67",67,98926.63271944,1101.09996917433,-27.7326886143521
"68",68,95091.9632021588,1187.38348015619,3720.65331768498
"69",69,91080.4250601191,1872.49760142776,7047.07733845309
"70",70,84881.0561193757,1721.56149255542,13397.3823880689
"71",71,93629.4270534013,1673.69559929143,4696.87734730728
"72",72,88060.7929413484,1945.86954308208,9993.33751556951
"73",73,93291.4505946292,2290.64176830929,4417.90763706154
"74",74,89236.6725781297,2081.19360271233,8682.13381915793
"75",75,99116.6762569135,2993.97818071082,-2110.6544376243
"76",76,100691.032523829,3532.10242793318,-4223.13495176233
"77",77,97690.2289343118,3071.45836943427,-761.687303746055
"78",78,98374.7785572133,3567.76711504866,-1942.54567226196
"79",79,100796.739025763,3315.38574280654,-4112.12476856928
"80",80,100115.530257807,3245.00192069908,-3360.53217850636
"81",81,96007.1574828496,2761.96620572423,1230.87631142617
"82",82,90798.196373419,2191.39054783634,7010.41307874469
"83",83,97729.7805666413,1981.14132993641,289.078103422305
"84",84,94502.3484835406,2118.02943388307,3379.62208257629
"85",85,91180.5435707026,1797.34624409679,7022.11018520062
"86",86,87013.449738661,1306.68799826541,11679.8622630736
"87",87,81339.3300712527,504.768856683351,18155.901072064
"88",88,76702.5240926887,1656.72635725704,21640.7495500543
"89",89,88110.4611884991,2028.31312456692,9861.22568693402
"90",90,80938.5023098171,2015.17115044938,17046.3265397335
"91",91,83790.3262023288,1183.12414588124,15026.54965179
"92",92,82219.0032120808,1104.69520079997,16676.3015871192
"93",93,92409.2529099649,1948.98879401338,5641.75829602168
"94",94,97478.6864996545,1214.71716863093,1306.59633171453
"95",95,98754.2793764568,1598.81967477757,-353.099051234371
"96",96,97497.9878371612,1422.73116369113,1079.28099914766
"97",97,97330.7145653082,973.603370272798,1695.68206441903
"98",98,90211.185224681,1518.3153393985,8270.49943592047
"99",99,92708.8743318517,1511.4416739901,5779.68399415819
"100",100,97343.6798160354,1842.06252223337,814.257661731249
"101",101,89739.566680029,2206.12962270184,8054.3036972692
"102",102,88262.6498103618,1811.02914449243,9926.32104514573
"103",103,92474.1990384334,2181.08177471609,5344.71918685046
"104",104,87699.2652244861,1943.52919054784,10357.2055849661
"105",105,88871.6779840294,1322.81697920475,9805.50503676581
"106",106,96681.165392075,2130.56736412433,1188.26724380063
"107",107,98684.536874647,2780.35385819967,-1464.89073284672
"108",108,94414.8524753589,2483.69212642592,3101.45539821519
"109",109,92051.1139471515,2726.8305084862,5222.05554436232
"110",110,84894.9517461301,1835.87133572962,13269.1769181403
"111",111,92015.6495234631,1556.25739175693,6428.09308477994
"112",112,95488.0567021978,1078.06940398183,3433.87389382039
"113",113,92668.2965366354,2301.47107908657,5030.23238427807
"114",114,97943.7641914325,2323.60892713681,-267.373118569286
"115",115,106601.611296843,3444.20620534286,-10045.8175021859
"116",116,103347.651628018,2550.67320369137,-5898.32483170937
"117",117,90092.6446399312,3029.75784679436,6877.59751327449
"118",118,86844.3701728326,2699.75298564508,10455.8768415223
"119",119,86059.9888669721,2531.00683899852,11409.0042940294
"120",120,83211.5492112665,2126.70531055308,14661.7454781804
"121",121,89801.8634261284,1876.14541446622,8321.99115940534
"122",122,91948.9723932325,2054.54690561064,5996.48070115682
"123",123,99442.5271487336,2357.64135810468,-1800.16850683828
"124",124,93785.2517557077,2073.81855401813,4140.92969027419
"125",125,94129.8348186006,1961.7672140991,3908.39796730028
"126",126,101489.495396014,1898.91682932941,-3388.41222534327
"127",127,94683.4933333513,2025.16167830127,3291.34498834743
"128",128,89618.7882550264,2662.38411547737,7718.8276294962
"129",129,81105.9501934239,3092.2003538619,15801.8494527142
"130",130,76259.9977491579,3642.96960425028,20097.0326465918
"131",131,77369.5763996119,4001.37424929272,18629.0493510954
"132",132,73489.7640050473,2733.44746111888,23776.7885338338
"133",133,79120.1173833197,1940.38543725428,18939.497179426
"134",134,80298.543790267,2238.66828387189,17462.7879258612
"135",135,88209.9967499865,2331.9918746481,9458.01137536544
"136",136,76116.1607195527,3166.40519332837,20717.4340871189
"137",137,73526.997441199,2426.86582174072,24046.1367370603
"138",138,75303.0753937182,3214.3354145269,21482.5891917549
"139",139,77383.7748710387,1826.72865375852,20789.4964752028
"140",140,78347.6626705879,1771.17883444187,19881.1584949702
"141",141,80464.7747738677,2466.15809531415,17069.0671308181
"142",142,81895.9709816995,1747.00043113525,16357.0285871653
"143",143,81497.7041316406,1759.49173629361,16742.8041320658
"144",144,81814.6524815365,1595.72703821185,16589.6204802516
"145",145,74343.0705433055,2344.00240957527,23312.9270471193
"146",146,79930.5606486658,2829.82072755465,17239.6186237796
"147",147,80281.8197122806,1694.15528116379,18024.0250065556
"148",148,77206.9057051985,2774.20762865081,20018.8866661507
"149",149,72924.2670005531,2835.43167747156,24240.3013219753
"150",150,76417.4574141661,3157.77577027818,20424.7668155558
"151",151,74603.3333420102,2336.26134290218,23060.4053150877
"152",152,76162.6972212671,2773.82667205361,21063.4761066793
"153",153,77784.4412137066,2085.93630590462,20129.6224803888
"154",154,73889.4191845947,2309.3603335876,23801.2204818177
"155",155,73544.0871746299,3126.97822741612,23328.934597954
"156",156,80626.6444286144,2857.55860063847,16515.7969707471
"157",157,72457.8535947954,2994.17770278314,24547.9687024214
"158",158,65138.7731173772,2724.11545821425,32137.1114244086
"159",159,68770.8621150849,2556.15403384732,28672.9838510677
"160",160,75899.482441931,2447.89379567684,21652.6237623922
"161",161,75464.2582733458,2814.46765019809,21721.2740764561
"162",162,89876.2173019086,2406.09406964481,7717.68862844661
"163",163,91540.7527074942,1920.10651419231,6539.14077831344
"164",164,93382.4726445944,2508.03496536951,4109.49239003607
"165",165,92746.7652482904,2203.73927105456,5049.49548065504
"166",166,90206.2703761729,2139.30559344681,7654.42403038031
"167",167,85298.7322910699,2233.98821828408,12467.2794906461
"168",168,76802.1973750254,2300.92162959497,20896.8809953796
"169",169,89159.066700332,1899.15967245,8941.77362721797
"170",170,88283.200442539,2472.53207294206,9244.26748451895
"171",171,85208.5026796776,2458.74002996324,12332.7572903591
"172",172,84600.6976824642,2705.10826775744,12694.1940497783
"173",173,72974.5009043232,3269.99749660891,23755.5015990679
"174",174,72086.8032137991,2250.95313415646,25662.2436520444
"175",175,76157.1111305166,1823.62412780353,22019.2647416799
"176",176,71577.3696033031,1666.43868553545,26756.1917111615
"177",177,77144.6929636263,1993.27881162359,20862.0282247501
"178",178,77171.5508210611,2367.67962576214,20460.7695531767
"179",179,72915.865028367,2394.1260493924,24690.0089222406
"180",180,72303.4391012328,1987.49259115501,25709.0683076122
"181",181,75394.4198559282,1775.74698454646,22829.8331595254
"182",182,78977.7904777747,2564.82124347127,18457.388278754
"183",183,81500.4420727177,1311.96097542945,17187.5969518528
"184",184,88017.0404506302,2250.21567609685,9732.74387327296
"185",185,85935.4390680746,3253.37073881393,10811.1901931114
"186",186,90217.044208389,2228.0860572027,7554.86973440827
"187",187,76895.6181796048,2441.08944041676,20663.2923799784
"188",188,77694.7980223191,2621.63278871238,19683.5691889686
"189",189,73567.9469644206,2237.94973537285,24194.1033002066
"190",190,70986.593034132,2487.35639712538,26526.0505687426
"191",191,77619.8617482102,2646.55277376229,19733.5854780275
"192",192,85623.9815574131,3107.24748974726,11268.7709528396
"193",193,76927.836584668,3006.4790507356,20065.6843645964
"194",194,65846.3098082508,2025.86774061189,32127.8224511373
"195",195,60600.1941702784,2299.7976799298,37100.0081497918
"196",196,67197.583221602,2341.3516062942,30461.0651721038
"197",197,76077.5817465124,2432.26091317199,21490.1573403156
"198",198,69368.1521814407,1861.60585832545,28770.2419602338
"199",199,71838.3546642427,1959.64163536072,26202.0037003966
"200",200,68889.243958438,1648.85834063526,29461.8977009268
"201",201,72783.917994459,2201.76775331436,25014.3142522266
"202",202,71175.3362177945,2670.10480382753,26154.558978378
"203",203,73769.0164984688,2797.714359732,23433.2691417992
"204",204,72441.8787406619,2148.21870517797,25409.9025541601
"205",205,80602.5340939464,2432.77874141441,16964.6871646392
"206",206,88819.5109474418,2815.47195287516,8365.01709968301
"207",207,83307.0898186526,3256.73828384852,13436.1718974989
"208",208,81648.2811069903,2534.3763051976,15817.3425878121
"209",209,80761.9326718535,2967.34999353199,16270.7173346145
"210",210,88728.7055917536,3319.46241439512,7951.83199385126
"211",211,88786.2185028781,2176.25012960647,9037.53136751539
"212",212,85446.8293717838,2210.46929765511,12342.7013305611
"213",213,80702.7315397781,3073.72578459281,16223.5426756291
"214",214,81116.4579712697,1962.15027568406,16921.3917530463
"215",215,78434.4960144054,3069.58233480668,18495.9216507879
"216",216,81905.4556696879,2168.92259306142,15925.6217372507
"217",217,85798.0747860343,1991.74828894206,12210.1769250237
"218",218,85017.347613416,2614.47515434743,12368.1772322366
"219",219,81623.033193364,2961.50735447451,15415.4594521615
"220",220,78811.8521228677,2767.21637500816,18420.9315021242
"221",221,76555.1489168938,2627.88601936353,20816.9650637427
"222",222,76550.1323555848,2815.13710789293,20634.7305365223
"223",223,79780.950275548,2234.61160289433,17984.4381215577
"224",224,78428.5990328496,1754.65245761621,19816.7485095342
"225",225,72576.8775243093,1887.40775981782,25535.7147158728
"226",226,81459.6911145465,2752.81294482023,15787.4959406333
"227",227,75068.2434278782,2521.35395010011,22410.4026220217
"228",228,71288.7992678086,3118.95936885759,25592.2413633338
"229",229,72950.9085794115,3104.08226799163,23945.0091525969
"230",230,72816.9856078773,3240.68436969592,23942.3300224268
"231",231,72601.2309200714,3471.51777680925,23927.2513031193
"232",232,63138.4314290651,2725.45429217452,34136.1142787604
"233",233,62987.497559546,2515.01748835703,34497.484952097
"234",234,65981.1061778165,2851.12956684313,31167.7642553404
"235",235,64331.058685538,3182.98184461787,32485.9594698442
"236",236,63376.8679586327,2216.24020923208,34406.8918321352
"237",237,67265.5021668123,1829.25043412484,30905.2473990629
"238",238,63223.4114325917,1755.83426579369,35020.7543016146
"239",239,72693.0242311213,1634.7100079393,25672.2657609394
"240",240,67722.107335376,1724.77159072663,30553.1210738974
"241",241,69643.3799072791,1997.33648278875,28359.2836099321
"242",242,68309.5202180659,1348.43794267977,30342.0418392543
"243",243,66371.4808029269,2665.89347021802,30962.625726855
"244",244,73950.5622741651,2760.93495973551,23288.5027660994
"245",245,69058.1067682189,2461.88375755657,28480.0094742245
"246",246,73044.9228999128,2080.8198174377,24874.2572826495
"247",247,72767.11042276,2362.31225600281,24870.5773212372
"248",248,71518.5294652494,1777.76379580974,26703.7067389409
"249",249,76598.7043347573,1301.13286199701,22100.1628032457
"250",250,83192.0126678646,1428.3662521435,15379.6210799919
"251",251,77368.8122948052,974.925802033556,21656.2619031612
"252",252,79679.6290683713,990.409474514581,19329.9614571141
"253",253,79431.1032519367,1158.5364077024,19410.3603403609
"254",254,80671.3072654752,1309.16628013446,18019.5264543904
"255",255,69045.178370201,918.623754484304,30036.1978753147
"256",256,76594.2727852565,1205.81847375814,22199.9087409854
"257",257,62969.1986710713,1438.66367984307,35592.1376490857
"258",258,60737.8830032511,1311.30480327667,37950.8121934723
"259",259,66872.1398770892,948.63831939093,32179.2218035199
"260",260,73463.1928085561,827.738525936304,25709.0686655076
"261",261,72354.7935265053,987.720461823726,26657.486011671
"262",262,73842.1120696557,1679.8374773073,24478.050453037
"263",263,80319.197368489,1576.91367392896,18103.8889575821
"264",264,78185.5089225057,1394.90687431651,20419.5842031777
"265",265,72102.1687690705,2267.23481901777,25630.5964119117
"266",266,80867.4530776311,1761.05069697089,17371.4962253981
"267",267,77540.3277991973,2328.84140873017,20130.8307920726
"268",268,74088.9041934902,1476.44988052805,24434.6459259817
"269",269,85071.908188277,1108.64375317746,13819.4480585455
"270",270,83170.0827696374,2570.56277342147,14259.3544569412
"271",271,84528.9479407837,2478.78757777368,12992.2644814426
"272",272,77251.5496055397,2970.74604639912,19777.7043480612
"273",273,71642.8508410739,2645.33672538679,25711.8124335393
"274",274,75554.7641167772,1405.9214408778,23039.314442345
"275",275,68610.0879388263,2192.48009518466,29197.4319659891
"276",276,70057.1203557514,2217.96815268378,27724.9114915648
"277",277,70831.9983704072,2536.78012259878,26631.2215069941
"278",278,70685.9117145318,600.092708154966,28713.9955773132
"279",279,74138.7394983844,547.473364976207,25313.7871366394
"280",280,72674.6503566184,1413.41411033198,25911.9355330496
"281",281,71929.7659636191,1263.97344484704,26806.2605915339
"282",282,79902.4099077123,1437.02283054255,18660.5672617452
"283",283,74756.2491110625,1212.063360949,24031.6875279885
"284",284,73789.2630235338,1526.96060499057,24683.7763714757
"285",285,69390.4239484858,1144.90375138054,29464.6723001337
"286",286,65243.353347588,906.305467023448,33850.3411853885
"287",287,68557.3910462969,207.919846728438,31234.6891069747
"288",288,60941.2604391408,-523.495330003997,39582.2348908632
"289",289,65339.4611502202,-42.8304623952283,34703.369312175
"290",290,69715.7457466419,-325.632837581729,30609.8870909398
"291",291,76462.3154504165,-72.3686900733626,23610.0532396569
"292",292,67465.6751871158,816.092040854893,31718.2327720293
"293",293,67346.7565601114,1221.59610321545,31431.6473366731
"294",294,68973.2374971218,805.266993500938,30221.4955093773
"295",295,71981.2012490849,163.695147907649,27855.1036030075
"296",296,77978.5743803096,62.103344219189,21959.3222754712
"297",297,71545.4118664306,-406.104095318153,28860.6922288876
"298",298,79427.2102865558,0.849913912357579,20571.9397995318
"299",299,81714.1014073674,187.859993286856,18098.0385993457
"300",300,82724.1899013037,-19.0465360782271,17294.8566347745
"301",301,76905.8522954455,793.016909577399,22301.1307949771
"302",302,82895.121412624,1618.82145889897,15486.0571284771
"303",303,79164.05263938,2251.56655428513,18584.3808063349
"304",304,71575.9357607447,2066.0329305269,26358.0313087284
"305",305,74508.7882737307,677.746042289026,24813.4656839803
