"","Day","S","I","R"
"1",1,99960.9275625449,50.419910155039,-11.3474726999508
"2",2,99957.8992400293,53.0585666924238,-10.9578067217549
"3",3,99935.8449094848,49.7338435287093,14.421246986448
"4",4,99952.4457803248,50.7985865984234,-3.24436692317926
"5",5,99939.333620178,49.6611648910489,11.0052149309214
"6",6,99945.60540114,51.1223610346911,3.27223782531254
"7",7,99938.3058751377,50.7199366129439,10.9741882493407
"8",8,99936.3689893245,49.5121324522559,14.1188782232328
"9",9,99926.1739652797,51.247539963319,22.5784947569463
"10",10,99956.3571141251,51.240921371783,-7.59803549690033
"11",11,99945.1228429617,49.1064982760663,5.77065876224637
"12",12,99955.1278013514,52.3435889021556,-7.47139025352394
"13",13,99950.1673268264,50.4746448678704,-0.641971694246425
"14",14,99945.397994441,51.6168908824298,2.98511467663466
"15",15,99962.4949833631,53.2223453388414,-15.7173287019422
"16",16,99953.9800888841,51.4115956895759,-5.39168457365142
"17",17,99949.8081117961,50.8938363233569,-0.701948119487081
"18",18,99950.8737439393,52.6564016074009,-3.5301455466694
"19",19,99945.8041975292,53.1355014126147,1.06030105822445
"20",20,99947.6957778774,48.3300719110592,3.97415021156587
"21",21,99941.9832514556,51.4032272383501,6.61352130603465
"22",22,99939.221794291,53.4797414321772,7.29846427686201
"23",23,99943.6556510169,53.2493801428018,3.09496884028809
"24",24,99944.8541681918,53.5482870118076,1.59754479636086
"25",25,99949.7911298607,53.2428384561618,-3.0339683168826
"26",26,99936.1444203846,52.2642885328402,11.5912910825805
"27",27,99960.7149377814,54.3867027160729,-15.1016404974639
"28",28,99937.1163897748,51.1291814355384,11.7544287896719
"29",29,99945.2256734248,52.2723160487778,2.50201052640279
"30",30,99931.5304114883,51.8657369025204,16.6038516091428
"31",31,99955.6502725417,54.0190614934895,-9.6693340352142
"32",32,99932.2508390133,54.1690931413813,13.5800678453586
"33",33,99967.2708972948,55.3073864697255,-22.5782837644719
"34",34,99948.9965799334,53.0779072040249,-2.07448713743835
"35",35,99945.922436964,53.8322109352992,0.245352100656307
"36",36,99930.6789900476,52.7610793523017,16.5599306001138
"37",37,99942.1401812856,52.7103070653916,5.14951164901437
"38",38,99948.8522168593,54.3568206879398,-3.20903754725297
"39",39,99950.0352687958,55.1550528890866,-5.19032168486332
"40",40,99944.4592406259,54.8002188158513,0.740540558198312
"41",41,99941.6030815959,53.2022814959712,5.19463690816248
"42",42,99940.432654942,56.6844211174308,2.88292394060596
"43",43,99931.1967888643,55.2564647697769,13.5467463659157
"44",44,99948.6184589435,54.6780803384719,-3.29653928195
"45",45,99934.160101049,55.9661590053547,9.87373994565801
"46",46,99941.9372177769,54.5650900909829,3.49769213209685
"47",47,99956.5464749071,54.5890693562877,-11.1355442633607
"48",48,99955.4644681458,55.0354265323346,-10.499894678125
"49",49,99943.4409132532,53.9438944431448,2.6151923036698
"50",50,99938.7349099649,54.3212294427937,6.94386059230509
"51",51,99945.9890882722,55.6525396565393,-1.64162792876192
"52",52,99943.9382803865,55.9720070635422,0.0897125499689233
"53",53,99921.9290356199,55.7919456930515,22.2790186870609
"54",54,99938.4764114869,55.8238738879448,5.69971462515312
"55",55,99941.7203457821,56.9054957645763,1.374158453322
"56",56,99934.0380658271,55.7745309521806,10.187403220737
"57",57,99934.7337438479,55.1238056920267,10.1424504601085
"58",58,99930.7283725749,56.3250791584661,12.9465482666023
"59",59,99952.5572291354,55.4645216890215,-8.02175082441624
"60",60,99936.6289455793,56.4678150340159,6.90323938672749
"61",61,99933.1346099019,54.5222464554295,12.3431436426752
"62",62,99923.9034277594,57.2436700173095,18.8529022232918
