"","Day","S","I","R"
"1",1,99954.826729154,50.1945636115649,-5.0212927655423
"2",2,99940.6280295956,50.8014694532169,8.57050095117321
"3",3,99931.8265206353,51.3051912368838,16.8682881278322
"4",4,99949.8643379528,51.6414467877798,-1.50578474054468
"5",5,99951.6730480682,50.8740828706625,-2.54713093891108
"6",6,99933.6026103885,51.6976641466753,14.6997254647908
"7",7,99934.9963649717,51.0576146434947,13.9460203848114
"8",8,99936.8633876032,51.7120674878036,11.4245449089976
"9",9,99935.7319163959,51.8758475784141,12.3922360257213
"10",10,99946.2851105187,49.2700702276735,4.44481925366014
"11",11,99932.0524400665,51.0078591250009,16.9397008084793
"12",12,99944.1236519829,52.6089003712932,3.26744764581724
"13",13,99948.6397784934,51.8517297188059,-0.491508212140307
"14",14,99964.6142887369,51.9256668188441,-16.5399555557675
"15",15,99965.1942731605,52.2669820506155,-17.4612552110819
"16",16,99962.9428199101,52.897511128119,-15.8403310382442
"17",17,99947.1142021401,53.8478154858327,-0.962017625915506
"18",18,99940.9007690791,52.918194516447,6.18103640449544
"19",19,99941.814738471,53.4047826140636,4.78047891494229
"20",20,99921.2508713982,54.0346449943474,24.7144836074327
"21",21,99942.8916176636,51.8520584771512,5.25632385927434
"22",22,99941.5900572971,52.8946462022513,5.51529650062043
"23",23,99941.8592478934,52.2193527762021,5.92139933042106
"24",24,99960.3480161256,51.0164390482735,-11.3644551739163
"25",25,99952.9773943124,52.1869500418283,-5.1643443542285
"26",26,99933.8631740714,54.0246543334605,12.1121715951538
"27",27,99927.2838056891,53.3383440824985,19.3778502283295
"28",28,99921.6056626629,53.8572216714429,24.5371156656292
"29",29,99940.785537988,52.7164401613675,6.49802185056423
"30",30,99939.1564911211,52.626125518104,8.21738336081107
"31",31,99942.1068461704,52.1610372289413,5.73211660062597
"32",32,99945.9916962146,52.6253301335148,1.382973651821
"33",33,99940.3512417592,52.4712119719763,7.17754626879647
"34",34,99942.6299522254,52.2525562152025,5.11749155937722
"35",35,99942.0892891343,53.6720213232509,4.23868954247027
"36",36,99940.9418217828,53.0179768402828,6.04020137687009
"37",37,99939.4887357953,53.6746471604215,6.83661704423048
"38",38,99940.1359449799,52.9234031021498,6.94065191792158
"39",39,99939.4094943795,53.4569729228388,7.13353269766631
"40",40,99932.1957374572,53.5462324444639,14.258030098323
"41",41,99938.7838559098,53.625581698386,7.59056239176419
"42",42,99936.863659985,54.5399783300972,8.59636168488519
"43",43,99933.0199952704,56.6620273427717,10.3179773868711
"44",44,99933.8045599811,57.8764104356855,8.31902958319075
"45",45,99924.9711320343,56.6738426262008,18.3550253394586
"46",46,99912.4128467313,56.401680400214,31.1854728684773
"47",47,99901.7888266574,56.588940676376,41.622232666233
"48",48,99901.2988758048,55.4475004336855,43.2536237615499
"49",49,99931.6709025591,55.3576084756921,12.9714889651798
"50",50,99929.3880969012,56.6818656832803,13.9300374155682
"51",51,99930.3098189618,56.4325309431669,13.2576500950879
"52",52,99931.2413886137,56.3924518775979,12.3661595087639
"53",53,99921.1985371595,56.3404493471211,22.4610134933718
"54",54,99918.8514918297,55.9910441232259,25.1574640471358
"55",55,99927.2794897881,57.1618209804062,15.5586892315152
"56",56,99928.8498255903,56.3251673634298,14.8250070463418
"57",57,99909.2917986534,57.6130691046169,33.0951322420408
"58",58,99915.9159225216,58.3326450892516,25.7514323892026
"59",59,99935.7180953071,61.1042659944553,3.17763869848286
"60",60,99936.0464702329,60.2670937198933,3.68643604721945
"61",61,99942.9197140386,60.3582142560547,-3.27792829460772
"62",62,99958.7498916557,59.3224221278788,-18.0723137835252
"63",63,99927.433483179,60.5677524151574,11.9987644058834
"64",64,99932.3512654593,59.3769408370342,8.27179370371278
"65",65,99937.3965530999,58.6612518399485,3.94219506018383
"66",66,99936.5877195027,56.9837538161767,6.42852668113004
"67",67,99954.680477742,57.8107592455331,-12.491236987477
"68",68,99959.3561395881,57.7854994778097,-17.1416390658874
