"","Day","S","I","R"
"1",1,99947.6612382779,51.0125671616028,1.32619456046954
"2",2,99947.37566607,51.2981393695431,1.32619456046954
"3",3,99944.3779753835,51.4811844371464,4.14084017937124
"4",4,99944.3779753835,51.4811844371464,4.14084017937124
"5",5,99944.3779753835,51.4811844371464,4.14084017937124
"6",6,99944.3779753835,51.4811844371464,4.14084017937124
"7",7,99935.0230344582,55.8514937225893,9.12547181923112
"8",8,99935.0230344582,55.8514937225893,9.12547181923112
"9",9,99935.0230344582,55.8514937225893,9.12547181923112
"10",10,99935.0230344582,55.8514937225893,9.12547181923112
"11",11,99935.0230344582,55.8514937225893,9.12547181923112
"12",12,99935.0230344582,55.8514937225893,9.12547181923112
"13",13,99935.0230344582,55.8514937225893,9.12547181923112
"14",14,99932.8423627423,57.3321356295309,9.82550162818013
"15",15,99932.8423627423,57.3321356295309,9.82550162818013
"16",16,99928.3187744961,60.6049579973642,11.0762675065617
"17",17,99928.3187744961,60.6049579973642,11.0762675065617
"18",18,99928.3187744961,60.6049579973642,11.0762675065617
"19",19,99928.3187744961,60.6049579973642,11.0762675065617
"20",20,99928.3187744961,60.6049579973642,11.0762675065617
"21",21,99928.3187744961,60.6049579973642,11.0762675065617
"22",22,99928.3187744961,60.6049579973642,11.0762675065617
"23",23,99923.5210382456,63.8007036839658,12.6782580704789
"24",24,99922.260863838,65.0608780915168,12.6782580704789
"25",25,99922.260863838,65.0608780915168,12.6782580704789
"26",26,99922.260863838,65.0608780915168,12.6782580704789
"27",27,99922.260863838,65.0608780915168,12.6782580704789
"28",28,99922.260863838,65.0608780915168,12.6782580704789
"29",29,99922.260863838,65.0608780915168,12.6782580704789
"30",30,99918.7511370074,68.0786747276639,13.1701882649299
"31",31,99913.957323922,69.2049172951208,16.8377587828748
"32",32,99913.957323922,69.2049172951208,16.8377587828748
"33",33,99913.957323922,69.2049172951208,16.8377587828748
"34",34,99913.957323922,69.2049172951208,16.8377587828748
"35",35,99898.4159496585,74.952065244206,26.6319850973179
"36",36,99898.4159496585,74.952065244206,26.6319850973179
"37",37,99898.4159496585,74.952065244206,26.6319850973179
"38",38,99898.4159496585,74.952065244206,26.6319850973179
"39",39,99898.4159496585,74.952065244206,26.6319850973179
"40",40,99898.4159496585,74.952065244206,26.6319850973179
"41",41,99898.4159496585,74.952065244206,26.6319850973179
"42",42,99898.4159496585,74.952065244206,26.6319850973179
"43",43,99898.4159496585,74.952065244206,26.6319850973179
"44",44,99898.4159496585,74.952065244206,26.6319850973179
"45",45,99898.4159496585,74.952065244206,26.6319850973179
"46",46,99898.4159496585,74.952065244206,26.6319850973179
"47",47,99891.9736128257,80.4565700961718,27.569817078151
"48",48,99891.9736128257,80.4565700961718,27.569817078151
"49",49,99885.2845371527,82.4664674049088,32.2489954423838
"50",50,99885.2845371527,82.4664674049088,32.2489954423838
"51",51,99884.2201326079,83.5308719497077,32.2489954423838
"52",52,99884.2201326079,83.5308719497077,32.2489954423838
"53",53,99875.9260644498,84.9351526994201,39.1387828508246
"54",54,99873.5464430387,87.0590871247438,39.3944698365198
"55",55,99873.5464430387,87.0590871247438,39.3944698365198
"56",56,99871.2187629752,89.3867671883232,39.3944698365198
"57",57,99871.2187629752,89.3867671883232,39.3944698365198
"58",58,99871.2187629752,89.3867671883232,39.3944698365198
"59",59,99871.2187629752,89.3867671883232,39.3944698365198
"60",60,99871.2187629752,89.3867671883232,39.3944698365198
"61",61,99861.1052125359,93.5432678170718,45.351519647059
"62",62,99861.1052125359,93.5432678170718,45.351519647059
"63",63,99861.1052125359,93.5432678170718,45.351519647059
"64",64,99860.4915121871,94.1569681658829,45.351519647059
"65",65,99860.4915121871,94.1569681658829,45.351519647059
"66",66,99849.5344205864,100.598726680316,49.8668527332455
"67",67,99849.5344205864,100.598726680316,49.8668527332455
"68",68,99849.5344205864,100.598726680316,49.8668527332455
