"","Day","S","I","R"
"1",1,99930.8466714118,52.3631695581027,16.790159030057
"2",2,99930.8466714118,52.3631695581027,16.790159030057
"3",3,99930.8466714118,52.3631695581027,16.790159030057
"4",4,99930.8466714118,52.3631695581027,16.790159030057
"5",5,99930.8466714118,52.3631695581027,16.790159030057
"6",6,99930.8466714118,52.3631695581027,16.790159030057
"7",7,99930.8466714118,52.3631695581027,16.790159030057
"8",8,99930.8466714118,52.3631695581027,16.790159030057
"9",9,99929.259439345,53.9504016249595,16.790159030057
"10",10,99924.5404067301,55.0973970982947,20.3621961716066
"11",11,99923.4241502511,56.2136535772649,20.3621961716066
"12",12,99923.4241502511,56.2136535772649,20.3621961716066
"13",13,99923.4241502511,56.2136535772649,20.3621961716066
"14",14,99920.0416239561,57.6467599742604,22.3116160696087
"15",15,99909.7225382334,59.6285693344874,30.6488924321272
"16",16,99893.4415918797,61.5389438696124,45.0194642507291
"17",17,99893.4415918797,61.5389438696124,45.0194642507291
"18",18,99893.4415918797,61.5389438696124,45.0194642507291
"19",19,99888.0171832387,62.7992621998173,49.1835545615132
"20",20,99887.1434864148,62.8553334309458,50.0011801542219
"21",21,99887.1434864148,62.8553334309458,50.0011801542219
"22",22,99876.3346098687,60.4529817442969,63.212408386956
"23",23,99870.0137210862,60.6260388493315,69.3602400644818
"24",24,99859.9380179539,61.5638657129036,78.4981163332253
"25",25,99859.9380179539,61.5638657129036,78.4981163332253
"26",26,99852.5404939738,64.1158389739208,83.3436670522719
"27",27,99852.5404939738,64.1158389739208,83.3436670522719
"28",28,99839.2425246904,65.5723227890664,95.1851525205168
"29",29,99838.3000694029,66.5147780765944,95.1851525205168
"30",30,99822.918782945,70.8977406159081,106.183476439097
"31",31,99822.918782945,70.8977406159081,106.183476439097
"32",32,99822.918782945,70.8977406159081,106.183476439097
"33",33,99822.918782945,70.8977406159081,106.183476439097
"34",34,99822.918782945,70.8977406159081,106.183476439097
"35",35,99822.918782945,70.8977406159081,106.183476439097
"36",36,99822.918782945,70.8977406159081,106.183476439097
"37",37,99822.918782945,70.8977406159081,106.183476439097
"38",38,99822.918782945,70.8977406159081,106.183476439097
"39",39,99809.5825548899,74.5774621034465,115.839983006667
"40",40,99809.5825548899,74.5774621034465,115.839983006667
"41",41,99809.5825548899,74.5774621034465,115.839983006667
"42",42,99809.5825548899,74.5774621034465,115.839983006667
"43",43,99781.4514234125,78.2538731348883,140.294703452661
"44",44,99781.4404027274,78.2648938199542,140.294703452661
"45",45,99781.4404027274,78.2648938199542,140.294703452661
"46",46,99781.4404027274,78.2648938199542,140.294703452661
"47",47,99780.2888999296,79.4163966177272,140.294703452661
"48",48,99774.5469305113,82.0009823108462,143.452087177846
"49",49,99774.5469305113,82.0009823108462,143.452087177846
"50",50,99774.5469305113,82.0009823108462,143.452087177846
"51",51,99770.8675351543,83.4566496831847,145.675815162538
"52",52,99754.6913156369,84.5152312415314,160.7934531216
"53",53,99747.0599361603,87.5127626607289,165.427301178933
"54",54,99747.0599361603,87.5127626607289,165.427301178933
"55",55,99747.0599361603,87.5127626607289,165.427301178933
"56",56,99741.3013272195,88.5928165782704,170.10585620222
"57",57,99741.3013272195,88.5928165782704,170.10585620222
"58",58,99734.8696162469,88.4904382779866,176.639945475158
"59",59,99705.6769213044,89.6738294488493,204.649249246777
"60",60,99693.4657253772,91.1452783948369,215.388996227917
"61",61,99693.4657253772,90.3839360522784,216.150338570476
"62",62,99693.4657253772,90.3839360522784,216.150338570476
"63",63,99685.1198742088,92.2383056788907,222.641820112264
"64",64,99669.0361971372,94.0713176394337,236.892485223348
"65",65,99658.2028616112,95.4376773437546,246.359461045067
"66",66,99654.9271826478,98.713356307155,246.359461045067
"67",67,99654.9271826478,98.713356307155,246.359461045067
"68",68,99654.5658784784,99.0746604765157,246.359461045067
"69",69,99654.5658784784,99.0746604765157,246.359461045067
"70",70,99654.5658784784,99.0746604765157,246.359461045067
"71",71,99654.5658784784,99.0746604765157,246.359461045067
"72",72,99654.5658784784,99.0746604765157,246.359461045067
"73",73,99654.5658784784,99.0746604765157,246.359461045067
"74",74,99643.7416467571,102.472538525401,253.785814717526
"75",75,99627.007850471,104.244879247892,268.74727028114
"76",76,99622.4539449508,106.014261014662,271.531794034551
"77",77,99612.2946809163,106.528647103887,281.176671979773
"78",78,99599.1898965322,107.442861330655,293.367242137098
"79",79,99585.2972372034,110.197063060262,304.505699736383
"80",80,99576.1747906265,112.45031055747,311.374898816051
"81",81,99576.1747906265,112.45031055747,311.374898816051
"82",82,99565.1852079884,113.734679325282,321.080112686364
"83",83,99563.875335811,114.54904474157,321.575619447404
"84",84,99562.4519367991,115.114173090825,322.433890110102
"85",85,99539.3116395194,117.860950901241,342.82740957935
"86",86,99539.3116395194,117.860950901241,342.82740957935
"87",87,99539.3116395194,117.860950901241,342.82740957935
"88",88,99524.915751386,120.288516108564,354.795732505454
"89",89,99520.5532424438,120.811014649299,358.635742906931
"90",90,99508.5960708418,122.830989367846,368.57293979037
"91",91,99508.5960708418,122.830989367846,368.57293979037
"92",92,99492.6715130085,124.563663785532,382.764823205991
"93",93,99492.0698722611,125.165304532912,382.764823205991
"94",94,99481.1446300037,127.29027838527,391.565091611054
"95",95,99462.1043654122,130.448367634754,407.447266953042
"96",96,99462.1043654122,130.448367634754,407.447266953042
"97",97,99458.6024155838,133.950317463192,407.447266953042
"98",98,99458.6024155838,133.950317463192,407.447266953042
"99",99,99458.6024155838,133.950317463192,407.447266953042
"100",100,99458.6024155838,133.950317463192,407.447266953042
"101",101,99458.6024155838,133.950317463192,407.447266953042
"102",102,99448.1768232703,135.529564977292,416.29361175239
"103",103,99447.7905101301,135.915878117524,416.29361175239
"104",104,99437.1136486863,138.284591066521,424.601760247197
"105",105,99415.2398548339,140.81120623185,443.948938934297
"106",106,99411.8825091227,144.019824006683,444.097666870598
"107",107,99382.0366803957,145.524113584265,472.439206020064
"108",108,99381.1939464989,143.848132992377,474.957920508755
"109",109,99378.9897308167,145.989681241367,475.02058794192
"110",110,99367.4765764812,148.777270388737,483.746153130045
"111",111,99359.5188742218,151.812995676952,488.66813010129
"112",112,99327.8968684513,151.269015111886,520.834116436834
"113",113,99320.1628605275,151.166115498621,528.671023973832
"114",114,99318.3354742427,151.632606175108,530.031919582202
"115",115,99298.4744375599,153.261081418384,548.264481021705
"116",116,99297.0106026851,154.724916293167,548.264481021705
"117",117,99292.0093128379,157.173450200905,550.817236961157
"118",118,99281.007891892,158.78625843955,560.205849668445
"119",119,99271.4082499079,161.793279628527,566.798470463564
"120",120,99270.891635184,162.309894352405,566.798470463564
"121",121,99257.1147837998,164.777784263992,578.107431936223
"122",122,99254.0315619483,165.091226697733,580.877211353981
"123",123,99245.5587880943,166.576833611247,587.864378294404
"124",124,99224.0565891658,168.359449402262,607.583961431963
"125",125,99214.0888655207,168.78039441806,617.130740061202
"126",126,99194.51787493,172.163796943628,633.318328126347
"127",127,99184.7461653039,172.668248890831,642.585585805234
"128",128,99174.5426411114,175.81584840352,649.641510485122
"129",129,99174.5426411114,175.81584840352,649.641510485122
"130",130,99151.8121861165,178.556382469618,669.631431413913
"131",131,99138.7273917555,179.628584060596,681.64402418392
"132",132,99136.8618166307,179.751512492475,683.386670876826
"133",133,99127.9625375032,181.034479314467,691.002983182372
"134",134,99115.2058076255,182.92449363569,701.869698738805
"135",135,99112.8581514842,185.272149776972,701.869698738805
"136",136,99097.247580169,190.041977653924,712.710442177045
"137",137,99097.247580169,190.041977653924,712.710442177045
"138",138,99096.3882112783,190.901346544608,712.710442177045
"139",139,99066.1416290641,196.334653437887,737.523717498007
"140",140,99041.4389037502,198.518051249537,760.043045000223
"141",141,99029.896212006,199.946926951831,770.156861042182
"142",142,98997.9843526123,200.713427303222,801.302220084492
"143",143,98994.911214228,203.786565687502,801.302220084492
"144",144,98994.911214228,203.786565687502,801.302220084492
"145",145,98994.911214228,203.786565687502,801.302220084492
"146",146,98979.9972715624,207.304004317457,812.698724120184
"147",147,98968.0458529211,208.18456231019,823.769584768751
"148",148,98944.5007198961,212.267641414689,843.231638689201
"149",149,98929.4561868291,215.511895781776,855.031917389074
"150",150,98929.4020073963,215.566075214622,855.031917389074
"151",151,98908.6338508542,216.670364635757,874.695784510033
"152",152,98884.3008168198,219.035918381414,896.663264798743
"153",153,98884.3008168198,219.035918381414,896.663264798743
"154",154,98876.3933972237,222.236042463853,901.370560312448
"155",155,98868.1026274953,224.421289348599,907.476083156141
"156",156,98840.2386475616,228.285846589785,931.475505848593
"157",157,98830.7082586133,231.402432765136,937.889308621589
"158",158,98820.0446754821,231.740769527239,948.214554990687
"159",159,98805.6117437244,237.383538317643,957.004717957932
"160",160,98800.2025620192,239.412798236991,960.384639743766
"161",161,98788.4305524749,238.064389426072,973.505058099065
"162",162,98761.3680491215,240.139707866851,998.492243011629
"163",163,98748.1399578632,242.411098663484,1009.44894347335
"164",164,98748.1399578632,242.411098663484,1009.44894347335
"165",165,98716.7201260529,247.739921389704,1035.53995255737
"166",166,98701.6869907943,250.254042290477,1048.05896691526
"167",167,98701.6869907943,250.254042290477,1048.05896691526
"168",168,98680.0036861283,255.227088525959,1064.76922534576
"169",169,98654.321227238,257.944551292048,1087.73422146995
"170",170,98639.8448866488,261.33097748111,1098.82413587013
"171",171,98637.3468141433,263.829049986603,1098.82413587013
"172",172,98605.9505066038,267.346972701338,1126.70252069484
"173",173,98592.2971474497,269.847534503838,1137.85531804646
"174",174,98583.2987395055,272.609073258742,1144.09218723575
"175",175,98572.4353270232,274.351047628636,1153.21362534817
"176",176,98554.6017783855,275.704353320711,1169.69386829374
"177",177,98514.8062447541,277.954377250689,1207.23937799521
"178",178,98509.6256234891,279.866333484048,1210.50804302689
"179",179,98490.2951685778,282.945815440262,1226.75901598197
"180",180,98460.8802096227,285.099736539634,1254.02005383762
"181",181,98456.5879541007,285.639130484462,1257.77291541479
"182",182,98444.2802103326,289.114168401913,1266.60562126549
"183",183,98434.6849737578,292.248505181925,1273.06652106029
"184",184,98420.1067662694,293.704156401718,1286.18907732893
"185",185,98402.0511496909,296.69411702444,1301.25473328466
"186",186,98393.6202382165,300.534450381034,1305.84531140243
"187",187,98369.3258714325,301.729334485802,1328.94479408165
"188",188,98348.6294827195,304.953897901294,1346.41661937926
"189",189,98330.3745188856,309.170056507749,1360.4554246067
"190",190,98328.0051595594,310.565123253953,1361.42971718662
"191",191,98311.2070487921,313.486147990344,1375.30680321751
"192",192,98297.4215470496,316.468685452966,1386.10976749744
"193",193,98272.3827476218,319.843402630908,1407.77384974729
"194",194,98246.2743573983,321.285822068542,1432.43982053311
"195",195,98228.5255633934,323.379081702071,1448.09535490449
"196",196,98208.7809587139,325.450890021854,1465.76815126426
"197",197,98184.1297443229,329.781800921401,1486.08845475566
"198",198,98150.4968180441,333.17204709874,1516.33113485715
"199",199,98138.5163468113,334.92187752262,1526.56177566612
"200",200,98120.7400982402,339.472274675534,1539.78762708428
"201",201,98109.2004311302,343.134975679167,1547.66459319062
"202",202,98094.5848560423,345.237367901167,1560.17777605649
"203",203,98075.4348342708,349.698935072885,1574.86623065633
"204",204,98043.2140818301,352.467138917302,1604.31877925263
"205",205,98017.0043904398,355.68088221955,1627.31472734069
"206",206,98003.1268931927,358.014990591574,1638.85811621577
"207",207,97974.170284863,362.849069955787,1662.98064518118
"208",208,97935.7542962108,366.892736418628,1697.35296737057
"209",209,97897.9044258936,371.457916983686,1730.63765712268
"210",210,97876.9376922522,375.821952736023,1747.2403550118
"211",211,97859.4918525831,377.194653144687,1763.31349427218
"212",212,97848.4903696615,378.916519876994,1772.59311046148
"213",213,97827.9453417442,381.238019555709,1790.81663870005
"214",214,97814.3610312338,383.666604216513,1801.97236454972
"215",215,97798.0376673775,385.382024073385,1816.58030854911
"216",216,97772.3663999247,389.013666953438,1838.61993312187
"217",217,97739.271821052,395.187428025185,1865.5407509228
"218",218,97720.5582775803,398.660070057743,1880.78165236191
"219",219,97691.9490816635,402.979369328967,1905.07154900755
"220",220,97664.058315952,404.616034470928,1931.32564957704
"221",221,97637.5121541321,408.416373271064,1954.07147259687
"222",222,97618.2573239177,412.688808142481,1969.05386793982
"223",223,97596.2236372937,415.884392910418,1987.89196979592
"224",224,97579.3150480688,418.811001696936,2001.8739502343
"225",225,97562.3447533493,422.643091808535,2015.01215484216
"226",226,97540.5823469711,426.927692456405,2032.48996057248
"227",227,97499.5698632162,431.829355375648,2068.60078140816
"228",228,97496.7137546129,434.685463978934,2068.60078140816
"229",229,97448.923019131,438.551430706064,2112.52555016289
"230",230,97412.5369359371,444.638788239753,2142.82427582315
"231",231,97412.5369359371,444.638788239753,2142.82427582315
"232",232,97388.4896415523,451.383704712166,2160.12665373554
"233",233,97356.7987256856,454.346236534909,2188.85503777945
"234",234,97327.6949831129,458.300223495792,2214.00479339133
"235",235,97313.1012615709,461.105336173187,2225.79340225591
"236",236,97279.8366715248,464.842470144122,2255.32085833105
"237",237,97246.9300431002,469.994341921691,2283.07561497808
"238",238,97206.9634088558,472.17734689768,2320.85924424653
"239",239,97200.5425308307,476.026639236347,2323.43082993291
"240",240,97173.4318084158,482.685399867244,2343.88279171696
"241",241,97128.0396872623,486.111614020905,2385.8486987168
"242",242,97102.4559653942,491.175644127234,2406.36839047857
"243",243,97071.5068196229,495.992591961408,2432.50058841567
"244",244,97038.2344489262,497.497571791319,2464.26797928251
"245",245,97002.2528945378,501.060153018324,2496.68695244388
"246",246,96985.3575520091,503.611193595186,2511.03125439573
"247",247,96972.3146467692,508.193407499839,2519.49194573101
"248",248,96943.5053472996,511.78501888092,2544.70963381947
"249",249,96927.4902478886,514.676932519357,2557.83281959201
"250",250,96893.7638555375,519.643273723142,2586.59287073937
"251",251,96857.2595517924,524.617603799035,2618.12284440857
"252",252,96842.1334709817,530.328774501571,2627.5377545167
"253",253,96805.0170327997,531.831383290178,2663.15158391015
"254",254,96766.0616208708,536.623703202693,2697.31467592653
"255",255,96721.7927149523,541.436407633767,2736.77087741389
"256",256,96695.2151870342,547.158703159746,2757.62610980606
"257",257,96664.2839893876,551.108020855863,2784.60798975651
"258",258,96627.4213548844,555.453260796404,2817.12538431921
"259",259,96584.6008837958,559.491716533177,2855.90739967106
"260",260,96557.9978345472,564.129548212085,2877.8726172407
"261",261,96519.2189731561,567.871590359937,2912.90943648401
"262",262,96483.4702189044,572.331589641361,2944.19819145421
"263",263,96453.0143140522,575.883933270141,2971.10175267771
"264",264,96425.5152102025,580.139915543245,2994.34487425427
"265",265,96393.8251714275,585.834306824971,3020.3405217475
"266",266,96357.5268361379,589.965533782512,3052.5076300796
"267",267,96321.0604765662,594.810323879201,3084.12919955458
"268",268,96297.8132106777,598.998849002648,3103.18794031965
"269",269,96274.2375391038,604.83076141655,3120.93169947963
"270",270,96241.8831419953,609.367258233439,3148.74959977126
"271",271,96206.2375910482,615.158072422527,3178.60433652924
"272",272,96163.4044671999,618.251853309984,3218.34367949013
"273",273,96142.7648518375,623.811914967077,3233.42323319542
"274",274,96099.8315802606,629.602341960639,3270.5660777788
"275",275,96046.9888215733,635.107741245175,3317.90343718153
"276",276,96015.9593780359,640.298111798782,3343.7425101653
"277",277,95991.2151640878,644.008987748333,3364.77584816387
"278",278,95945.1019921517,650.432041299361,3404.4659665489
"279",279,95912.9846608662,654.291472527471,3432.72386660634
"280",280,95859.0533249279,658.642671921548,3482.30400315057
"281",281,95830.9090508561,662.512273724368,3506.57867541954
"282",282,95789.7355268785,667.373943238334,3542.89052988313
"283",283,95755.267648984,672.931387601393,3571.80096341463
"284",284,95715.1964093616,677.252410845497,3607.55117979289
"285",285,95660.2567625588,682.228494356237,3657.51474308501
"286",286,95619.0148598461,686.33529297557,3694.64984717831
"287",287,95595.8412513449,692.587016560893,3711.57173209425
"288",288,95565.7578918268,697.686879024448,3736.55522914878
"289",289,95512.0635776694,703.513241984709,3784.42318034592
"290",290,95470.5315309065,709.938396785675,3819.53007230778
"291",291,95440.8710738394,716.063576972418,3843.0653491882
"292",292,95400.6570730692,721.304457817644,3878.03846911318
"293",293,95359.4747990361,726.485031413714,3914.04016955022
"294",294,95307.2474856727,731.594192053255,3961.158322274
"295",295,95269.8855634112,735.017908777749,3995.09652781101
"296",296,95234.0668860024,740.596522217663,4025.33659177989
"297",297,95177.5668615347,746.091414692828,4076.34172377243
"298",298,95126.9888822298,752.609733834436,4120.40138393578
"299",299,95094.9967753897,757.296217890696,4147.70700671963
"300",300,95049.8787028635,763.362823561403,4186.75847357506
"301",301,95024.4542941044,767.110533983971,4208.43517191158
"302",302,94981.6145993644,772.303004081134,4246.08239655448
"303",303,94929.4842115372,776.961555126762,4293.55423333601
"304",304,94889.3685318662,782.190423479869,4328.44104465397
"305",305,94839.7675490659,787.859431454643,4372.37301947947
"306",306,94778.9917322326,793.419362160834,4427.5889056066
"307",307,94730.1323335242,800.517156965129,4469.35050951062
"308",308,94690.7114934438,805.574231930101,4503.71427462609
"309",309,94643.0280198277,813.052816269485,4543.91916390283
"310",310,94597.6806884491,818.230649978475,4584.08866157242
"311",311,94542.8894097554,823.506363537002,4633.60422670763
"312",312,94508.6682303428,830.30454406307,4661.02722559409
"313",313,94450.073870574,835.33687263601,4714.58925679003
"314",314,94404.8075992757,838.090698558973,4757.10170216532
"315",315,94356.541761558,843.078551774195,4800.37968666784
"316",316,94309.4041745703,848.417657715991,4842.17816771372
"317",317,94268.1026505521,854.776340602828,4877.12100884503
"318",318,94211.2477121499,860.524125946836,4928.2281619033
"319",319,94160.7247801798,865.7478543489,4973.52736547128
"320",320,94106.2570819997,872.129840524955,5021.61307747535
"321",321,94052.6738766616,876.271833045567,5071.05429029286
"322",322,94006.904181544,882.635128001747,5110.46069045422
"323",323,93946.9008021801,890.892345104044,5162.20685271584
"324",324,93890.4669289372,896.433946586892,5213.0991244759
"325",325,93861.0225342423,901.181822813144,5237.79564294455
"326",326,93793.4455702655,905.885370614739,5300.66905911975
"327",327,93753.9068778162,911.160364412603,5334.93275777121
"328",328,93687.1350779314,916.668681499905,5396.1962405687
