"","Day","S","I","R"
"1",1,101602.168414248,-160.540654846589,-1441.6277594017
"2",2,101600.474527003,56.6568634472671,-1657.1313904498
"3",3,98874.0987845897,130.899326702602,995.00188870768
"4",4,99199.1072374383,136.088212433007,664.804550128729
"5",5,99666.3135407404,84.515758755541,249.17070050404
"6",6,99372.3713825003,135.076729407107,492.551888092586
"7",7,99848.9473741638,45.3520407996324,105.700585036546
"8",8,99638.7060984387,172.739300126147,188.55460143519
"9",9,100124.835333193,119.112531175039,-243.94786436824
"10",10,100615.811088431,64.9600516303586,-680.771140061228
"11",11,101111.680538949,10.2769259088699,-1121.95746485832
"12",12,99889.7494733018,180.8693468692,-70.6188201709521
"13",13,99139.5224290141,111.387618959293,749.089952026559
"14",14,99496.9837706724,157.333602101974,345.682627225605
"15",15,100012.908524779,100.477693920583,-113.386218699561
"16",16,98969.5240782111,-59.2263205142344,1089.70224230316
"17",17,99495.7710401538,-117.199335281639,621.428295127804
"18",18,98808.1906765405,-45.7762325375795,1237.58555599712
"19",19,99344.9610602269,-104.887291710991,759.926231484125
"20",20,99391.91911219,44.2757094245531,563.805178385483
"21",21,98484.7106779864,162.7797299825,1352.50959203109
"22",22,99037.6515928346,101.921577072182,860.426830093169
"23",23,99525.7701848929,87.3483139454017,386.881501161728
"24",24,100089.753898749,25.2982278715717,-115.052126620132
"25",25,99882.1592071057,-161.124154512379,278.964947406684
"26",26,99331.5766506647,185.91008534735,482.513263987945
"27",27,99912.5278684105,122.030390582482,-34.5582589929525
"28",28,100499.24443067,57.5295210019768,-556.773951671778
"29",29,98695.2681991431,115.727378216271,1189.00442264063
"30",30,97786.6738927102,135.686231871913,2077.63987541792
"31",31,98391.0220053188,69.2872741814459,1539.69072049974
"32",32,99001.3608297251,2.24394332339843,996.395226951511
"33",33,98800.1557866022,109.798044159988,1090.04616923779
"34",34,98189.3091412354,268.170144846242,1542.52071391833
"35",35,98817.9678909813,199.158001462067,982.874107556668
"36",36,99452.8509541661,129.477530431839,417.671515402013
"37",37,100094.018047359,59.1226231985968,-153.140670558005
"38",38,100741.529421544,-11.912877237046,-729.616544306977
"39",39,101395.445866117,-83.6351765465755,-1311.81068957043
"40",40,102055.828712901,-156.050529300765,-1899.77818359988
"41",41,99294.2202925721,131.861412276031,573.918295151862
"42",42,99967.7221290988,58.0409922028603,-25.7631213016403
"43",43,100602.577353613,13.7086623974945,-616.286016010975
"44",44,98875.8108955443,166.283449559488,957.905654896181
"45",45,99569.4649982123,90.307283979498,340.227717808165
"46",46,99971.67536647,212.459328174195,-184.134694644188
