"","Day","S","I","R"
"1",1,102065.723747806,29.388905535599,-2095.11265334206
"2",2,101712.509297172,25.8740045166927,-1738.38330168893
"3",3,100692.535149672,86.4427168453104,-778.977866517772
"4",4,100999.893100608,66.3239161503148,-1066.21701675816
"5",5,101310.318765218,46.0074950046463,-1356.32626022265
"6",6,101623.842074234,25.4915900542603,-1649.33366428856
"7",7,100873.284159742,21.2502919846466,-894.534451726375
"8",8,100894.049836851,79.1572079089945,-973.207044759851
"9",9,101210.399078195,60.6912621378255,-1271.09034033288
"10",10,101536.617868588,39.3584671656786,-1575.97633575355
"11",11,101141.147478764,33.4101777138702,-1174.55765647835
"12",12,99641.8700787199,54.0421415576043,304.087779722476
"13",13,99283.1671150392,20.3639376358479,696.468947324931
"14",14,98750.6695701922,66.0644313060679,1183.26599850178
"15",15,99093.4652121824,43.6666492952172,862.868138522364
"16",16,98629.5482281001,140.614633798046,1229.83713810181
"17",17,98649.5059859536,166.81233490805,1183.68167913831
"18",18,99002.6391792049,143.751359974113,853.609460820976
"19",19,99359.2852730637,120.465185148224,520.24954178811
"20",20,99719.4783055767,96.9517138399445,183.569980583395
"21",21,100083.252626251,73.2088320268654,-156.461458278033
"22",22,100218.674383453,127.099328074378,-345.773711527617
"23",23,100589.715587213,102.891212949466,-692.606800162287
"24",24,100964.443021251,78.4472396476546,-1042.89026089882
"25",25,100802.988564518,105.403401226242,-908.391965744668
"26",26,99969.4437830819,68.4622849342044,-37.9060680160687
"27",27,99389.3222644144,157.476735341263,453.201000244297
"28",28,99779.1540742378,132.067301870155,88.7786238920907
"29",29,100172.853480547,106.410906072721,-279.264386619849
"30",30,100570.457748846,80.505272524034,-650.963021369617
"31",31,100972.004481384,54.3481073732441,-1026.35258875745
"32",32,101377.531619748,27.9370982473466,-1405.46871799546
"33",33,101601.503548986,75.4994735435481,-1677.00302252914
"34",34,102015.106694102,48.573764782902,-2063.68045888475
"35",35,101163.894044197,94.5034472448842,-1258.39749144141
"36",36,100269.095521974,91.9527742740718,-361.048296247954
"37",37,99167.3386277439,142.496658031677,690.164714224453
"38",38,99597.5643058934,114.512976041879,287.922718064743
"39",39,100032.045701952,86.2587369199426,-118.304438871881
"40",40,100470.823566593,57.7314767440497,-528.555043337469
"41",41,100913.939013572,28.9287122405539,-942.867725812323
"42",42,101224.246686472,54.7226750698751,-1278.96936154156
"43",43,100183.892329546,60.6603366624016,-244.552666207919
"44",44,99314.8718800308,121.69404534825,563.434074620995
"45",45,99731.764566716,109.360673874908,158.874759409096
"46",46,100197.197527784,79.1424552599332,-276.339983043638
"47",47,100257.801147672,63.8532418393792,-321.654389511392
"48",48,100239.745393108,97.3796389714046,-337.125032079734
