"","Day","S","I","R"
"1",1,99987.8002697448,45.5513869563145,-33.3516567010663
"2",2,100025.88915318,50.8754277640283,-76.7645809435663
"3",3,100056.89597101,47.2288035759029,-104.124774585833
"4",4,100013.929103329,44.257135769944,-58.1862390989796
"5",5,100042.243377876,42.7380504978662,-84.9814283737667
"6",6,99997.4342619815,46.0582193720069,-43.4924813535066
"7",7,99901.4215487469,45.2432719178315,53.3351793352348
"8",8,99917.3129432827,48.8223946864587,33.8646620308441
"9",9,99937.3206654837,57.2499748051586,5.4293597111146
"10",10,99930.9461145981,58.0303440927227,11.023541309217
"11",11,99830.3510621423,63.8060348930201,105.842902964675
"12",12,99851.3024823714,65.7205852982155,82.9769323304205
"13",13,99827.7454456886,66.7177377427176,105.536816568678
"14",14,99831.9876395627,73.0047933889783,95.0075670483292
"15",15,99859.3109876147,68.0868508662835,72.6021615190538
"16",16,99853.1817416912,63.1809579338612,83.6373003749443
"17",17,99944.0619993796,65.7327387806554,-9.79473816026898
"18",18,100016.22654251,66.7071065419235,-82.9336490517393
"19",19,100008.915329205,68.8269874195914,-77.7423166246528
"20",20,99901.6714111014,65.4331085737528,32.8954803248756
"21",21,99843.6745699634,60.7178548773476,95.6075751592768
"22",22,99836.8906948315,60.6462349766619,102.463070191826
"23",23,99882.7278520498,62.4086492582861,54.86349869195
"24",24,99894.4688385356,68.9886019609595,36.5425595034711
"25",25,99926.4445777511,70.9464608218133,2.60896142704392
"26",26,99933.5910639763,78.9229843550188,-12.5140483313503
"27",27,99915.6849757621,76.002774292552,8.31224994532401
"28",28,99958.2050849902,76.3884586666182,-34.5935436568189
"29",29,99828.4777538814,62.0092330536782,109.513013064942
"30",30,99819.6910622584,60.126326095507,120.18261164614
"31",31,99823.7972777963,59.7385532528408,116.46416895083
"32",32,99863.184166413,59.8815752691125,76.9342583178396
"33",33,99864.6584893427,62.3238569277239,73.0176537295554
"34",34,99853.5288067966,63.4475838523974,83.0236093509996
"35",35,99872.1208608616,66.2872454229125,61.5918937155168
"36",36,99837.6629210118,69.1139238923994,93.2231550957889
"37",37,99793.5172565831,65.0981622835814,141.384581133361
"38",38,99869.0274815776,54.6579698919058,76.3145485304586
"39",39,99846.5896464798,70.0275752061191,83.3827783140384
"40",40,99769.6183762215,73.2728750603928,157.108748718099
"41",41,99716.2991637249,72.2875851672021,211.41325110792
"42",42,99710.2233082318,73.943498649363,215.833193118824
"43",43,99806.5947245418,68.7049802569584,124.700295201221
"44",44,99755.62424335,68.1838465842064,176.191910065778
"45",45,99827.4741014422,79.5963545011247,92.9295440566864
"46",46,99740.3518410927,75.7541889162921,183.893969991016
"47",47,99729.6929458917,71.2672257618455,199.039828346411
"48",48,99689.6509180602,81.1407127870125,229.20836915283
"49",49,99752.8642062871,86.8723998919403,160.263393820967
"50",50,99727.3378355464,79.6956060993031,192.966558354274
"51",51,99692.9450069664,78.1338486311582,228.921144402484
"52",52,99654.2944349237,82.5011653074809,263.204399768811
"53",53,99674.3889066663,82.084156062621,243.526937271127
"54",54,99606.8269628625,85.1193524078015,308.053684729656
"55",55,99629.3094460534,78.6966605601921,291.993893386403
"56",56,99627.9182722649,79.7826107238151,292.299117011316
