"","Day","S","E","I","R"
"1",1,106867.851001978,54.0929698531957,55940.9254996136,-62862.8694714449
"2",2,95455.3733505394,98.8607269122544,101487.144146842,-97041.378224294
"3",3,95774.1829433004,135.972147086667,139111.84506418,-135022.000154567
"4",4,107837.980642012,166.797377356291,168539.349593787,-176544.127613155
"5",5,118157.618763294,192.46136851962,195153.799950448,-213503.880082262
"6",6,116782.06840787,213.887796862776,216526.756585442,-233522.712790175
"7",7,123173.928777605,231.835105640126,234701.148522695,-258106.91240594
"8",8,104822.605276599,246.926083875368,248667.195286555,-253736.726647029
"9",9,96975.4694183305,259.672143873313,263022.689885395,-260257.831447599
"10",10,78463.8141649997,270.493249346531,272119.078993073,-250853.386407419
"11",11,91125.339477136,279.734274603687,280867.89731709,-272272.971068829
"12",12,105180.342068066,287.678434837255,288936.426760379,-294404.447263282
"13",13,105199.061635726,294.558312512803,295680.802529977,-301174.422478217
"14",14,100913.806699339,300.564910579462,299908.830501867,-301123.202111786
"15",15,116721.770581855,305.855085923298,305827.008933748,-322854.634601527
"16",16,110318.886171772,310.557653096054,310430.13122936,-321059.575054227
"17",17,110625.976410753,314.778396357113,315217.534122628,-326158.288929738
"18",18,114594.729893019,318.604185410679,316995.583292991,-331908.91737142
"19",19,108259.888476167,322.106355220405,321807.8552418,-330389.850073188
"20",20,98991.5344156936,325.34348156224,327527.584283179,-326844.462180435
"21",21,111038.640006491,328.363660404457,329744.203880664,-341111.20754756
"22",22,100517.31278586,331.206379856482,330678.737592582,-331527.256758298
"23",23,110571.300306665,333.904057547056,333227.207578342,-344132.411942555
"24",24,76458.3786872042,336.48330325554,336873.266465767,-313668.128456226
"25",25,72507.2648227391,338.965955917704,339708.97768683,-312555.208465487
"26",26,80499.4186527811,341.369935340831,342215.693947995,-323056.482536116
"27",27,94349.9802699022,343.709941749072,344847.940820379,-339541.631032031
"28",28,92261.1642444023,345.998030356945,347379.751042659,-339986.913317419
"29",29,110116.497430104,348.244083305703,350895.9021335,-361360.64364691
"30",30,92707.3573622501,350.456197303984,352517.397215059,-345575.210774613
"31",31,97219.5599374628,352.641002035261,352821.380797053,-350393.581736551
"32",32,105700.604005809,354.803921702086,354460.69056039,-360516.098487901
"33",33,104163.523002686,356.949389866091,356470.450665971,-360990.923058522
"34",34,99643.9659847716,359.081025927104,360385.324361835,-360388.371372534
"35",35,95562.3361529086,361.201780093683,364080.259457996,-360003.797390998
"36",36,91869.7784688888,363.314052472927,365967.476883475,-358200.569404836
"37",37,95488.4649633395,365.419790901854,368363.550102508,-364217.434856749
"38",38,86083.3867019458,367.520571316785,369976.128946119,-356427.036219382
"39",39,93133.9144636344,369.617663778981,372283.239036719,-365786.771164132
"40",40,88714.7911683516,371.712086717721,373655.954962859,-362742.458217928
"41",41,77562.6182878458,373.804651494548,375237.364016698,-353173.786956039
"42",42,64066.0723329466,375.89599901669,376103.317087751,-340545.285419714
"43",43,78395.7913540321,377.986629819027,378156.486809703,-356930.264793554
"44",44,83993.3253647248,380.076928780539,380832.141680904,-365205.543974409
"45",45,92732.2671011478,382.167185432974,382644.490373192,-375758.924659773
"46",46,94519.06583192,384.257610648451,384993.619408776,-379896.942851344
"47",47,77182.7668824426,386.348350352309,386883.209645493,-364452.324878288
"48",48,88015.4598410333,388.439496792084,388143.151230463,-376547.050568288
"49",49,89106.5910354783,390.53109779877,391784.966153251,-381282.088286528
"50",50,108735.620217004,392.623164398654,394290.085389595,-403418.328770997
"51",51,103293.876701897,394.715677070078,394604.550231521,-398293.142610487
"52",52,101227.532379853,396.808590886958,399090.412401512,-400714.753372253
"53",53,87797.6461098422,398.901839747715,402550.525398652,-390747.073348242
"54",54,92506.7449623477,400.995339852864,403300.764187534,-396208.504489734
"55",55,81354.2183620088,403.088992565348,404992.099977007,-386749.407331581
"56",56,92146.1394836277,405.182686763809,406854.670746046,-399405.992916437
"57",57,102333.399049603,407.276300779317,405818.922803975,-408559.598154357
"58",58,104312.315115704,409.369703989945,406854.136915329,-411575.821735023
"59",59,97173.8684502885,411.4627581343,410680.57939788,-408265.910606303
"60",60,85480.6019858277,413.55531839423,414522.198961767,-400416.356265989
"61",61,86865.4492845525,415.647234287977,416382.372932513,-403663.469451354
"62",62,95818.2962089384,417.738350407667,419114.904937169,-415350.939496515
"63",63,99269.1370101958,419.828507029017,418979.859204961,-418668.824722186
"64",64,100623.176265448,421.917540616144,423449.307915855,-424494.401721919
"65",65,90292.5564003698,424.005284240293,426109.857423179,-416826.419107789
"66",66,83485.559416004,426.091567927948,426537.987420573,-410449.638404505
"67",67,71529.6323533059,428.176218951028,428917.620316282,-400875.428888539
"68",68,83453.3533517513,430.259062069613,430928.393096401,-414812.005510222
"69",69,109092.964206231,432.339919735783,432419.878592471,-441945.182718438
"70",70,120004.412600684,434.418612265623,434254.258412686,-454693.089625636
"71",71,109555.326021176,436.494957985182,436812.583148084,-446804.404127245
"72",72,117603.50615698,438.568773355165,440713.292347712,-458755.367278047
"73",73,111199.129370667,440.639873078261,442103.05670676,-453742.825950506
"74",74,98601.0600380934,442.708070192325,445351.376038175,-444395.14414646
"75",75,84549.1062064885,444.773176152072,446980.056523987,-431973.935906628
"76",76,86723.8071955625,446.835000901436,450130.809899344,-437301.452095807
"77",77,87121.0119954717,448.893352938399,450026.141112029,-437596.04646044
"78",78,102684.535758974,450.948039373743,454439.119157002,-457574.602955349
"79",79,105393.699187308,452.998865984947,455087.933340223,-460934.631393516
"80",80,102144.988737312,455.045637266197,453942.718597603,-456542.752972181
"81",81,114604.802408138,457.088156475347,455954.242661243,-471016.133225856
"82",82,140767.018275598,459.126225678483,459568.828480036,-500794.972981312
"83",83,100954.041186268,461.159645792649,462774.113525315,-464189.314357376
"84",84,108188.303273482,463.188216627168,464668.61611895,-473320.107609059
"85",85,86170.4329741845,465.211736923958,467077.768009787,-453713.412720896
"86",86,86525.1184836166,467.230004397109,468231.344055774,-455223.692543788
"87",87,86789.6756964233,469.242815771993,469001.510645739,-456260.429157935
"88",88,93858.8298989407,471.249966824109,471720.943749535,-466051.0236153
"89",89,102013.182683791,473.25125241781,472490.098918051,-474976.53285426
"90",90,104375.178872205,475.246466545065,475013.12326376,-479863.548602511
"91",91,105757.010442503,477.23540236436,476616.009985759,-482850.255830626
"92",92,111613.003568989,479.21785223982,480728.3197484,-492820.541169629
"93",93,81606.4762238591,481.193607780629,484769.384765299,-466857.054596939
"94",94,100081.14684413,483.162459880807,487280.674889554,-487844.984193565
"95",95,84428.7935540466,485.124198759379,488885.912829387,-473799.830582193
"96",96,102318.566277209,487.078614000987,489214.973220543,-492020.618111753
"97",97,110613.983641089,489.025494596952,491078.09611818,-502181.105253867
"98",98,109990.364393291,490.964628986822,491523.29903935,-502004.628061628
"99",99,91440.7233348204,492.895805100419,492479.755285244,-484413.374425165
"100",100,88986.7931518796,494.818810400388,497063.983083515,-486545.595045795
"101",101,104228.82188862,496.733431925251,498096.884708561,-502822.440029105
"102",102,122205.182103243,498.639456332991,498284.048625714,-520987.870185291
"103",103,122654.485656592,500.536669945132,500860.149666526,-524015.171993063
"104",104,114621.490819047,502.424858791341,502659.880886852,-517783.796564691
"105",105,116852.480850565,504.303808654535,504149.362715429,-521506.147374648
"106",106,102677.047319409,506.173305116485,504493.036120636,-507676.256745161
"107",107,83087.8841869011,508.033133603913,506520.88392099,-490116.801241495
"108",108,93793.1155966429,509.883079435072,508816.168845483,-503119.167521561
"109",109,90033.2729298005,511.7229278668,510420.313774326,-500965.309631993
"110",110,82549.3922042704,513.552464142028,512159.747542116,-495222.692210528
"111",111,86977.9179018268,515.371473537747,513579.872492166,-501073.16186753
"112",112,80392.5766323399,517.179741413397,516233.905529221,-497143.661902974
"113",113,88897.9470899084,518.977053259686,517727.294716141,-507144.218859309
"114",114,95877.7332655854,520.763194747811,520507.265399273,-516905.761859606
"115",115,107778.211843209,522.537951779068,522013.059751883,-530313.809546871
"116",116,111033.990654715,524.301110534843,525440.005335775,-536998.297101025
