"","Day","S","E","I","R"
"1",1,98750.5240662685,54.0929698531957,821.364005102876,374.018958775389
"2",2,97227.6146849557,98.8607269122544,811.516525163984,1862.00806296808
"3",3,100613.4233992,135.972147086667,1118.0366380326,-1867.43218431926
"4",4,100575.219424891,166.797377356291,883.655768587611,-1625.67257083461
"5",5,98014.0235766341,192.46136851962,955.807333313494,837.707721532809
"6",6,97370.3417230671,213.887796862776,836.6715132096,1579.09896686053
"7",7,97473.6683928355,231.835105640126,900.090435264594,1394.4060662598
"8",8,98031.9988746088,246.926083875368,916.106140562763,804.968900953019
"9",9,96809.4824275706,259.672143873313,788.961010212312,2141.88441834374
"10",10,98501.6988256644,270.493249346531,1021.77675512141,206.031169867616
"11",11,99767.4490192563,279.734274603687,790.684282322142,-837.867576182169
"12",12,98643.0123765512,287.678434837255,977.713332994593,91.5958556169266
"13",13,98950.0713051069,294.558312512803,770.37485377348,-15.0044713932156
"14",14,96707.4693316468,300.564910579462,910.941738759536,2081.0240190142
"15",15,97862.7568606378,305.855085923298,682.235284891554,1149.15276854734
"16",16,97352.4563988452,310.557653096054,766.31217594399,1570.67377211477
"17",17,97960.376832435,314.778396357113,840.157585320118,884.687185887746
"18",18,99098.1562359232,318.604185410679,815.598518544247,-232.35893987816
"19",19,97597.3891157852,322.106355220405,1092.38868144886,988.115847545541
"20",20,99428.290465851,325.34348156224,747.148563215542,-500.782510628805
"21",21,96985.9142473295,328.363660404457,873.099907054814,1812.62218521121
"22",22,97709.2322292004,331.206379856482,748.423134675457,1211.13825626768
"23",23,97182.8513996754,333.904057547056,1005.75957740442,1477.4849653731
"24",24,97177.9718256877,336.48330325554,1026.72000927026,1458.82486178651
"25",25,96561.140904682,338.965955917704,754.752110047632,2345.14102935266
"26",26,97727.3289218649,341.369935340831,829.84065100397,1101.46049179025
"27",27,96051.730474284,343.709941749072,1014.73361916394,2589.82596480297
"28",28,98668.5373183075,345.998030356945,880.133290127555,105.331361207987
"29",29,97713.7496604012,348.244083305703,755.981748232751,1182.02450806035
"30",30,97654.2146391276,350.456197303984,1032.99184647158,962.337317096816
"31",31,98612.702461788,352.641002035261,846.051139253238,188.605396923463
"32",32,96543.6373541577,354.803921702086,876.847259149892,2224.71146499032
"33",33,98533.09531816,356.949389866091,831.803084002508,278.152207971381
"34",34,95934.2595253138,359.081025927104,826.144434675373,2880.51501408371
"35",35,97065.7137121425,361.201780093683,1077.81588973466,1495.26861802918
"36",36,97530.0430165484,363.314052472927,893.152273962235,1213.49065701641
"37",37,96710.1369693608,365.419790901854,977.756924294558,1946.6863154428
"38",38,97439.1238952471,367.520571316785,881.662587735836,1311.69294570026
"39",39,95442.2103413342,369.617663778981,794.033874678877,3394.1381202079
"40",40,95726.0864836067,371.712086717721,862.602499924733,3039.59892975083
"41",41,98594.5497016884,373.804651494548,891.822350773728,139.823296043349
"42",42,97637.8421338204,375.89599901669,838.11690192634,1148.14496523653
"43",43,97474.3587172666,377.986629819027,853.781658307307,1293.87299460711
"44",44,95434.6516532821,380.076928780539,856.271776839687,3328.99964109765
"45",45,96333.0816033946,382.167185432974,1084.95456722503,2199.79664394744
"46",46,95816.3140596615,384.257610648451,913.677339261101,2885.75099042898
"47",47,94953.0591914478,386.348350352309,980.615436138893,3679.97702206103
