"","Day","S","E","I","R"
"1",1,98916.7863589986,54.0929698531957,1483.31945588985,-454.198784741681
"2",2,98951.3945420071,98.8607269122544,1895.90424834039,-946.159517259744
"3",3,98817.6205087678,135.972147086667,2250.58845897934,-1204.18111483376
"4",4,98795.1399436614,166.797377356291,2536.19664852325,-1498.13396954092
"5",5,98738.7538746401,192.46136851962,2769.48568509716,-1700.70092825689
"6",6,98664.4175490863,213.887796862776,2999.91282941552,-1878.21817536464
"7",7,98379.238256866,231.835105640126,3139.15904220008,-1750.23240470623
"8",8,98548.1229992012,246.926083875368,3298.64425158527,-2093.6933346618
"9",9,98656.7186178485,259.672143873313,3418.99774694455,-2335.38850866641
"10",10,98286.9576988584,270.493249346531,3524.65659436729,-2082.10754257222
"11",11,98350.9963650766,279.734274603687,3601.88321481247,-2232.61385449276
"12",12,98340.8869982702,287.678434837255,3682.85718184914,-2311.42261495656
"13",13,98312.0948993167,294.558312512803,3755.1423847812,-2361.79559661069
"14",14,98408.4034692701,300.564910579462,3819.50485300036,-2528.47323284989
"15",15,98337.692737949,305.855085923298,3860.17604162338,-2503.7238654957
"16",16,98127.0085338206,310.557653096054,3927.16101403341,-2364.72720095004
"17",17,98188.4708880031,314.778396357113,3964.50098144508,-2467.75026580529
"18",18,98095.4554465426,318.604185410679,3997.44393450563,-2411.50356645893
"19",19,97974.0093429397,322.106355220405,4051.68778541636,-2347.80348357645
"20",20,97902.1297065295,325.34348156224,4071.32048953319,-2298.79367762495
"21",21,98052.2203892342,328.363660404457,4104.41540926373,-2484.99945890236
"22",22,97933.7797979552,331.206379856482,4135.27758940072,-2400.26376721237
"23",23,97807.3381336567,333.904057547056,4183.50501116503,-2324.74720236882
"24",24,97690.2916869437,336.48330325554,4234.65255771525,-2261.42754791445
"25",25,97753.1494541241,338.965955917704,4230.06604420644,-2322.18145424826
"26",26,97808.0229965844,341.369935340831,4257.14088581539,-2406.53381774067
"27",27,97724.8742167451,343.709941749072,4295.69816571586,-2364.28232421005
"28",28,97729.0370223217,345.998030356945,4335.3856596594,-2410.42071233807
"29",29,97483.7454310857,348.244083305703,4350.94823167884,-2182.93774607022
"30",30,97533.0032282815,350.456197303984,4399.91569282738,-2283.37511841283
"31",31,97460.7782623169,352.641002035261,4383.93615408599,-2197.35541843819
"32",32,97421.0760330784,354.803921702086,4426.10631600848,-2201.98627078901
"33",33,97429.5474385097,356.949389866091,4447.21387319524,-2233.71070157107
"34",34,97269.2580512811,359.081025927104,4489.26205979136,-2117.60113699952
"35",35,97349.023646991,361.201780093683,4513.27149187788,-2223.49691896255
"36",36,97335.7152112006,363.314052472927,4532.02768513386,-2231.05694880736
"37",37,97036.6048913829,365.419790901854,4572.76361484133,-1974.7882971261
"38",38,97109.4997109137,367.520571316785,4588.18360371903,-2065.20388594956
"39",39,97141.3586007605,369.617663778981,4631.72281780111,-2142.69908234062
"40",40,96832.9411338035,371.712086717721,4652.44156093979,-1857.094781461
"41",41,96929.5759372765,373.804651494548,4684.22876348055,-1987.60935225163
"42",42,96960.1833212865,375.89599901669,4704.40722123078,-2040.48654153399
"43",43,97043.036805147,377.986629819027,4719.41322763694,-2140.43666260292
"44",44,96707.0388988672,380.076928780539,4759.01377716635,-1846.12960481414
"45",45,96857.7797462917,382.167185432974,4790.21329188768,-2030.16022361231
"46",46,96389.2199421398,384.257610648451,4821.04245464113,-1594.52000742942
"47",47,96643.4405027406,386.348350352309,4842.74813997552,-1872.53699306848
"48",48,96681.5108923514,388.439496792084,4847.30765226874,-1917.25804141223
"49",49,96479.3498848951,390.53109779877,4875.55911459094,-1745.44009728485
"50",50,96440.9569037711,392.623164398654,4930.13987527735,-1763.71994344709
"51",51,96469.0918374733,394.715677070078,4957.46613857491,-1821.27365311834
"52",52,96331.3849445979,396.808590886958,4962.10568207402,-1690.29921755888
"53",53,96368.9074985815,398.901839747715,4998.66816062445,-1766.47749895361
"54",54,96277.0177710032,400.995339852864,5028.09007363484,-1706.10318449093
"55",55,96241.4038658852,403.088992565348,5050.61514188342,-1695.10800033394
"56",56,96001.8805339734,405.182686763809,5081.74978746264,-1488.81300819983
"57",57,95894.5172940425,407.276300779317,5114.040306338,-1415.83390115983
"58",58,96162.013036149,409.369703989945,5146.08808944163,-1717.47082958061
"59",59,96004.2542550934,411.4627581343,5137.73832069051,-1553.45533391817
"60",60,95896.4766516942,413.55531839423,5179.82275998424,-1489.85473007264
"61",61,96083.8129663804,415.647234287977,5209.98502524526,-1709.44522591362
"62",62,95809.5171279136,417.738350407667,5237.17904775202,-1464.43452607327
"63",63,95567.6684357275,419.828507029017,5259.05287972208,-1246.54982247858
"64",64,95539.6761646732,421.917540616144,5280.88016876135,-1242.47387405067
"65",65,95644.3790851001,424.005284240293,5315.64463074767,-1384.02900008807
"66",66,95596.0334939159,426.091567927948,5346.71439226997,-1368.83945411382
"67",67,95506.4581133502,428.176218951028,5367.5063029107,-1302.14063521195
"68",68,95462.6883064772,430.259062069613,5409.9214368692,-1302.86880541603
"69",69,95349.1308793467,432.339919735783,5428.41169361638,-1209.88249269891
"70",70,95190.4138489971,434.418612265623,5467.37928091142,-1092.21174217412
"71",71,95249.5145851996,436.494957985182,5459.58100066031,-1145.59054384506
"72",72,95011.2208090684,438.568773355165,5483.47631381749,-933.265896241026
"73",73,95048.8458334631,440.639873078261,5524.48793781977,-1013.9736443611
"74",74,94792.4031677294,442.708070192325,5543.3571461083,-778.468384030063
"75",75,94906.0798879852,444.773176152072,5586.22100495079,-937.074069088074
"76",76,94926.2449020273,446.835000901436,5587.98459293666,-961.064495865447
"77",77,94794.1578580793,448.893352938399,5618.83689933761,-861.888110355319
"78",78,94581.4442869237,450.948039373743,5666.23202841394,-698.624354711404
"79",79,94579.7674179263,452.998865984947,5681.86763475556,-714.633918666809
"80",80,94614.2976302782,455.045637266197,5704.43792102564,-773.781188570068
"81",81,94551.7950843015,457.088156475347,5729.54296925722,-738.426210034063
"82",82,94526.363438442,459.126225678483,5759.37897074063,-744.868634861097
"83",83,94432.4898558706,461.159645792649,5786.34699396022,-679.99649562349
"84",84,94383.6184295435,463.188216627168,5819.87381862483,-666.680464795491
"85",85,94114.6847482111,465.211736923958,5846.04563450276,-425.942119637835
"86",86,94232.4485922364,467.230004397109,5864.09690134389,-563.775497977362
"87",87,94167.6426608314,469.242815771993,5882.05676051432,-518.942237117722
"88",88,94055.598856371,471.249966824109,5916.63474079603,-443.483563991127
"89",89,93930.3981167007,473.25125241781,5942.2872672814,-345.936636399953
