"","Day","S","E","I","R"
"1",1,107893.996678264,54.0929698531957,922.079332778245,-8870.16898089507
"2",2,102135.243462647,98.8607269122544,1276.19524347784,-3510.29943303735
"3",3,94134.9152539448,135.972147086667,2749.75385587695,2979.35874309157
"4",4,94714.9674924727,166.797377356291,1390.99308415065,3727.24204602039
"5",5,101566.59372186,192.46136851962,1729.15452164184,-3488.2096120213
"6",6,104698.138954221,213.887796862776,769.422989751845,-5681.44974083553
"7",7,87341.6025925447,231.835105640126,1159.68024722307,11266.8820545921
"8",8,90087.9923873423,246.926083875368,1777.55500817238,7887.52652061
"9",9,85236.7055122325,259.672143873313,1807.67621102624,12695.946132868
"10",10,84365.8613062402,270.493249346531,1493.24673338943,13870.3987110238
"11",11,85679.504557966,279.734274603687,1208.14934418054,12832.6118232498
"12",12,84871.4045535158,287.678434837255,245.583046827808,14595.3339648192
"13",13,97093.0941887031,294.558312512803,1147.96942617045,1464.37807261368
"14",14,101646.800083617,300.564910579462,1231.55551154237,-3178.92050573847
"15",15,107266.238943801,305.855085923298,2551.78063689497,-10123.8746666196
"16",16,115275.920112042,310.557653096054,2250.53604300713,-17837.0138081456
"17",17,112684.291429629,314.778396357113,2553.64335390444,-15552.7131798902
"18",18,90763.4861102527,318.604185410679,2138.53809709238,6779.37160724424
"19",19,96155.7848496478,322.106355220405,1712.38115030421,1809.72764482763
"20",20,93506.8001061001,325.34348156224,2289.40880775257,3878.44760458507
"21",21,105549.603301139,328.363660404457,2869.29213684073,-8747.25909838421
"22",22,107529.081537743,331.206379856482,1482.27556892202,-9342.56348652194
"23",23,102113.624244712,333.904057547056,1555.03987554072,-4002.56817779989
"24",24,94632.2191198067,336.48330325554,1217.92586786911,3813.37170906868
"25",25,91606.162823285,338.965955917704,1311.62872926642,6743.24249153085
"26",26,98954.4855924042,341.369935340831,1356.94653029662,-652.802058041658
"27",27,110876.497120161,343.709941749072,429.310541740206,-11649.5176036507
"28",28,106938.868415807,345.998030356945,753.457769180677,-8038.32421534486
"29",29,113860.627761454,348.244083305703,839.995270285613,-15048.8671150457
"30",30,115722.526320677,350.456197303984,1480.68999663694,-17553.6725146182
"31",31,120755.394535232,352.641002035261,984.927713661532,-22092.9632509289
"32",32,110463.559796795,354.803921702086,2049.17256024288,-12867.5362787401
"33",33,123150.208615721,356.949389866091,1909.19658449385,-25416.3545900814
"34",34,112579.69358617,359.081025927104,567.545123402411,-13506.3197354991
"35",35,99863.6541764697,361.201780093683,-84.1410057798928,-140.714950783522
"36",36,89501.0259138039,363.314052472927,-830.782242865647,10966.4422765888
"37",37,96339.0189133361,365.419790901854,647.862302994817,2647.69899276726
"38",38,97469.7097063575,367.520571316785,194.62220860875,1968.14751371699
"39",39,104807.263404729,369.617663778981,-1235.79008411102,-3941.09098439679
"40",40,113537.399721556,371.712086717721,-574.841387598205,-13334.2704206753
"41",41,111377.13760897,373.804651494548,-810.734377084739,-10940.2078833796
"42",42,117413.876416941,375.89599901669,-387.112892852415,-17402.6595231054
"43",43,118565.581734772,377.986629819027,-1062.2816467725,-17881.2867178185
