"","coupleid","date","time","d1sex","p1sex","d1racewhbl","p1racewhbl","isdhandler","isphandler","isdcc1r","ispcc1r","isdcc2","ispcc2","isdemotional","ispemotional","isdinstr","ispinstr","isdminimize","ispminimize","isdavoid","ispavoid","isdunsupp","ispunsupp","isdhappy","isphappy","isddepr","ispdepr","isdanger","ispanger","isdanx","ispanx","isdcc2r","ispcc2r"
"1",1,2013-05-13,0,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","most of the time","none of the time",3.5,3.5,2.5,4,2,1,1,3,1.33333333333333,4,2.66666666666667,3.66666666666667,1.33333333333333,1.66666666666667,1,2.66666666666667,3,2,4,1
"2",1,2013-05-14,1,"male","female","white","white","noncommunal","noncommunal","noncommunal","communal","a little of the time","most of the time",2,3.5,2,3.5,1.5,1,1,3,1.33333333333333,3,3,3.66666666666667,1.33333333333333,1.33333333333333,1,2,2,2.5,2,4
"3",1,2013-05-15,2,"male","female","white","white","noncommunal","noncommunal","noncommunal","communal","a little of the time","none of the time",2.5,2.5,2,3,1,1,1,2,1.33333333333333,3.33333333333333,3.33333333333333,2,1,3,1,4,2,3.5,2,1
"4",1,2013-05-16,3,"male","female","white","white","noncommunal","noncommunal","noncommunal","communal","a little of the time","a little of the time",2,2.5,2,3.5,1,1,1,3,1.33333333333333,4,3,4,1.33333333333333,1,1,2,2,2,2,2
"5",1,2013-05-18,4,"male","female","white","white","noncommunal","noncommunal","noncommunal","communal","a little of the time","some of the time",2.5,2,3,2,1.5,1,1,2,2.66666666666667,2.33333333333333,3,4.66666666666667,1.66666666666667,1,1,1,2,1.5,2,3
"6",1,2013-05-19,5,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","most of the time","none of the time",3,2,2.5,2,1.5,1,1,4,1.33333333333333,4,2.33333333333333,3.66666666666667,3,1.66666666666667,2.66666666666667,2.66666666666667,3.5,1.5,4,1
"7",1,2013-05-20,6,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","none of the time","a little of the time",2,1.5,1,1,1,1,1,2,2.66666666666667,1.66666666666667,2.66666666666667,3.33333333333333,1,1,1,1.66666666666667,2,2,1,2
"10",1,2013-05-23,9,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","a little of the time","a little of the time",3,2,2.5,2.5,1,1,1,2,1,2.33333333333333,2.33333333333333,3,1,3,1.33333333333333,3.66666666666667,2,3.5,2,2
"11",1,2013-05-25,10,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","some of the time","none of the time",3,1.5,2,1.5,1,1,1,4,1,1,1.33333333333333,4,1.33333333333333,1.66666666666667,1.33333333333333,2,2,2,3,1
"12",1,2013-05-26,11,"male","female","white","white","noncommunal","noncommunal","noncommunal","noncommunal","a little of the time","a little of the time",2.5,2.5,1.5,1.5,1,1.5,1,3,1,1.33333333333333,1.66666666666667,3,1.33333333333333,2,1,2,2,2,2,2
"13",1,2013-05-27,12,"male","female","white","white","noncommunal","noncommunal","noncommunal","communal","some of the time","none of the time",3.5,2,2.5,1.5,1,1,1,2,1.66666666666667,3.66666666666667,1.33333333333333,3,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,2,2.5,3,1
"15",2,2012-09-23,0,"male","female","black","white","communal","noncommunal","communal","communal","all of the time","most of the time",4,3,4,2.5,2.5,1,1,1,1,1,5,2.33333333333333,1,1,1,1,1,2.5,5,4
"16",2,2012-09-24,1,"male","female","black","white","communal","noncommunal","communal","communal","all of the time","some of the time",4,3.5,4,2.5,2.5,2.5,1,2,1,1.66666666666667,5,2,1,1,1,2,1,2,5,3
"17",2,2012-09-25,2,"male","female","black","white","communal","communal","communal","communal","most of the time","some of the time",4,3.5,4,2,2.5,2,1,1,1,1.33333333333333,5,2,1,1,1,1.33333333333333,1,1.5,4,3
"19",2,2012-09-27,4,"male","female","black","white","communal","communal","communal","communal","most of the time","most of the time",4,4,4,3.5,2.5,2,1,1,1,1,5,3,1,1,1,1,1.5,1,4,4
"20",2,2012-09-28,5,"male","female","black","white","communal","noncommunal","communal","communal","all of the time","a little of the time",4,3.5,4,2.5,2.5,2.5,1,1,1,1,5,1.66666666666667,1,1.33333333333333,1,1,1,1.5,5,2
"21",2,2012-09-29,6,"male","female","black","white","communal","noncommunal","communal","communal","all of the time","a little of the time",4,1.5,4,1,2.5,1,1,1,1,1,5,1.66666666666667,1,1.66666666666667,1,1,1,1.5,5,2
