"","Day","S","I","R"
"1",1,99935.6021854758,51.6089874522779,12.7888270719366
"2",2,99935.6021854758,51.4595536614825,12.938260862732
"3",3,99922.019258841,55.9879637552035,21.992777403841
"4",4,99922.019258841,55.9879637552035,21.992777403841
"5",5,99922.019258841,55.9879637552035,21.992777403841
"6",6,99922.019258841,55.9879637552035,21.992777403841
"7",7,99922.019258841,55.9879637552035,21.992777403841
"8",8,99922.019258841,55.9879637552035,21.992777403841
"9",9,99922.019258841,55.9879637552035,21.992777403841
"10",10,99922.019258841,55.9879637552035,21.992777403841
"11",11,99922.019258841,55.9879637552035,21.992777403841
"12",12,99922.019258841,55.9879637552035,21.992777403841
"13",13,99922.019258841,55.9879637552035,21.992777403841
"14",14,99914.0228413377,55.8769272677629,30.1002313945181
"15",15,99914.0228413377,55.8769272677629,30.1002313945181
"16",16,99901.0571572979,57.3200197076231,41.6228229944381
"17",17,99891.6109779475,57.3612631783528,51.0277588741972
"18",18,99891.6109779475,57.3612631783528,51.0277588741972
"19",19,99885.5995077001,59.8143982227031,54.5860940772125
"20",20,99878.825457357,59.6271916134354,61.5473510296071
"21",21,99876.5696047317,61.5220423139654,61.9083529543459
"22",22,99876.5696047317,61.5220423139654,61.9083529543459
"23",23,99869.7683645186,61.9046885055718,68.3269469757947
"24",24,99864.2124117739,62.56997851123,73.2176097148988
"25",25,99864.2124117739,62.56997851123,73.2176097148988
"26",26,99838.5844754995,64.3738302011937,97.0416942992867
"27",27,99832.8104511999,63.7792554536882,103.4102933464
"28",28,99832.8104511999,63.7792554536882,103.4102933464
"29",29,99826.7966344336,67.8997738453795,105.303591721019
"30",30,99826.7966344336,67.8997738453795,105.303591721019
"31",31,99826.7966344336,67.8997738453795,105.303591721019
"32",32,99826.6877016251,68.0087066538431,105.303591721019
"33",33,99826.6877016251,68.0087066538431,105.303591721019
"34",34,99818.4143453604,70.185643812496,111.40001082707
"35",35,99818.4143453604,70.185643812496,111.40001082707
"36",36,99815.2014307795,70.9047994253442,113.893769795123
"37",37,99812.4206989003,71.6145364763484,115.964764623367
"38",38,99807.2697770577,71.8955065751968,120.83471636714
"39",39,99807.2697770577,71.8955065751968,120.83471636714
"40",40,99807.2697770577,71.8955065751968,120.83471636714
"41",41,99807.2697770577,71.8955065751968,120.83471636714
"42",42,99807.2697770577,71.8955065751968,120.83471636714
"43",43,99787.130829909,74.3696469703458,138.499523120653
"44",44,99766.1209907566,77.3450489278555,156.533960315565
"45",45,99766.1209907566,77.3450489278555,156.533960315565
"46",46,99766.1209907566,77.3450489278555,156.533960315565
"47",47,99766.1209907566,77.3450489278555,156.533960315565
"48",48,99761.37071678,80.6417573067704,157.987525913184
"49",49,99757.5655015566,82.9461010540468,159.488397389382
"50",50,99757.5655015566,82.9461010540468,159.488397389382
"51",51,99757.5655015566,82.9461010540468,159.488397389382
"52",52,99730.7852968485,84.0317884780816,185.18291467338
"53",53,99718.1652935038,87.9684920572772,193.866214438894
"54",54,99718.1652935038,87.9684920572772,193.866214438894
"55",55,99718.1652935038,87.9684920572772,193.866214438894
"56",56,99718.1652935038,87.9684920572772,193.866214438894
"57",57,99718.1652935038,87.9684920572772,193.866214438894
"58",58,99718.1652935038,87.9684920572772,193.866214438894
"59",59,99718.1652935038,87.9684920572772,193.866214438894
"60",60,99718.1652935038,87.9684920572772,193.866214438894
"61",61,99707.5816319942,92.6901525443216,199.728215461469
"62",62,99698.7032159481,91.0198864242995,210.276897627642
"63",63,99687.9794146959,92.7743455983194,219.246239705749
"64",64,99669.1733657932,94.7866452382466,236.039988968533
"65",65,99667.8313490214,95.5288537543721,236.639797224266
"66",66,99659.9070914409,95.6381411784435,244.454767380691
"67",67,99653.9238535462,94.6428891823597,251.433257271434
"68",68,99651.2553812973,97.3113614312605,251.433257271434
"69",69,99651.2553812973,97.3113614312605,251.433257271434
"70",70,99651.2553812973,97.3113614312605,251.433257271434
"71",71,99649.9479034266,98.6188393019692,251.433257271434
"72",72,99649.9479034266,98.6188393019692,251.433257271434
"73",73,99646.2490923498,102.317650378798,251.433257271434
"74",74,99626.01396778,103.156682470607,270.829349749433
"75",75,99626.01396778,103.156682470607,270.829349749433
"76",76,99618.5258704966,104.133033704069,277.341095799321
"77",77,99610.1192947595,105.810574266376,284.070130974171
"78",78,99602.3057133141,107.900862859832,289.793423826027
"79",79,99602.3057133141,107.900862859832,289.793423826027
"80",80,99592.3599780502,107.716100131918,299.92392181787
"81",81,99580.9068369099,109.642099187933,309.45106390217
"82",82,99566.3175170267,113.630588856201,320.051894117137
"83",83,99558.2759927103,114.193111148835,327.530896140818
"84",84,99535.6664157728,115.997718029748,348.335866197502
"85",85,99535.6664157728,115.997718029748,348.335866197502
"86",86,99535.6664157728,115.997718029748,348.335866197502
"87",87,99535.6664157728,115.997718029748,348.335866197502
"88",88,99522.2507806876,120.074249637992,357.674969674414
"89",89,99522.2507806876,120.074249637992,357.674969674414
"90",90,99507.5531999867,121.589964724623,370.856835288712
"91",91,99491.580756441,121.506767872374,386.912475686635
"92",92,99473.8654241753,123.485986054779,402.648589769911
"93",93,99464.3690128521,127.345393189325,408.285593958606
"94",94,99464.3690128521,127.345393189325,408.285593958606
"95",95,99464.3690128521,127.345393189325,408.285593958606
"96",96,99464.3690128521,127.345393189325,408.285593958606
"97",97,99459.7317795708,131.104519726803,409.163700702418
"98",98,99447.8522818604,131.911755382054,420.235962757536
"99",99,99447.8522818604,131.911755382054,420.235962757536
"100",100,99442.4618921385,135.840987199823,421.69712066168
"101",101,99437.7282960131,137.552036237085,424.719667749831
"102",102,99437.3662136378,137.914118612401,424.719667749831
"103",103,99437.3662136378,137.914118612401,424.719667749831
"104",104,99422.171206595,138.661993326474,439.166800078499
"105",105,99416.2964936164,139.807426395851,443.896079987743
"106",106,99389.806530377,141.022967751582,469.170501871406
"107",107,99377.6411319473,141.585276938244,480.773591114444
"108",108,99373.162913157,144.352613717102,482.484473125861
"109",109,99350.9731920352,144.550141548832,504.476666415948
"110",110,99346.1680874041,148.470359392801,505.361553203065
"111",111,99346.1680874041,148.470359392801,505.361553203065
"112",112,99342.6978745076,151.278177314683,506.023948177698
"113",113,99336.8348731062,152.583016687553,510.582110206204
"114",114,99309.2078346326,154.980589441194,535.81157592616
"115",115,99301.7838515621,153.177788782098,545.038359655805
"116",116,99291.8699032616,154.508448983731,553.621647754671
"117",117,99282.2754877083,156.809071202926,560.915441088725
"118",118,99272.269530924,159.118347417344,568.612121658692
"119",119,99262.1778065264,159.849020286856,577.97317318675
"120",120,99237.7968742524,159.740737477882,602.462388269752
"121",121,99232.5569582898,162.275424676339,605.167617033888
"122",122,99194.8001168564,163.541764946881,641.658118196711
"123",123,99188.9094946717,169.080464524832,642.010040803503
"124",124,99188.6273699664,169.36258923011,642.010040803503
"125",125,99188.6273699664,169.36258923011,642.010040803503
"126",126,99185.3329963947,172.656962801793,642.010040803503
"127",127,99170.3884685495,176.369421091911,653.242110358561
"128",128,99170.3884685495,176.369421091911,653.242110358561
"129",129,99170.3884685495,176.369421091911,653.242110358561
"130",130,99170.3884685495,176.369421091911,653.242110358561
"131",131,99139.443168288,179.291713894398,681.265117817651
"132",132,99127.3198858356,179.75636574079,692.923748423576
"133",133,99121.8989158529,182.801713381838,695.299370765291
"134",134,99114.3219118886,185.909125876731,699.768962234665
"135",135,99114.3219118886,185.909125876731,699.768962234665
"136",136,99095.786159378,190.538774355746,713.675066266273
"137",137,99078.1776090697,191.010823034174,730.811567896102
"138",138,99056.2911856414,191.052165308289,752.656649050312
"139",139,99048.3623023951,192.914587265016,758.72311033992
"140",140,99023.8018954815,196.68462542669,779.513479091761
"141",141,99023.8018954815,196.68462542669,779.513479091761
"142",142,99017.7200640269,200.71069043564,781.569245537504
"143",143,99017.7200640269,200.71069043564,781.569245537504
"144",144,99014.7686703862,203.662084076342,781.569245537504
"145",145,99014.7686703862,203.662084076342,781.569245537504
"146",146,98990.6013969274,205.889637102241,803.508965970309
"147",147,98978.2559760843,207.799985194407,813.944038721249
"148",148,98973.6319881695,209.515298195788,816.852713634732
"149",149,98959.1196783068,211.845142015253,829.035179677917
"150",150,98935.7934024677,214.947832492794,849.258765039541
"151",151,98928.5966855737,216.927097486575,854.476216939748
"152",152,98910.6962043003,219.410481980763,869.893313718908
"153",153,98909.3435689374,220.763117343734,869.893313718908
"154",154,98894.2924150982,222.244721397805,883.462863503966
"155",155,98885.2030456551,225.244589545072,889.552364799828
"156",156,98885.2030456551,225.244589545072,889.552364799828
"157",157,98847.6255737579,228.88693833308,923.487487909001
"158",158,98828.2211615822,231.825822635659,939.953015782154
"159",159,98798.2526608302,233.970020101819,967.777319067982
"160",160,98786.4043466226,237.04897442531,976.546678952105
"161",161,98786.4043466226,237.04897442531,976.546678952105
"162",162,98776.8591075918,240.821414511508,982.319477896698
"163",163,98761.4982598888,244.711990127763,993.78974998345
"164",164,98740.3936042204,246.554838876084,1013.05155690353
"165",165,98735.703093797,249.436784655591,1014.8601215474
"166",166,98728.5025058266,250.473489488672,1021.0240046847
"167",167,98702.0043802256,252.467492235888,1045.52812753851
"168",168,98681.3299404915,254.869389443739,1063.80067006476
"169",169,98662.2578260514,257.374591543298,1080.36758240526
"170",170,98658.9681891483,260.180751479094,1080.85105937264
"171",171,98639.1812577137,261.635131444099,1099.18361084221
"172",172,98613.8057259428,264.891544107268,1121.30272994997
"173",173,98613.8057259428,264.891544107268,1121.30272994997
"174",174,98600.8944521898,267.511205343594,1131.59434246657
"175",175,98589.2651836337,271.135040591039,1139.5997757753
"176",176,98563.0191572288,272.901290898276,1164.07955187291
"177",177,98552.3869057416,274.28616522266,1173.32692903571
"178",178,98546.154285196,276.983994097938,1176.86172070608
"179",179,98535.5793906654,281.460626066978,1182.95998326767
"180",180,98496.9172153726,285.082081929556,1218.00070269789
"181",181,98471.7708133597,287.492765612776,1240.73642102756
"182",182,98463.9537540921,289.769740446284,1246.2765054616
"183",183,98457.8705545883,292.048810791647,1250.08063462005
"184",184,98432.2772636283,295.518533800772,1272.20420257095
"185",185,98416.8744735197,298.597761095991,1284.52776538431
"186",186,98390.0751326811,300.131042498128,1309.79382482073
"187",187,98349.1558616474,302.599067439746,1348.24507091283
"188",188,98329.3195428206,305.30536372027,1365.37509345916
"189",189,98310.72967274,308.278870557989,1380.99145670199
"190",190,98286.7342698585,311.140165726731,1402.12556441479
"191",191,98257.581032886,314.283944978271,1428.13502213573
"192",192,98235.5869147763,317.368021753201,1447.04506347045
"193",193,98226.9409244697,320.965983403707,1452.09309212658
"194",194,98217.236527597,324.120945922902,1458.64252648006
"195",195,98208.6851440375,326.838843426527,1464.47601253594
"196",196,98208.6851440375,326.838843426527,1464.47601253594
"197",197,98183.5970230664,330.58537747474,1485.81759945888
"198",198,98153.1314649079,333.27830404927,1513.59023104279
"199",199,98145.8117073642,335.244011367303,1518.94428126852
"200",200,98121.6959661261,338.731538236102,1539.57249563778
"201",201,98100.9831829272,341.7065174118,1557.31029966099
