"","Day","S","I","R"
"1",1,99952.1498034981,52.2701008588269,-4.41990435691348
"2",2,99945.5358339984,51.1883109615767,3.2758550400732
"3",3,99936.9256953013,52.2606401832807,10.8136645154021
"4",4,99927.6199186654,51.022192657733,21.3578886769196
"5",5,99924.6482701864,53.6305400100448,21.7211898036061
"6",6,99925.2460038092,53.3014297391279,21.4525664516926
"7",7,99930.1201820155,54.2462261346545,15.6335918498277
"8",8,99918.0334014904,53.7614518930832,28.2051466165394
"9",9,99927.6050810309,54.5814536407378,17.8134653283715
"10",10,99920.5314030989,56.591708800123,22.8768881009904
"11",11,99901.1976304217,57.5944006510109,41.2079689272904
"12",12,99905.5102070947,57.0767705191334,37.4130223861839
"13",13,99894.3234269468,55.1608912770191,50.5156817761672
"14",14,99911.5070963374,56.894938742309,31.5979649202561
"15",15,99897.4494510092,58.4176211135384,44.1329278772477
"16",16,99908.2860479519,57.1356149298283,34.5783371183067
"17",17,99889.1701244144,59.0890573393487,51.7408182462945
"18",18,99876.1430212199,60.8336056400645,63.0233731400072
"19",19,99892.4306537764,61.2276388764586,46.3417073471232
"20",20,99866.0567281585,62.4017769300089,71.5414949114578
"21",21,99890.6111462908,61.2945590502257,48.0942946589501
"22",22,99887.7285897563,60.6512557282945,51.6201545153844
"23",23,99869.9114418772,63.8878029845511,66.2007551382541
"24",24,99875.1812129493,64.4305940770036,60.3881929736652
"25",25,99856.7771041739,64.5891469975436,78.6337488285738
"26",26,99868.1449845388,64.4947279065898,67.3602875545795
"27",27,99876.0687353129,65.0439506932159,58.8873139938084
"28",28,99844.9530436726,65.2305768968667,89.8163794305171
"29",29,99852.9247347853,67.1872280257247,79.888037188909
"30",30,99834.1090576805,69.0466407983548,96.8443015211251
"31",31,99841.3167719994,67.2933416051634,91.3898863954213
"32",32,99840.5159253624,68.1789725935225,91.3051020440861
"33",33,99841.0156333266,68.6970468290071,90.2873198443816
"34",34,99825.3561529185,71.9755974497913,102.668249631709
"35",35,99819.4224438114,71.6614349794333,108.916121209087
"36",36,99824.0247285213,72.5395195448981,103.435751933802
"37",37,99802.5771900843,73.6688912524779,123.753918663219
"38",38,99815.9520462459,74.3587818735069,109.689171880601
"39",39,99800.4637043264,75.317022125889,124.219273547728
"40",40,99799.1324049679,74.5596718005353,126.307923231575
"41",41,99788.5494648863,74.5760279146775,136.874507199009
"42",42,99804.3156471666,76.0734983192119,119.610854514207
"43",43,99780.8725365391,76.5256489335747,142.601814527351
"44",44,99791.9593350366,78.2769882377523,129.763676725661
"45",45,99767.6466215994,78.8325454889987,153.520832911566
"46",46,99796.2444361647,78.7159351741382,125.03962866114
"47",47,99773.1495353032,79.5219750046403,147.3284896921
"48",48,99755.5579157833,80.6704300984852,163.771654118234
"49",49,99771.9194023216,81.3448803891443,146.735717289274
"50",50,99753.9215748375,80.2442125349046,165.834212627548
