"","Day","S","I","R"
"1",1,99951.5674191628,51.2864170745263,-2.85383623732529
"2",2,99953.419338045,50.5158523145975,-3.93519035962135
"3",3,99950.0584385865,51.2146996865178,-1.27313827298718
"4",4,99936.3218933039,51.4090624976142,12.2690441985387
"5",5,99931.0686034409,52.7664646942392,16.1649318648187
"6",6,99930.9627141973,53.6492712655966,15.3880145370739
"7",7,99919.5079840129,52.4873907873773,28.0046251997505
"8",8,99926.3601500401,53.738182708632,19.9016672512732
"9",9,99911.5307285444,53.8301309404372,34.6391405151295
"10",10,99895.5132751758,55.5842863950983,48.9024384291166
"11",11,99922.0140455156,55.067078277061,22.9188762072989
"12",12,99920.6708277626,56.4255694203223,22.9036028170805
"13",13,99916.0256608683,57.5571235922658,26.4172155394069
"14",14,99914.9995149964,57.2354131237421,27.7650718798674
"15",15,99917.0787453496,57.9669110468409,24.9543436036131
"16",16,99903.2804667216,58.8265640429867,37.8929692354715
"17",17,99921.7116624165,59.0074681075664,19.2808694758975
"18",18,99913.2214651917,60.2676745054677,26.5108603028809
"19",19,99912.3506271111,59.5001812310752,28.1491916578206
"20",20,99892.1814802724,60.5678805567765,47.2506391707883
"21",21,99886.6803267615,60.9969909532983,52.322682285172
"22",22,99879.4431163443,61.7231031896423,58.8337804660352
"23",23,99877.8339410249,63.7630484809158,58.403010494149
"24",24,99855.7760077531,64.0902680994286,80.1337241474234
"25",25,99850.2242883084,64.7012932702879,85.0744184212528
"26",26,99851.2590069749,66.8943115404235,81.8466814846781
"27",27,99819.9166823745,66.5626791483624,113.520638477086
"28",28,99819.2748408558,68.553097981676,112.172061162476
"29",29,99834.616787631,68.8709662525833,96.5122461163557
"30",30,99843.5820518939,67.6810744770973,88.736873628962
"31",31,99830.2200861489,65.867612527084,103.912301324015
"32",32,99822.5910751611,66.8898199926907,110.519104846158
"33",33,99832.6815113099,65.9613389761743,101.357149713934
"34",34,99816.0288340049,68.4712435169828,115.499922478118
"35",35,99813.7733036971,70.4438563019178,115.782840000985
"36",36,99807.6634414179,70.7568798241943,121.579678757829
"37",37,99817.3766201647,70.2976344900571,112.325745345172
"38",38,99817.0356203752,71.2481067055543,111.716272919247
"39",39,99818.5375200481,71.1261498755039,110.336330076363
"40",40,99797.735882411,72.5204885024454,129.743629086558
"41",41,99790.2085787956,74.6545872302443,135.136833974101
"42",42,99789.7601439555,76.5880533088845,133.651802735545
"43",43,99779.1621137004,76.4699718512414,144.367914448291
"44",44,99792.2107083902,77.7310552246641,130.058236385149
"45",45,99789.0656872001,77.8565466454793,133.077766154357
"46",46,99775.3012421107,78.1099013903471,146.588856498928
