"","Day","S","I","R"
"1",1,99934.9592470472,52.4824061824207,12.5583467704104
"2",2,99934.9592470472,52.4824061824207,12.5583467704104
"3",3,99934.9592470472,52.4824061824207,12.5583467704104
"4",4,99934.9592470472,52.4824061824207,12.5583467704104
"5",5,99934.9592470472,52.4824061824207,12.5583467704104
"6",6,99934.9592470472,52.4824061824207,12.5583467704104
"7",7,99934.9592470472,52.4824061824207,12.5583467704104
"8",8,99934.9592470472,52.4824061824207,12.5583467704104
"9",9,99923.1909455972,54.5389247280951,22.2701296746703
"10",10,99923.1909455972,54.5389247280951,22.2701296746703
"11",11,99912.2505085402,54.8890272352444,32.860464224562
"12",12,99907.5203261745,56.2600515488407,36.2196222766693
"13",13,99904.2465310161,57.6106927887027,38.1427761952058
"14",14,99904.2465310161,57.6106927887027,38.1427761952058
"15",15,99889.2572662436,58.7535165312137,51.9892172251576
"16",16,99884.8412271828,58.999069629014,56.1597031882314
"17",17,99883.1317688332,60.708527978534,56.1597031882314
"18",18,99883.1317688332,60.708527978534,56.1597031882314
"19",19,99883.1317688332,60.708527978534,56.1597031882314
"20",20,99883.1317688332,60.708527978534,56.1597031882314
"21",21,99875.4751349685,62.4446815436142,62.0801834879193
"22",22,99875.4751349685,62.4446815436142,62.0801834879193
"23",23,99874.862317355,62.7956542839308,62.3420283610543
"24",24,99865.092487055,64.164449208953,70.743063736039
"25",25,99865.092487055,64.164449208953,70.743063736039
"26",26,99844.870820769,64.2385716295314,90.8906076014326
"27",27,99842.9202615239,66.1891308747064,90.8906076014326
"28",28,99842.4452024085,66.3638226426275,91.190974948854
"29",29,99840.5686510596,67.4777118380212,91.9536371023363
"30",30,99839.6556283624,68.3907345352987,91.9536371023363
"31",31,99839.6556283624,68.3907345352987,91.9536371023363
"32",32,99839.6556283624,68.3907345352987,91.9536371023363
"33",33,99829.7800482258,69.1334539220278,101.086497852155
"34",34,99823.7175375488,70.7448624962559,105.537599954958
"35",35,99822.9823950335,71.4800050115879,105.537599954958
"36",36,99814.6561986799,72.164572177845,113.17922914222
"37",37,99814.1070490304,72.7137218273683,113.17922914222
"38",38,99808.101524629,73.0429890992155,118.855486271766
"39",39,99798.3281001205,74.4565977612604,127.215302118236
"40",40,99798.3281001205,74.4565977612604,127.215302118236
"41",41,99797.0953823191,75.6893155626261,127.215302118236
"42",42,99793.1126674616,76.8507627239352,130.036569814499
"43",43,99793.1126674616,76.8507627239352,130.036569814499
"44",44,99790.9346503463,78.5262741455134,130.53907550817
"45",45,99790.9346503463,78.5262741455134,130.53907550817
"46",46,99790.9346503463,78.5262741455134,130.53907550817
"47",47,99790.9346503463,78.5262741455134,130.53907550817
"48",48,99773.0763027474,79.8656181748909,147.058079077751
"49",49,99764.0996334475,81.8515397687316,154.048826783734
"50",50,99764.0996334475,81.8515397687316,154.048826783734
"51",51,99755.9141862712,82.5740135340446,161.511800194757
"52",52,99749.6888681945,83.4643280544537,166.846803751092
"53",53,99741.0106542754,84.1809761861441,174.808369538478
"54",54,99739.3497146286,84.9587456187747,175.691539752644
"55",55,99738.7195993416,85.4266405814748,175.853760076886
"56",56,99719.111068901,87.0678165302823,193.821114568708
"57",57,99709.730091132,89.6352133666168,200.634695501407
"58",58,99709.3038594968,90.0614450017546,200.634695501407
"59",59,99709.3038594968,90.0614450017546,200.634695501407
"60",60,99709.3038594968,90.0614450017546,200.634695501407
"61",61,99688.3878268085,90.954729190388,220.657444001131
"62",62,99678.6776557178,94.5764055347114,226.745938747479
"63",63,99678.6776557178,94.5764055347114,226.745938747479
"64",64,99678.6776557178,94.5764055347114,226.745938747479
"65",65,99678.6776557178,94.5764055347114,226.745938747479
"66",66,99678.6776557178,94.5764055347114,226.745938747479
"67",67,99678.6776557178,94.5764055347114,226.745938747479
"68",68,99656.2194287865,99.4631801251267,244.317391088375
"69",69,99656.2194287865,99.4631801251267,244.317391088375
"70",70,99656.2194287865,99.4631801251267,244.317391088375
"71",71,99641.1346791845,101.118884475924,257.746436339577
"72",72,99641.1346791845,101.118884475924,257.746436339577
"73",73,99621.7051260554,103.847443688167,274.447430256404
"74",74,99621.7051260554,103.847443688167,274.447430256404
"75",75,99616.6333232072,105.87307344953,277.493603343249
"76",76,99609.9362986418,107.897420762341,282.166280595817
"77",77,99609.9362986418,107.897420762341,282.166280595817
"78",78,99589.8565589908,109.51375373287,300.62968727629
"79",79,99589.8565589908,109.51375373287,300.62968727629
"80",80,99588.8949532348,110.048734907787,301.056311857408
"81",81,99579.1210576212,111.235026593887,309.643915784881
"82",82,99579.1210576212,111.235026593887,309.643915784881
"83",83,99561.5006806588,113.535252486167,324.964066854998
"84",84,99561.5006806588,113.535252486167,324.964066854998
"85",85,99546.0212383947,114.670910133913,339.307851471409
"86",86,99542.9617235693,117.620944670264,339.417331760406
"87",87,99535.3807010725,118.090773885078,346.528525042452
"88",88,99535.3807010725,118.090773885078,346.528525042452
"89",89,99532.5431934436,119.451929425456,348.004877130923
"90",90,99516.1048077661,121.551904204768,362.343288029165
"91",91,99516.1048077661,121.551904204768,362.343288029165
"92",92,99511.3992008243,123.552949642487,365.047849533249
"93",93,99493.2316677389,125.435709333285,381.332622927841
"94",94,99475.7512357235,125.90675384271,398.342010433824
"95",95,99472.8006022765,127.75819613133,399.441201592195
"96",96,99470.7828089159,129.775989491889,399.441201592195
"97",97,99470.7828089159,129.775989491889,399.441201592195
"98",98,99455.3700969468,130.609750755618,414.020152297607
"99",99,99453.7573689978,132.222478704548,414.020152297607
"100",100,99430.9346893808,134.499500454409,434.565810164839
"101",101,99429.9245993457,135.509590489417,434.565810164839
"102",102,99429.9245993457,135.509590489417,434.565810164839
"103",103,99416.0103793355,139.053583660595,444.936037003897
"104",104,99413.3955628818,138.084221144241,448.520215973966
"105",105,99393.0543386412,140.791568397247,466.154092961551
"106",106,99393.0543386412,140.791568397247,466.154092961551
"107",107,99385.0268942048,143.059787525851,471.913318269336
"108",108,99376.0040812313,144.118607790124,479.877310978552
"109",109,99361.8571833689,146.253258738684,491.889557892396
"110",110,99359.4048387971,148.705603310463,491.889557892396
"111",111,99359.4048387971,148.705603310463,491.889557892396
"112",112,99330.8769884018,152.081960940876,517.041050657371
"113",113,99330.8769884018,152.081960940876,517.041050657371
