"","Day","S","I","R"
"1",1,98934.4192912612,1010.62825841201,54.9524503267854
"2",2,98882.7825212196,1019.17032464164,98.047154138795
"3",3,98820.1724241976,1028.053917005,151.773658797346
"4",4,98764.5664977231,1038.30348270326,197.130019573647
"5",5,98695.1897926883,1049.89075895397,254.919448357789
"6",6,98620.9938667308,1059.67671177559,319.329421493673
"7",7,98575.0794645636,1069.54504005647,355.375495379943
"8",8,98509.8045350798,1078.77246793589,411.422996984281
"9",9,98427.615121012,1088.57468313669,483.810195851305
"10",10,98373.0449340199,1096.94092697894,530.014139001202
"11",11,98310.7636973446,1106.14135857713,583.094944078294
"12",12,98266.8001010227,1115.82165836018,617.378240617123
"13",13,98197.6821437291,1124.13551522277,678.182341048118
"14",14,98129.4009560593,1134.38026204273,736.218781897933
"15",15,98067.4038782302,1145.30218476149,787.29393700837
"16",16,98006.9615094007,1157.63181285017,835.406677749173
"17",17,97930.4326178506,1166.66305820212,902.904323947334
"18",18,97858.2373901808,1177.79100328176,963.971606537426
"19",19,97790.2725816728,1189.57643223551,1020.15098609168
"20",20,97749.8551155672,1200.13844544565,1050.00643898719
"21",21,97664.6227022501,1210.51986659335,1124.85743115658
"22",22,97553.4393715393,1219.26935982738,1227.29126863335
"23",23,97481.119998599,1229.0425925838,1289.83740881723
"24",24,97408.7235381326,1239.05946111838,1352.21700074908
"25",25,97351.7464602479,1248.92370674275,1399.32983300935
"26",26,97272.8214308706,1259.33317594383,1467.84539318555
"27",27,97195.6956299885,1270.21743474189,1534.08693526961
"28",28,97139.0935651455,1280.61381682367,1580.29261803087
"29",29,97059.5984065364,1291.37206879667,1649.0295246669
"30",30,96984.3362911656,1303.99816181223,1711.66554702217
"31",31,96896.45843236,1314.83833542004,1788.70323222003
"32",32,96811.9436358072,1324.76942458672,1863.28693960607
"33",33,96744.4380201129,1335.2697275022,1920.29225238494
"34",34,96653.3415997183,1347.13822741602,1999.52017286569
"35",35,96570.3902481743,1356.97299238493,2072.63675944073
"36",36,96499.3880966678,1366.77562236895,2133.83628096326
"37",37,96428.0664227601,1376.12244978961,2195.81112745027
"38",38,96368.1703328934,1386.24202648726,2245.58764061937
"39",39,96261.9296273486,1396.72981546392,2341.34055718752
"40",40,96186.4407809205,1409.70431123353,2403.85490784599
