"","Day","S","I","R"
"1",1,99898.9133860319,99.8663246379752,1.22028933010146
"2",2,99885.8263293985,101.682303621592,12.4913669799364
"3",3,99880.1369450096,102.223193188017,17.6398618024181
"4",4,99886.2963937236,103.850817096934,9.85278917942472
"5",5,99873.8682785684,104.816190347812,21.3155310837999
"6",6,99866.0511343617,105.791332584596,28.1575330537164
"7",7,99851.0395383333,107.062625289373,41.8978363773044
"8",8,99858.7842689879,109.130970123275,32.0847608888329
"9",9,99859.4650905383,110.349174187781,30.1857352738899
"10",10,99843.5448095115,108.788899761212,47.6662907273009
"11",11,99832.0140230477,111.526515396557,56.4594615557128
"12",12,99845.0464988228,111.566202223712,43.3872989534464
"13",13,99808.5153431614,114.381431652994,77.103225185655
"14",14,99809.9367916062,115.61919309828,74.4440152955681
"15",15,99804.6638039985,115.839473773443,79.49672222805
"16",16,99804.1838933613,117.215252728632,78.6008539100778
"17",17,99800.0721729889,116.477167981166,83.4506590299857
"18",18,99771.8113189188,119.040912008682,109.147769072511
"19",19,99786.1052412889,119.95271356125,93.9420451498205
"20",20,99753.6713676781,122.155970137062,124.17266218487
"21",21,99759.1200677934,122.674547734585,118.205384472018
"22",22,99749.2846633522,123.975319742499,126.740016905339
"23",23,99760.9119253317,125.950098460724,113.137976207646
"24",24,99745.1251586576,127.934271059276,126.940570283199
"25",25,99734.0550328171,128.805624316375,137.139342866528
"26",26,99725.8469974265,128.307366656519,145.845635917046
"27",27,99725.3848048594,130.334753733878,144.280441406712
"28",28,99716.4350038758,131.340239896083,152.224756228171
"29",29,99713.470521306,135.608658526865,150.920820167175
"30",30,99694.5153673147,136.218453451351,169.266179234015
"31",31,99687.3738732903,136.967264381966,175.65886232777
"32",32,99677.3546142301,138.580535825718,184.064849944219
"33",33,99686.9937304723,139.080916439622,173.925353088151
"34",34,99659.7743549458,139.219226531606,201.00641852262
"35",35,99658.2646925478,141.656673973108,200.078633479173
"36",36,99635.0572427352,143.552085227632,221.390672037236
"37",37,99625.0432412409,145.725288986199,229.231469772957
"38",38,99617.337498757,146.771586380191,235.890914862824
"39",39,99621.8466831772,145.843786035988,232.309530786839
"40",40,99598.3547136175,148.514569855307,253.130716527203
"41",41,99598.956049444,148.244028410819,252.799922145205
"42",42,99589.8957886657,150.213677702373,259.890533631978
"43",43,99576.5970421802,150.748397490576,272.654560329281
"44",44,99569.9334674236,155.106191587475,274.96034098894
"45",45,99568.4399169773,153.954172128994,277.605910893744
"46",46,99531.7295530946,158.79140750941,309.479039395992
"47",47,99536.9275076132,158.311559777054,304.760932609809
"48",48,99542.0534525043,160.366038887206,297.580508608502
"49",49,99540.0524796187,163.443036394458,296.50448398691
"50",50,99527.1959415366,163.956972974287,308.847085489168
"51",51,99494.2444965631,165.567024026712,340.1884794102
"52",52,99490.8446644488,167.718148185266,341.437187365925
"53",53,99473.2680083262,169.204965479895,357.527026193988
"54",54,99484.3325673928,170.308561216989,345.358871390277
"55",55,99459.2187816781,170.892797809612,369.888420512346
"56",56,99463.2540847702,174.005471719186,362.740443510635
"57",57,99444.2628946426,174.747021331912,380.990084025526
"58",58,99424.737004805,176.566742210863,398.696252984156
"59",59,99415.9544472938,179.082718684375,404.962834021816
"60",60,99410.7875279829,180.928934156972,408.283537860106
"61",61,99402.6689494584,181.132285840078,416.198764701579
"62",62,99386.0755449762,183.762504806924,430.161950216883
"63",63,99362.8491361736,187.295743009506,449.855120816954
"64",64,99370.8810750806,188.160406647002,440.958518272421
"65",65,99337.3975639015,187.933321760987,474.669114337551
"66",66,99356.6388633216,192.600163441091,450.760973237361
"67",67,99333.934022656,192.147510416585,473.918466927429
"68",68,99326.7832693253,196.308415272253,476.908315402453
"69",69,99320.2525533728,194.416104974505,485.331341652728
"70",70,99301.0603586505,199.084967586197,499.854673763307
"71",71,99292.8719898574,201.721512135287,505.406498007375
"72",72,99266.5813298616,201.39237474562,532.026295392851
"73",73,99262.9331450031,202.465989351361,534.600865645556
"74",74,99264.0885249614,207.303099577149,528.608375461496
"75",75,99228.4550494226,209.758064409367,561.786886168095
"76",76,99209.5514725252,208.688858719979,581.759668754834
"77",77,99217.1338644837,213.809578701591,569.056556814673
"78",78,99201.468226376,214.427055557121,584.104718066876
"79",79,99180.5009262456,216.318511149527,603.180562604886
"80",80,99181.4631892761,217.738065184731,600.798745539168
"81",81,99180.3795620979,220.847098912444,598.773338989697
"82",82,99157.8881194373,223.612432398363,618.499448164343
"83",83,99122.8231315313,224.630575801012,652.546292667657
"84",84,99123.4218393656,226.039150537966,650.539010096474
"85",85,99107.3886236336,228.02859804843,664.582778317954
"86",86,99109.0519010006,230.536456359831,660.411642639604
"87",87,99072.0148346573,232.341050367316,695.644114975405
"88",88,99073.8380474344,234.55480716566,691.607145399896
"89",89,99076.4292496849,237.864084894397,685.706665420655
"90",90,99046.6656461383,238.490189653113,714.844164208593
"91",91,99015.105293374,243.279215070378,741.615491555623
"92",92,99002.6063625364,246.453772248726,750.939865214827
"93",93,98994.3827063686,248.07870416332,757.53858946804
"94",94,98986.7739046128,247.773000500343,765.453094886814
"95",95,98980.7973095897,251.617750488731,767.584939921533
"96",96,98941.8907769382,254.892779298137,803.216443763629
"97",97,98926.9284788651,257.216696240777,815.854824894156
"98",98,98913.3798803838,257.286354771241,829.333764844924
"99",99,98914.4181860584,260.004472256694,825.577341684883
"100",100,98883.827350034,262.276599396348,853.89605056966
"101",101,98859.1230897219,267.284357005129,873.592553272995
"102",102,98852.8485633841,268.596164667865,878.555271948013
"103",103,98832.4197018585,271.057790111796,896.5225080297
"104",104,98836.0195987726,271.869896474313,892.110504753037
"105",105,98818.6166185989,276.196235199854,905.187146201255
"106",106,98798.855644859,279.777494189897,921.366860951071
"107",107,98783.0418021702,281.526364755341,935.431833074491
"108",108,98755.828063847,282.721938495018,961.449997658022
"109",109,98762.7354699964,286.658726649606,950.605803353969
"110",110,98727.7448924011,289.973189598538,982.281918000411
"111",111,98707.5816545719,293.313248246199,999.105097181869
"112",112,98697.7504844972,294.409700914832,1007.83981458794
"113",113,98683.354900078,296.408440918697,1020.23665900327
"114",114,98661.2940856144,300.472310231426,1038.23360415419
"115",115,98650.3675776933,302.646520765635,1046.98590154109
"116",116,98629.5649327842,304.589615137183,1065.84545207862
"117",117,98600.8020055118,310.698423624796,1088.4995708634
"118",118,98576.89195934,312.275621451229,1110.83241920874
"119",119,98594.9599260699,311.901218936355,1093.13885499368
"120",120,98536.4973738316,318.516965828811,1144.98566033962
"121",121,98533.0136957132,320.355933652645,1146.63037063415
"122",122,98513.1174238764,323.853469107761,1163.02910701579
"123",123,98501.5163696356,326.444499762884,1172.03913060149
"124",124,98473.0136692173,326.827594078889,1200.15873670384
"125",125,98467.646495344,331.163517544745,1201.18998711122
"126",126,98422.8087335969,334.623813198945,1242.56745320416
"127",127,98386.3605785857,336.666514008381,1276.97290740593
"128",128,98386.7074000197,342.007245622471,1271.28535435781
"129",129,98371.4287391438,342.141850106776,1286.42941074941
"130",130,98361.7305692664,347.281216395325,1290.98821433826
"131",131,98317.5868748208,349.123941723992,1333.28918345521
"132",132,98308.1286133579,351.583712360287,1340.2876742818
"133",133,98276.817525882,357.221319633647,1365.96115448433
"134",134,98262.7480988754,359.88549533551,1377.36640578903
"135",135,98251.6354650531,362.890589350339,1385.47394559654
"136",136,98213.299719455,364.326004689755,1422.37427585519
"137",137,98224.9459185444,371.352327206974,1403.7017542486
"138",138,98189.4693958269,373.161971145729,1437.36863302732
"139",139,98160.1356161645,376.981708189505,1462.88267564597
"140",140,98160.0638683263,379.366902798544,1460.56922887518
"141",141,98116.7810822718,382.019420658363,1501.19949706983
"142",142,98070.0038113674,386.580278980082,1543.41590965246
"143",143,98065.8019235041,387.990151112132,1546.20792538378
"144",144,98036.9072977176,393.333114566935,1569.7595877154
"145",145,98030.1820968167,396.698094329107,1573.11980885414
"146",146,97991.569603687,400.33234201456,1608.0980542984
"147",147,97963.5997411481,402.678679601876,1633.72157925001
"148",148,97954.9665945861,407.133370469898,1637.90003494402
"149",149,97929.3251468357,409.417667582584,1661.25718558172
"150",150,97891.4021230507,416.917334509967,1691.68054243936
"151",151,97869.3020403087,416.519418170948,1714.17854152035
"152",152,97857.5787964646,420.434435366634,1721.98676816873
"153",153,97840.8509866337,426.358378593285,1732.79063477299
"154",154,97806.9533028011,429.046271732122,1764.00042546677
"155",155,97777.2330805964,432.457716127899,1790.30920327571
"156",156,97740.8519937966,436.252519779185,1822.89548642418
