"","Day","S","I","R"
"1",1,101607.378887939,36.8592607694239,-1644.23814870871
"2",2,103216.567671459,13.9401936426205,-3230.50786510129
"3",3,101522.048785105,-28.035220194097,-1494.01356491113
"4",4,100455.724446668,-10.6279229790718,-445.096523688438
"5",5,100481.84795906,28.0107933820698,-509.858752442307
"6",6,100384.626891961,8.28809934510093,-392.914991305616
"7",7,100847.617669921,17.4197947003375,-865.037464621238
"8",8,101213.121174166,102.872007544397,-1315.99318171004
"9",9,100499.725073583,108.345695508671,-608.070769091951
"10",10,99784.3887227281,67.6572549026661,147.95402236922
"11",11,100248.439956535,38.4155595339921,-286.855516068798
"12",12,98630.2402858441,35.2308818022112,1334.52883235364
"13",13,97310.5128768417,27.4303682284774,2662.05675492985
"14",14,99195.332211613,34.962495954435,769.705292432544
"15",15,100144.690951749,83.4265261224313,-228.117477871243
"16",16,101013.233774104,44.5979720489228,-1057.83174615286
"17",17,101240.829092082,27.7647891441834,-1268.59388122589
"18",18,101356.242787005,23.6094161531762,-1379.85220315804
"19",19,100284.757172238,97.4937902406235,-382.250962478658
"20",20,100709.577600543,91.2384913982789,-800.816091940908
"21",21,102502.905327085,54.3438384447755,-2557.24916553017
"22",22,102477.112189574,87.6723024501347,-2564.7844920243
"23",23,101803.6089495,161.466034111872,-1965.07498361213
"24",24,102447.727673932,175.768439945396,-2623.49611387737
"25",25,101800.402356522,104.082548068166,-1904.48490459029
"26",26,102590.377423531,119.945166985763,-2710.32259051637
"27",27,102127.945161675,111.812930977426,-2239.75809265268
"28",28,102501.88273292,54.0645423503028,-2555.94727527002
"29",29,101003.118030573,98.5407970496574,-1101.65882762295
"30",30,103043.453012494,59.3180753587617,-3102.7710878523
"31",31,102313.009622319,-1.47228577495994,-2311.53733654443
"32",32,101295.045827946,-44.2154216963237,-1250.83040624923
"33",33,102467.758734639,-18.3485453660936,-2449.41018927262
"34",34,101065.438129465,49.9423655423058,-1115.38049500706
"35",35,100054.539102618,86.5005437266778,-141.039646344529
