"","Day","S","I","R"
"1",1,100929.445148337,78.4400538912802,-1007.88520222834
"2",2,101523.973682632,105.576217830533,-1629.5499004629
"3",3,100341.434618712,92.8966354545192,-434.331254166677
"4",4,99581.0609137657,141.290743009976,277.648343224308
"5",5,99492.1806036174,133.199468025879,374.619928356759
"6",6,101666.620210886,-17.8164776459504,-1648.80373324028
"7",7,97848.1890351386,55.2307532560772,2096.58021160538
"8",8,98904.7610909493,82.5468512661172,1012.69205778462
"9",9,97233.2787918248,37.4755485425792,2729.24565963262
"10",10,99642.9517639952,81.5026275435455,275.545608461225
"11",11,100284.499459272,44.6197735457587,-329.119232817338
"12",12,101313.472642726,85.0451283381088,-1398.51777106441
"13",13,98577.3797591657,138.071840518552,1284.54840031569
"14",14,99962.0561094504,128.245351433773,-90.3014608841509
"15",15,100740.587755632,102.162742652017,-842.750498283596
"16",16,98553.3467768048,28.4325381644867,1418.22068503072
"17",17,98852.9140330001,65.313161459001,1081.7728055409
"18",18,101042.753049259,106.078184198154,-1148.83123345729
"19",19,98805.4565455992,25.7391818515969,1168.80427254925
"20",20,100728.055535843,135.477470267433,-863.533006110065
"21",21,100317.983821356,116.777643095492,-434.761464451806
"22",22,99240.4859861362,65.208713796033,694.305300067775
"23",23,99056.9764314133,59.9856194485026,883.037949138194
"24",24,99520.3751957877,89.2546866465587,390.370117565675
"25",25,100012.687650276,27.5344258319888,-40.2220761079489
"26",26,99389.510746766,99.4351574704465,511.054095763491
"27",27,98417.9696915012,81.8297384906902,1500.20057000805
"28",28,99301.1508201647,40.741027149481,658.108152685837
"29",29,100843.699559048,131.952719020656,-975.652278068933
"30",30,99971.7587768992,81.9950412988628,-53.7538181981188
"31",31,99708.2733089209,97.5912685716448,194.135422507453
"32",32,100458.782154109,59.4020414578279,-518.18419556721
"33",33,99903.5142754373,5.33781519422229,91.1479093684632
"34",34,100404.588819688,-15.2833885970682,-389.305431091027
"35",35,99377.62391587,70.6460424305034,551.730041699494
"36",36,99457.7453735896,42.0553923673235,500.199234043032
"37",37,100062.122725537,117.597223720624,-179.71994925801
"38",38,99356.2239585614,24.7086828112402,619.067358627326
"39",39,100402.757004058,88.3602478003242,-491.117251858809
"40",40,100093.768572809,34.4872303369648,-128.255803145564
"41",41,99022.2274221949,47.2539148705846,930.518662934448
"42",42,100224.214926947,48.9588636275417,-273.173790574768
"43",43,100299.361198841,88.6631310687377,-388.024329909622
"44",44,100012.387225597,-7.10765252727681,-5.27957306965232
"45",45,99764.154306011,104.007467731532,131.838226257483
"46",46,101708.234523338,-23.0145928562433,-1685.21993048146
"47",47,99592.1019305432,77.4578061672957,330.440263289483
"48",48,101227.415388682,63.047064564576,-1290.46245324674
"49",49,100375.367658314,14.5357235434813,-389.903381857985
"50",50,100217.88109559,30.6198148272712,-248.500910417392
"51",51,100500.135753284,53.4105853919451,-553.546338676387
"52",52,100417.030554993,26.0310510714403,-443.061606064481
"53",53,99816.3321749418,79.9764425793429,103.691382478865
"54",54,99847.3103442467,51.8984883427067,100.791167410548
"55",55,100905.176866463,30.0469898966902,-935.223856359633
"56",56,99883.0864947606,107.170284393694,9.7432208456992
"57",57,101566.149107593,40.7867137994823,-1606.93582139217
"58",58,98236.2834096355,107.945005621265,1655.77158474323
"59",59,100736.978544164,87.6718614944245,-824.650405658648
"60",60,100848.970379836,126.382532480869,-975.352912316417
"61",61,100071.924818001,48.4413825044398,-120.366200505366
"62",62,99935.1438730787,99.8854941855367,-35.0293672642992
"63",63,98886.4472241173,104.978952936762,1008.57382294595
"64",64,99652.1846577573,125.128089351983,222.687252890686
"65",65,100049.097497204,85.6984059749498,-134.795903179014
"66",66,100585.628586718,47.4951504007085,-633.123737119173
"67",67,98670.1135766622,162.498159147432,1167.38826419034
"68",68,100869.85588057,109.15024339653,-979.006123966397
"69",69,98465.5895324493,101.459903414667,1432.95056413598
"70",70,101354.804608752,140.885530634632,-1495.69013938652
"71",71,98928.1710816823,90.0386896519811,981.790228665732
"72",72,100206.57893887,110.436056931249,-317.01499580116
"73",73,99102.4206315552,75.5849749967449,821.994393448067
"74",74,99775.8407889076,97.9596931083856,126.199517983961
"75",75,99696.1073992575,95.502706506515,208.389894235967
"76",76,100359.639936299,126.476772989855,-486.116709288624
"77",77,97699.5287588817,37.022723285719,2263.44851783257
"78",78,99929.1525119987,26.7336797376554,44.1138082636619
