"","Day","S","I","R"
"1",1,99982.148849109,52.0550041037688,-34.2038532127518
"2",2,99921.8091303203,54.80877869835,23.3820909813912
"3",3,99928.8981015529,54.7065739572741,16.3953244898252
"4",4,99884.9630902681,50.9851193499291,64.0517903819343
"5",5,99937.4178530941,52.2735475789428,10.3085993269972
"6",6,99943.4756685386,42.2881644627371,14.236166998684
"7",7,99928.3707614492,52.1200180018827,19.5092205488886
"8",8,99830.2240538377,51.826711296643,117.949234865691
"9",9,99928.242707628,50.9872419579757,20.7700504139735
"10",10,99916.2247195058,53.8194100226771,29.9558704714668
"11",11,99834.0088170074,47.9493807074994,118.041802285078
"12",12,99876.525548563,46.1331131345161,77.3413383024882
"13",13,99900.2636637754,44.6327951413429,55.1035410832423
"14",14,99914.7129064696,51.0654882546722,34.2216052757267
"15",15,100023.846226728,48.7758940482763,-72.6221207759688
"16",16,100083.214467256,53.1537245154954,-136.368191771849
"17",17,99990.0896890846,49.0971979239439,-39.1868870085363
"18",18,99915.9091120788,56.5405999320292,27.5502879891384
"19",19,99900.7251761197,56.6719713477624,42.602852532573
"20",20,99926.7586186809,57.1344352496188,16.1069460694669
"21",21,99812.0407934384,56.8591203410697,131.100086220471
"22",22,99803.5789406694,57.7016914185194,138.7193679121
"23",23,99782.6416080483,51.7914601045018,165.566931847201
"24",24,99826.1321186527,52.4458642122328,121.422017135023
"25",25,99800.8243632754,57.3346860799954,141.840950644626
"26",26,99842.4506145668,60.6227006730018,96.9266847601665
"27",27,99859.0874397693,52.3975855800211,88.5149746505967
"28",28,99866.2121671511,53.8991411212073,79.8886917276391
"29",29,99742.6753199134,58.7295828924671,198.595097194073
"30",30,99785.0219985052,58.0921806870152,156.885820807803
"31",31,99807.2989096936,63.3216365174984,129.379453788894
"32",32,99846.4064171939,65.3759934286122,88.2175893774525
"33",33,99821.2951343772,66.2287970079015,112.476068614901
"34",34,99888.8619535926,65.8437977283221,45.294248679051
"35",35,99902.6516345915,64.2776537835819,33.070711624841
"36",36,99875.6960793711,61.4078107720322,62.8961098568397
"37",37,99795.8137008942,56.6436155562692,147.542683549532
"38",38,99798.4899295575,63.917490059345,137.59258038311
"39",39,99773.0634296948,65.7089248817785,161.227645423429
"40",40,99740.242137541,69.628661030792,190.129201428204
"41",41,99734.1101515741,75.9956621922663,189.894186233582
"42",42,99743.2475413156,73.5201993787027,183.232259305621
"43",43,99713.8136676072,74.7008121066747,211.485520286138
"44",44,99791.3377819084,77.1539657758493,131.508252315751
"45",45,99721.0766548672,71.6559484035625,207.267396729182
"46",46,99768.2394257839,78.2610013940265,153.499572822041
"47",47,99761.164088426,73.7161430233858,165.119768550593
"48",48,99761.085337949,80.0003513479392,158.914310703091
"49",49,99824.4318877987,83.5580669446459,92.0100452566648
"50",50,99855.7025295439,82.3275396195954,61.9699308364794
"51",51,99848.2678345447,87.3593074576879,64.3728579975536
"52",52,99828.8268173654,89.9416421928702,81.231540441749
"53",53,99841.0128249405,88.5211671088364,70.4660079506572
"54",54,99819.6337420302,89.3725038152452,90.9937541544983
"55",55,99781.2624136634,81.1779975976267,137.559588738916
"56",56,99740.9749961593,83.872533778534,175.152470062085
"57",57,99619.6683748493,78.7062184941842,301.625406656489
"58",58,99654.5737147548,93.3308995356588,252.095385709495
"59",59,99711.9581591024,90.1286770724059,197.9131638252
"60",60,99737.8862040152,90.6776833440067,171.436112640771
"61",61,99710.3190976875,99.2394989982128,190.441403314211
"62",62,99696.7584113096,98.7589494083547,204.482639282058
"63",63,99653.0100225272,94.6244685694956,252.365508903248
"64",64,99678.6150932159,100.374658024994,221.01024875909
"65",65,99644.9611185313,99.1407720231839,255.898109445528
"66",66,99653.8951008634,96.7764188664085,249.328480270178
"67",67,99621.5945258644,92.3215010047,286.08397313086
"68",68,99678.9956822115,96.2890848668653,224.715232921596
"69",69,99705.736979874,95.4125462479968,198.850473877987
"70",70,99711.2973579634,99.167682811762,189.534959224818
"71",71,99640.9701061866,98.6003247976682,260.429569015684
"72",72,99614.5264880723,96.8033364156722,288.670175511967
"73",73,99625.5354947395,92.3606410473939,282.103864213108
"74",74,99604.7716226411,96.1532222544296,299.07515510443
"75",75,99613.9217652628,100.280511505099,285.797723232061
"76",76,99645.2570381096,102.605288203498,252.137673686909
"77",77,99605.4817049939,110.120862519797,284.397432486322
"78",78,99584.2640178738,110.212111700747,305.523870425478
"79",79,99596.9356343884,99.9575998757935,303.106765735857
"80",80,99655.4895556775,105.746502867764,238.763941454776
"81",81,99664.645732852,103.592473384551,231.76179376346
"82",82,99641.3516618919,107.750926739153,250.89741136895
"83",83,99645.765099754,108.861143526382,245.373756719583
"84",84,99585.6466911141,114.16128721863,300.192021667297
"85",85,99448.7279422784,104.882877648799,446.389180072753
"86",86,99432.9329535488,98.3921898986888,468.67485655254
"87",87,99474.7947010053,112.944355142903,412.260943851752
"88",88,99460.3916980062,109.328826535263,430.279475458576
"89",89,99442.3845763026,116.677418940034,440.938004757325
"90",90,99467.3607460497,114.76915835042,417.870095599835
"91",91,99568.2794081935,118.545485233627,313.175106572831
"92",92,99637.2761385048,122.516649885439,240.20721160972
"93",93,99591.7907286717,124.404176458054,283.80509487026
"94",94,99552.760996462,112.485925239895,334.753078298112
"95",95,99463.080070339,123.696801689183,413.223127971774
"96",96,99426.2894909323,123.577328189957,450.133180877767
"97",97,99487.5716908876,123.855255949811,388.573053162566
"98",98,99462.9510414338,125.465268201346,411.583690364827
"99",99,99493.9430428369,124.496417876349,381.560539286793
"100",100,99468.7662388675,131.275714048298,399.958047084152
"101",101,99379.5032385786,129.5225376747,490.974223746655
"102",102,99441.1808258782,127.075343777428,431.743830344407
"103",103,99428.3351089862,128.677489721141,442.987401292688
"104",104,99461.2262006236,137.392272378809,401.381526997527
"105",105,99501.443459537,132.383010271913,366.173530191079
"106",106,99474.3200881626,136.635981664138,389.043930173242
"107",107,99486.5215664048,125.553957886869,387.924475708355
"108",108,99444.2115677024,132.658474386879,423.129957910645
"109",109,99439.3553755302,131.163071831383,429.481552638422
"110",110,99425.4054280075,134.983396896363,439.61117509606
"111",111,99474.5159079682,148.036675560307,377.447416471421
"112",112,99586.7656323737,148.014520642191,265.219846984078
"113",113,99452.5617013705,148.309971611374,399.128327018067
"114",114,99432.4838725684,146.444384081401,421.071743350134
"115",115,99389.3599560247,145.617587844808,465.022456130422
"116",116,99334.6507862162,153.589806009909,511.759407773888
"117",117,99285.8186162101,158.153020553697,556.028363236163
"118",118,99252.0101777641,151.011584098529,596.978238137329
"119",119,99202.2101302588,154.67173244233,643.118137298857
"120",120,99189.0596477014,148.813668030056,662.126684268575
"121",121,99270.6549921527,148.737665858326,580.607341988984
"122",122,99262.764055221,154.119711400819,583.116233378202
"123",123,99251.8053602099,159.99591358193,588.198726208196
"124",124,99172.4275719479,163.110489290749,664.461938761285
"125",125,99195.5130970809,160.116159122386,644.370743796724
"126",126,99137.7873335854,168.911101047633,693.301565367005
"127",127,99029.9452719467,167.291083324981,802.763644728311
"128",128,99036.9966513924,161.577626228492,801.425722379099
"129",129,99011.9568258384,169.155959837649,818.887214323916
"130",130,98973.7160200175,175.055485485919,851.228494496587
"131",131,98973.4868962087,174.149961143069,852.363142648188
"132",132,99048.4927141311,178.003270216765,773.504015652151
"133",133,99016.1381007527,179.530145249073,804.33175399819
"134",134,99099.1965974252,180.574987604055,720.228414970756
"135",135,99135.0113107042,174.238906757303,690.749782538447
"136",136,99040.4701723346,184.42294079722,775.106886868194
"137",137,99030.2830580425,188.941273969035,780.775667988472
"138",138,99066.8399900204,192.651113318669,740.508896660892
"139",139,99080.9130729563,194.02213723906,725.064789804648
"140",140,99034.7272821354,206.399600936547,758.873116928044
"141",141,98970.145256417,217.729934878084,812.124808704883
"142",142,99011.5037202678,204.220101442135,784.276178289996
"143",143,98990.8589067462,216.766962295307,792.374130958427
"144",144,98998.4639434362,212.87555283361,788.660503730111
"145",145,98956.9500241641,212.539889827941,830.510086007912
"146",146,98974.8980983058,215.843797764961,809.25810392917
"147",147,98989.7164907444,215.998152566041,794.285356689481
"148",148,99055.9535734092,215.601112024153,728.445314566602
"149",149,98907.8951290079,224.03004744607,868.074823545989
"150",150,98914.9906279553,217.7205368365,867.288835208191
"151",151,98950.1778277025,220.862985536232,828.959186761219
"152",152,98866.3191962128,224.411960732043,909.268843055156
"153",153,98840.6789198469,226.570470801536,932.750609351531
"154",154,98910.943351615,226.89047509454,862.16617329043
"155",155,98849.7664119817,229.017962292831,921.215625725412
"156",156,98877.5178023591,220.014683995351,902.467513645486
"157",157,98902.5575083701,227.954054281561,869.488437348295
"158",158,98943.2616596561,226.868145207209,829.870195136678
"159",159,98885.3093175551,234.853124908843,879.837557536041
"160",160,98799.7987200223,238.181483499214,962.019796478456
"161",161,98749.4971376467,234.989487888064,1015.51337446526
"162",162,98747.6378650075,239.604178810322,1012.75795618218
"163",163,98653.5667809675,251.405602717277,1095.02761631522
"164",164,98667.4336739271,249.926024800811,1082.64030127207
"165",165,98656.4802439995,257.489376487345,1086.03037951319
"166",166,98585.8321375079,252.289088311743,1161.87877418033
"167",167,98607.6905281529,257.704111015216,1134.60536083183
"168",168,98601.5450458894,268.37001088647,1130.08494322417
"169",169,98663.0030399435,261.774613527977,1075.22234652848
"170",170,98670.1343972043,261.977318657231,1067.88828413846
"171",171,98588.5137418769,263.351133101789,1148.13512502131
"172",172,98514.8363355594,262.928047579138,1222.23561686147
"173",173,98527.8684908117,269.130116450105,1203.00139273822
