"","Day","S","I","R"
"1",1,100101.029255188,45.8779873496117,-146.907242537493
"2",2,99925.6532378886,47.7333515880463,26.6134105233351
"3",3,99925.6532378886,47.7333515880463,26.6134105233351
"4",4,99925.6532378886,47.7333515880463,26.6134105233351
"5",5,99925.6532378886,47.7333515880463,26.6134105233351
"6",6,99925.6532378886,47.7333515880463,26.6134105233351
"7",7,99915.928468294,56.099533413129,27.9719982928804
"8",8,99915.928468294,56.099533413129,27.9719982928804
"9",9,99915.928468294,56.099533413129,27.9719982928804
"10",10,99915.928468294,56.099533413129,27.9719982928804
"11",11,99915.928468294,56.099533413129,27.9719982928804
"12",12,99915.928468294,56.099533413129,27.9719982928804
"13",13,99915.928468294,56.099533413129,27.9719982928804
"14",14,99915.928468294,56.099533413129,27.9719982928804
"15",15,99912.3684001334,59.6596015737447,27.9719982928804
"16",16,99912.3684001334,59.6596015737447,27.9719982928804
"17",17,99912.3684001334,59.6596015737447,27.9719982928804
"18",18,99912.3684001334,59.6596015737447,27.9719982928804
"19",19,99912.3684001334,59.6596015737447,27.9719982928804
"20",20,99897.1283713947,61.5183728826851,41.3532557226098
"21",21,99897.1283713947,61.5183728826851,41.3532557226098
"22",22,99878.6572382599,66.8165102833442,54.526251456788
"23",23,99878.6572382599,66.8165102833442,54.526251456788
"24",24,99878.6572382599,66.8165102833442,54.526251456788
"25",25,99878.6572382599,66.8165102833442,54.526251456788
"26",26,99878.6572382599,66.8165102833442,54.526251456788
"27",27,99878.6572382599,66.8165102833442,54.526251456788
"28",28,99875.7380567911,63.4554504170315,60.8064927918662
"29",29,99869.7185657852,64.0250843472442,66.256349867517
"30",30,99826.4233394545,64.9242110352392,108.652449510245
"31",31,99826.4233394545,64.9242110352392,108.652449510245
"32",32,99819.2088403606,68.6139102617152,112.177249377638
"33",33,99819.2088403606,68.6139102617152,112.177249377638
"34",34,99819.2088403606,68.6139102617152,112.177249377638
"35",35,99819.2088403606,68.6139102617152,112.177249377638
"36",36,99819.2088403606,68.6139102617152,112.177249377638
"37",37,99819.2088403606,68.6139102617152,112.177249377638
"38",38,99819.2088403606,68.6139102617152,112.177249377638
"39",39,99789.4381288299,79.3185616731584,131.243309496908
"40",40,99789.4381288299,79.1298856863679,131.431985483698
"41",41,99789.4381288299,79.1298856863679,131.431985483698
"42",42,99789.4381288299,79.1298856863679,131.431985483698
"43",43,99775.9394625835,80.8142249049245,143.246312511549
"44",44,99775.9394625835,80.8142249049245,143.246312511549
"45",45,99775.9394625835,80.8142249049245,143.246312511549
"46",46,99775.9394625835,80.8142249049245,143.246312511549
"47",47,99775.9394625835,80.8142249049245,143.246312511549
"48",48,99775.9394625835,80.8142249049245,143.246312511549
"49",49,99775.9394625835,80.8142249049245,143.246312511549
"50",50,99775.9394625835,80.8142249049245,143.246312511549
"51",51,99749.5454626016,86.8132529729457,163.641284425469
"52",52,99749.5454626016,86.8132529729457,163.641284425469
"53",53,99726.6235766792,74.5379914863133,198.838431834522
"54",54,99711.8858026422,88.1185056405045,199.995691717271
"55",55,99711.8858026422,88.1185056405045,199.995691717271
"56",56,99711.8858026422,88.1185056405045,199.995691717271
"57",57,99711.8858026422,88.1185056405045,199.995691717271
"58",58,99711.8858026422,88.1185056405045,199.995691717271
"59",59,99711.8858026422,88.1185056405045,199.995691717271
"60",60,99709.293949171,90.7103591116863,199.995691717271
"61",61,99709.293949171,90.7103591116863,199.995691717271
"62",62,99709.293949171,90.7103591116863,199.995691717271
"63",63,99709.293949171,90.7103591116863,199.995691717271
"64",64,99668.414756256,96.5626658013515,235.022577942697
"65",65,99668.414756256,96.5626658013515,235.022577942697
"66",66,99668.414756256,96.5626658013515,235.022577942697
"67",67,99668.414756256,96.5626658013515,235.022577942697
"68",68,99668.414756256,96.5626658013515,235.022577942697
"69",69,99655.8851126526,103.492217417867,240.622669929505
"70",70,99642.409310239,107.738387450547,249.852302310435
"71",71,99615.8110548755,107.21479528404,276.974149840467
"72",72,99615.8110548755,107.21479528404,276.974149840467
"73",73,99615.8110548755,107.21479528404,276.974149840467
"74",74,99615.8110548755,107.21479528404,276.974149840467
"75",75,99566.339273882,105.702889586984,327.957836531034
"76",76,99566.339273882,105.702889586984,327.957836531034
"77",77,99559.1649382024,110.2970594067,330.538002390895
"78",78,99559.1649382024,110.2970594067,330.538002390895
"79",79,99559.1649382024,110.2970594067,330.538002390895
"80",80,99559.1649382024,110.2970594067,330.538002390895
"81",81,99559.1649382024,110.2970594067,330.538002390895
"82",82,99559.1649382024,110.2970594067,330.538002390895
"83",83,99559.1649382024,110.2970594067,330.538002390895
"84",84,99559.1649382024,110.2970594067,330.538002390895
"85",85,99559.1649382024,110.2970594067,330.538002390895
"86",86,99559.1649382024,110.2970594067,330.538002390895
"87",87,99559.1649382024,110.2970594067,330.538002390895
"88",88,99529.2486443547,121.102600217136,349.648755428183
"89",89,99529.2486443547,121.102600217136,349.648755428183
"90",90,99529.2486443547,121.102600217136,349.648755428183
"91",91,99529.2486443547,121.102600217136,349.648755428183
"92",92,99529.2486443547,121.102600217136,349.648755428183
"93",93,99529.2486443547,121.102600217136,349.648755428183
"94",94,99493.4650796499,125.30443451732,381.230485832819
"95",95,99493.4650796499,125.30443451732,381.230485832819
"96",96,99493.4650796499,125.30443451732,381.230485832819
"97",97,99469.2489447913,136.487068445081,394.263986763638
"98",98,99469.2489447913,136.487068445081,394.263986763638
"99",99,99469.2489447913,136.487068445081,394.263986763638
"100",100,99469.2489447913,136.487068445081,394.263986763638
"101",101,99464.9451172992,136.839117812747,398.215764888055
"102",102,99403.0920963941,137.263014809406,459.644888796448
"103",103,99403.0920963941,137.263014809406,459.644888796448
"104",104,99403.0920963941,137.263014809406,459.644888796448
"105",105,99365.8591512892,142.790092643495,491.350756067259
"106",106,99365.8591512892,142.790092643495,491.350756067259
"107",107,99365.8591512892,142.790092643495,491.350756067259
"108",108,99365.8591512892,142.790092643495,491.350756067259
"109",109,99365.8591512892,142.790092643495,491.350756067259
"110",110,99322.8516442516,152.546715127399,524.601640620989
"111",111,99322.8516442516,152.546715127399,524.601640620989
"112",112,99322.8516442516,152.546715127399,524.601640620989
"113",113,99322.8516442516,152.546715127399,524.601640620989
"114",114,99322.8516442516,152.546715127399,524.601640620989
"115",115,99322.8516442516,152.546715127399,524.601640620989
"116",116,99322.8516442516,152.546715127399,524.601640620989
"117",117,99322.8516442516,152.546715127399,524.601640620989
"118",118,99322.8516442516,152.546715127399,524.601640620989
"119",119,99271.7535564136,161.870208270113,566.376235316267
"120",120,99250.3956408292,162.843626388876,586.76073278191
"121",121,99250.0955475131,163.14371970497,586.76073278191
"122",122,99250.0955475131,163.14371970497,586.76073278191
"123",123,99250.0955475131,163.14371970497,586.76073278191
"124",124,99240.286105893,170.694283989362,589.019610117668
"125",125,99236.0627622541,166.933356121174,597.00388162469
"126",126,99203.7809741736,172.876294205013,623.342731621418
"127",127,99203.7809741736,172.876294205013,623.342731621418
"128",128,99175.0769184452,174.91590606216,650.007175492633
"129",129,99175.0769184452,174.91590606216,650.007175492633
"130",130,99138.4857400232,185.596794266351,675.917465710479
"131",131,99138.4857400232,185.596794266351,675.917465710479
"132",132,99138.4857400232,185.596794266351,675.917465710479
"133",133,99138.4857400232,185.596794266351,675.917465710479
"134",134,99138.4857400232,185.596794266351,675.917465710479
"135",135,99138.4857400232,185.596794266351,675.917465710479
"136",136,99138.4857400232,185.596794266351,675.917465710479
"137",137,99092.514119812,194.622301916677,712.863578271327
"138",138,99092.514119812,194.622301916677,712.863578271327
"139",139,99059.3225473275,198.445149631312,742.232303041208
"140",140,99059.3225473275,198.445149631312,742.232303041208
"141",141,99059.3225473275,198.445149631312,742.232303041208
"142",142,99001.155839539,207.793843318985,791.050317142056
"143",143,98985.8503039171,199.334740227148,814.814955855732
"144",144,98985.8503039171,199.334740227148,814.814955855732
"145",145,98931.5494200658,211.993201765892,856.457378168279
"146",146,98931.5494200658,211.993201765892,856.457378168279
"147",147,98931.5494200658,211.993201765892,856.457378168279
"148",148,98931.5494200658,211.993201765892,856.457378168279
"149",149,98931.5494200658,211.993201765892,856.457378168279
"150",150,98931.5494200658,211.993201765892,856.457378168279
"151",151,98931.5494200658,211.993201765892,856.457378168279
"152",152,98931.5494200658,211.993201765892,856.457378168279
"153",153,98857.7585896439,226.357688887038,915.883721469035
"154",154,98857.7585896439,226.357688887038,915.883721469035
"155",155,98823.3115452101,231.077485590665,945.610969199245
"156",156,98818.7101763246,235.360984990133,945.928838685308
"157",157,98818.7101763246,235.360984990133,945.928838685308
"158",158,98818.7101763246,235.360984990133,945.928838685308
"159",159,98818.7101763246,235.360984990133,945.928838685308
"160",160,98818.7101763246,235.360984990133,945.928838685308
"161",161,98818.7101763246,235.360984990133,945.928838685308
"162",162,98818.7101763246,235.360984990133,945.928838685308
"163",163,98818.7101763246,235.360984990133,945.928838685308
"164",164,98686.5680324331,252.640430924648,1060.79153664228
"165",165,98686.5680324331,252.640430924648,1060.79153664228
"166",166,98686.5680324331,252.640430924648,1060.79153664228
"167",167,98686.5680324331,252.640430924648,1060.79153664228
"168",168,98686.5680324331,252.640430924648,1060.79153664228
"169",169,98686.5680324331,252.640430924648,1060.79153664228
"170",170,98686.5680324331,252.640430924648,1060.79153664228
"171",171,98602.0769632267,268.947366063352,1128.97567070997
"172",172,98602.0769632267,268.947366063352,1128.97567070997
"173",173,98602.0769632267,268.947366063352,1128.97567070997
"174",174,98602.0769632267,268.947366063352,1128.97567070997
"175",175,98602.0769632267,268.947366063352,1128.97567070997
"176",176,98565.1530073649,280.182485650089,1154.66450698499
"177",177,98565.1530073649,280.182485650089,1154.66450698499
"178",178,98544.9923773303,281.729207215005,1173.27841545471
"179",179,98422.5194139324,283.186170671476,1294.29441539608
"180",180,98422.5194139324,283.186170671476,1294.29441539608
"181",181,98422.5194139324,283.186170671476,1294.29441539608
"182",182,98422.5194139324,283.186170671476,1294.29441539608
"183",183,98417.1014400574,288.604144546559,1294.29441539608
"184",184,98399.4100918016,295.627355106928,1304.96255309148
"185",185,98399.4100918016,295.627355106928,1304.96255309148
"186",186,98399.4100918016,295.627355106928,1304.96255309148
"187",187,98399.4100918016,295.627355106928,1304.96255309148
"188",188,98359.2922707463,305.357256507072,1335.35047274666
"189",189,98332.8299405197,306.689309336355,1360.48075014396
"190",190,98280.9020953861,306.248429435806,1412.84947517808
"191",191,98280.9020953861,306.248429435806,1412.84947517808
"192",192,98241.4587895819,320.801521152128,1437.73968926597
"193",193,98241.4587895819,320.801521152128,1437.73968926597
"194",194,98241.4587895819,320.801521152128,1437.73968926597
"195",195,98241.4587895819,320.801521152128,1437.73968926597
"196",196,98241.4587895819,320.801521152128,1437.73968926597
"197",197,98186.5326374787,338.08921039764,1475.37815212365
"198",198,98172.3172007383,332.578772456776,1495.10402680493
"199",199,98172.3172007383,332.578772456776,1495.10402680493
"200",200,98172.3172007383,332.578772456776,1495.10402680493
"201",201,98145.9735827502,340.484348543456,1513.54206870634
"202",202,98072.2772789321,352.425988440096,1575.29673262779
"203",203,98072.2772789321,352.425988440096,1575.29673262779
"204",204,98072.2772789321,352.425988440096,1575.29673262779
"205",205,98031.7519650905,365.21154452531,1603.03649038417
"206",206,98003.3583378628,347.595425473165,1649.04623666402
"207",207,97971.4588298583,356.927794308307,1671.61337583338
"208",208,97924.7470557865,371.186227685622,1704.06671652788
"209",209,97896.6819878062,369.222530061652,1734.09548213211
"210",210,97896.6819878062,369.222530061652,1734.09548213211
"211",211,97856.6889953681,375.921311501381,1767.38969313054
"212",212,97856.6889953681,375.921311501381,1767.38969313054
"213",213,97856.6889953681,375.921311501381,1767.38969313054
"214",214,97856.6889953681,375.921311501381,1767.38969313054
"215",215,97803.3648921526,390.124183707241,1806.51092414016
"216",216,97803.3648921526,390.124183707241,1806.51092414016
"217",217,97803.3648921526,390.124183707241,1806.51092414016
"218",218,97689.3455672708,401.554581679698,1909.09985104949
"219",219,97689.3455672708,401.554581679698,1909.09985104949
"220",220,97597.4893290243,404.623531968526,1997.88713900718
"221",221,97597.4893290243,404.623531968526,1997.88713900718
"222",222,97597.4893290243,404.623531968526,1997.88713900718
"223",223,97573.0697443962,419.217260358515,2007.71299524526
"224",224,97573.0697443962,419.217260358515,2007.71299524526
"225",225,97565.5949973442,426.137864064079,2008.26713859175
"226",226,97561.4896766942,430.243184714087,2008.26713859175
"227",227,97444.7484409242,427.692879317778,2127.55867975803
"228",228,97437.0478866184,431.300833549787,2131.65127983184
"229",229,97437.0478866184,431.300833549787,2131.65127983184
"230",230,97423.0837652055,438.962669374881,2137.95356541963
"231",231,97381.4341034193,452.267806728614,2166.29808985205
"232",232,97381.4341034193,452.267806728614,2166.29808985205
"233",233,97318.2218692647,463.141456782228,2218.63667395307
"234",234,97306.4556917125,457.156749813475,2236.38755847399
"235",235,97306.4556917125,457.156749813475,2236.38755847399
"236",236,97278.6623326198,471.236637209776,2250.10103017047
"237",237,97278.6623326198,471.236637209776,2250.10103017047
"238",238,97210.4107464439,468.693268901138,2320.89598465496
"239",239,97148.3797948168,484.84021876664,2366.77998641657
"240",240,97148.3797948168,484.84021876664,2366.77998641657
"241",241,97148.3797948168,484.84021876664,2366.77998641657
"242",242,97148.3797948168,484.84021876664,2366.77998641657
"243",243,97108.7384816048,495.335854916996,2395.92566347823
"244",244,97043.4360453404,506.701421851181,2449.86253280844
