"","Day","S","I","R"
"1",1,95365.6317234251,202.987196574087,4431.38108000082
"2",2,105750.117732839,2724.13623538097,-8474.25396821966
"3",3,123826.053649225,2161.89073245117,-25987.9443816761
"4",4,115930.349599393,3408.97375099133,-19339.3233503847
"5",5,110814.097027622,2958.0407560991,-13772.1377837215
"6",6,105178.196646913,2034.24459995372,-7212.44124686696
"7",7,85221.8196603331,2431.05759148734,12347.1227481796
"8",8,85984.4453428838,1823.85161484211,12191.703042274
"9",9,96496.7825807949,661.465281028198,2841.75213817686
"10",10,88216.0296478396,1826.98124057269,9956.98911158768
"11",11,90274.7705450382,2727.06721011408,6998.16224484772
"12",12,98133.8562511145,1618.38133261619,247.762416269315
"13",13,116496.298712311,795.804387685502,-17292.1030999964
"14",14,129032.816631087,1253.32853159054,-30286.1451626777
"15",15,117388.311929541,561.481217057189,-17949.7931465985
"16",16,112015.403516679,649.451948279468,-12664.8554649581
"17",17,98038.050158422,721.750460193988,1240.19938138399
"18",18,99890.3818526089,-1027.56030239761,1137.17844978868
"19",19,84784.3655367157,348.302282283503,14867.3321810008
"20",20,86023.4687878269,126.154524356935,13850.3766878162
"21",21,96434.6021928861,718.905233061797,2846.49257405207
"22",22,85442.6182155908,690.954773052647,13866.4270113566
"23",23,98936.0195798918,-59.1725682604779,1123.15298836866
"24",24,80258.0353215083,-137.516742016054,19879.4814205078
"25",25,63812.726390422,-33.3277761256334,36220.6013857037
"26",26,63383.5977420574,-171.974981204963,36788.3772391476
"27",27,83521.4233599089,300.983667994525,16177.5929720966
"28",28,83064.2752038793,174.68448948501,16761.0403066357
"29",29,101283.331796399,636.218816936965,-1919.55061333579
"30",30,81067.5843355355,-624.8655635915,19557.281228056
"31",31,77864.2991636396,-287.290248643193,22422.9910850036
"32",32,82149.3624352803,1812.20942179245,16038.4281429273
"33",33,88033.360565503,1919.39855079579,10047.2408837012
"34",34,86153.3562962077,3478.19600693095,10368.4476968613
"35",35,101411.156223606,2833.12395340712,-4244.28017701312
"36",36,98991.0838912932,2863.81494265621,-1854.89883394942
"37",37,116531.391790603,2985.93907910121,-19517.3308697047
"38",38,110975.034823378,2523.78725430975,-13498.8220776881
"39",39,87916.0305667494,3430.07759833122,8653.89183491934
"40",40,83647.205764619,2496.04052952009,13856.7537058609
"41",41,92534.3285434627,1525.85784143439,5939.81361510293
"42",42,95949.0832891721,737.044328790521,3313.87238203739
"43",43,91350.34522345,-306.849902680802,8956.50467923076
"44",44,69904.3673915815,1480.65962152304,28614.9729868954
"45",45,72604.7018900208,2852.57456335548,24542.7235466237
"46",46,73851.4522572292,1952.63981145237,24195.9079313184
"47",47,74519.3939178043,3040.65032212339,22439.9557600723
"48",48,95652.0947039555,2394.92858803125,1952.97670801321
"49",49,101413.609715257,5183.74694616074,-6597.35666141725
"50",50,100550.391033227,4028.70680929091,-4579.09784251826
"51",51,99564.8255483471,3561.79958692437,-3126.62513527143
"52",52,89749.4009876113,2283.24589034531,7967.35312204335
"53",53,98704.7361879203,3166.59489964632,-1871.33108756663
"54",54,90727.2669819527,1740.0624608566,7532.6705571907
"55",55,88516.9349919644,798.47395316095,10684.5910548746
"56",56,106799.518580423,1436.3024479476,-8235.82102837096
"57",57,111485.950956821,580.319088174553,-12066.2700449954
"58",58,103900.972757848,1185.3954443444,-5086.36820219203
"59",59,112151.490985597,3440.98626020529,-15592.4772458018
"60",60,109609.399677589,812.491430560447,-10421.8911081494
"61",61,121847.479732887,-623.463040981202,-21224.0166919059
"62",62,115330.028507036,380.871949233165,-15710.9004562696
"63",63,107541.374551109,-99.3405927833367,-7442.03395832599
"64",64,107959.324047028,2282.84344935411,-10242.1674963821
"65",65,88460.5314603697,422.239817110234,11117.22872252
"66",66,93553.1732130615,1186.55255940817,5260.27422753033
"67",67,104061.969673048,497.478545991358,-4559.44821903958
"68",68,96488.8147858993,659.364646431746,2851.82056766892
"69",69,88562.4229274377,2018.94491965936,9418.63215290293
"70",70,76260.8660932899,1706.45964473132,22032.6742619788
"71",71,93855.2818639541,1600.15168475042,4544.56645129544
"72",72,82816.1765214202,2133.962265217,15049.8612133628
"73",73,93376.1397024764,2813.01026783211,3810.85002969149
"74",74,85365.7124413343,2383.66035064574,12250.62720802
"75",75,105225.325263282,4198.82079399206,-9424.14605727362
"76",76,108474.115640196,5264.70746882125,-13738.8231090169
"77",77,102573.054260494,4333.106452395,-6906.16071288856
"78",78,104043.162731193,5315.46199823932,-9358.62472943219
"79",79,108988.551680283,4800.49030220897,-13789.0419824923
"80",80,107728.056197712,4649.56874523747,-12377.6249429498
"81",81,99613.6818900147,3673.40049063526,-3287.08238064998
"82",82,89298.5751436634,2522.21149118291,8179.2133651537
"83",83,103264.998168869,2091.73656829392,-5356.73473716314
"84",84,96913.8226388973,2355.59954320741,730.577817895249
"85",85,90374.3301741594,1704.38524335617,7921.28458248441
"86",86,82144.6832198056,713.288202927327,17142.0285772671
"87",87,70901.4024653046,-900.261199319933,29998.8587340153
"88",88,61733.1613795104,1394.01416908683,36872.8244514028
"89",89,84654.8130535272,2127.62161157866,13217.5653348941
"90",90,70417.0736103066,2091.84716282239,27491.0792268711
"91",91,76227.2946636263,418.340291595401,23354.3650447783
"92",92,73191.6109308396,252.149219524796,26556.2398496356
"93",93,93679.4554830263,1931.48493999941,4389.05957697425
"94",94,103926.044562102,453.773968119292,-4379.81853022101
