"","Day","S","I","R"
"1",1,99399.5085808282,1014.49891203581,-414.007492863983
"2",2,98676.191340588,1057.17114358883,266.637515823198
"3",3,98740.7871010496,1006.12687141307,253.086027537375
"4",4,98534.6298743783,1003.76435395486,461.605771666886
"5",5,98512.4035731823,1017.5234256931,470.073001124636
"6",6,98654.1913487634,1016.29051049602,329.518140740589
"7",7,98657.1550913431,1122.8516661531,219.993242503773
"8",8,98981.1947872516,1033.29066457698,-14.4854518285717
"9",9,98140.5495899655,1084.06889124713,775.381518787373
"10",10,98709.3101077677,1191.61555120612,99.0743410261787
"11",11,98650.8696288087,1178.21048121626,170.919889975005
"12",12,99115.4523783615,1068.18224773345,-183.634626094975
"13",13,97749.3632911458,1152.74231514717,1097.89439370699
"14",14,97728.6740256313,1118.52419807483,1152.80177629391
"15",15,98656.2593873747,1195.71200560225,148.028607023053
"16",16,98170.1579818459,1086.0198474451,743.822170709032
"17",17,98743.3624304508,1212.40820283627,44.2293667128897
"18",18,98134.8765459984,1312.35021462677,552.773239374873
"19",19,98533.1555829297,1178.3720115746,288.47240549573
"20",20,98190.7380116979,1218.51269188504,590.749296417098
"21",21,97449.9405436771,1156.6646621232,1393.39479419968
"22",22,97412.0224654801,1243.04968089425,1344.92785362562
"23",23,98138.24935736,1219.35916325758,642.391479382442
"24",24,97816.9367017014,1252.41024525839,930.653053040211
"25",25,97020.6942782408,1247.08152810291,1732.22419365632
"26",26,97365.3679872091,1235.31167369589,1399.32033909503
"27",27,97050.844715458,1244.44228405326,1704.71300048873
"28",28,97113.1607164263,1281.25308073164,1605.58620284205
"29",29,96865.4500568889,1332.01099614248,1802.5389469686
"30",30,97010.9310729494,1295.50669087387,1693.56223617668
"31",31,97084.7408277009,1336.97273557474,1578.28643672441
"32",32,96771.3792626713,1353.55115031021,1875.06958701847
"33",33,96464.9143312117,1356.74536717871,2178.34030160959
"34",34,97153.938554822,1406.27572006772,1439.78572511023
"35",35,96856.8112333713,1431.31136487869,1711.87740174999
"36",36,97000.4203126598,1370.66841276149,1628.9112745787
"37",37,96780.8083486158,1397.29534482825,1821.896306556
"38",38,96561.3277884031,1405.09554529097,2033.57666630592
"39",39,97050.5017200085,1427.35903115661,1522.13924883487
"40",40,96129.2964135368,1349.08952841827,2521.61405804492
"41",41,96804.7659068145,1336.31331626977,1858.92077691575
"42",42,96664.9128469106,1477.61396857384,1857.4731845156
"43",43,96759.876603182,1476.35015335194,1763.77324346609
"44",44,95523.2119947051,1446.57145817056,3030.21654712433
"45",45,95534.1045780107,1509.74018545219,2956.1552365371
"46",46,96193.3649288531,1424.74513093964,2381.88994020725
