"","Day","S","I","R"
"1",1,99567.7386898664,915.110829726489,-482.84951959293
"2",2,98599.764804578,1002.01411808334,398.221077338656
"3",3,99154.8709635631,997.129121330857,-152.000084893923
"4",4,99288.1378465661,981.865124871543,-270.002971437596
"5",5,99051.8006814446,1056.78325872756,-108.583940172174
"6",6,98829.2443480406,1051.49779215891,119.257859800456
"7",7,98851.4309107682,1050.51143092867,98.0576583031113
"8",8,97731.3157152584,1056.15743555756,1212.52684918405
"9",9,98509.0729150235,1034.06137284925,456.865712127212
"10",10,98434.439097951,1102.59126859749,462.969633451522
"11",11,97746.5258470357,1011.38329265479,1242.09086030953
"12",12,98113.5891923707,1103.10198092157,783.308826707709
"13",13,98366.7675107421,1133.92595883569,499.306530422257
"14",14,98304.597970502,1148.03607684392,547.365952654078
"15",15,98004.6068587177,1071.11272267483,924.280418607469
"16",16,97704.0267950732,1107.64308229102,1188.3301226358
"17",17,98362.7435610285,1168.54961317526,468.706825796224
"18",18,97520.5483370936,1122.44910723862,1357.0025556678
"19",19,97738.0826497873,1145.92471324047,1115.99263697222
"20",20,98529.5720827728,1122.50127933286,347.92663789432
"21",21,96960.3265383383,1238.76401518097,1800.90944648072
"22",22,97689.2807353859,1275.24058546637,1035.47867914778
"23",23,96874.5023787759,1214.27137396,1911.22624726412
"24",24,98213.2270614915,1262.38884378997,524.384094718479
"25",25,97619.2316928629,1282.39659723737,1098.37170989974
"26",26,96998.4948636396,1273.19686646992,1728.30826989052
"27",27,97499.6032532329,1286.26894809814,1214.127798669
"28",28,97484.4769723893,1242.72250354894,1272.80052406172
"29",29,97458.7087599349,1316.18348948304,1225.10775058202
"30",30,96892.6884622619,1295.41607065874,1811.89546707941
"31",31,97024.3612833594,1332.31192331787,1643.3267933227
"32",32,97007.3882716952,1226.31447717786,1766.29725112698
"33",33,96046.0155404011,1212.68179926544,2741.3026603335
"34",34,96787.0085852776,1297.71673132541,1915.27468339698
"35",35,97418.0767995313,1409.94581873765,1171.97738173102
"36",36,96330.4445322239,1360.8708812736,2308.68458650251
"37",37,95776.257673783,1397.04990355365,2826.69242266331
"38",38,96958.1902433563,1425.7963547474,1616.01340189626
"39",39,96120.2482542766,1536.91791569849,2342.83383002495
"40",40,96374.7904665767,1444.85370079422,2180.3558326291
"41",41,96207.9889221264,1377.59930834325,2414.4117695303
"42",42,94561.8952756804,1506.73080285461,3931.37392146498
"43",43,94753.6734875996,1419.45748377247,3826.86902862788
"44",44,96240.511829245,1448.22451433213,2311.26365642287
"45",45,96602.3854645434,1457.3430540001,1940.27148145646
"46",46,95029.4481806076,1487.45441033882,3483.09740905361
"47",47,95641.5470966993,1520.33244509875,2838.12045820196
"48",48,95845.9885125273,1614.22715169786,2539.78433577486
"49",49,96167.1683167763,1509.08942469858,2323.74225852516
"50",50,95489.2851754393,1618.10593275037,2892.60889181034
"51",51,95657.2675201698,1485.23129358652,2857.50118624373
"52",52,95376.3959105548,1511.35275190196,3112.25133754329
"53",53,94868.6688169154,1582.99497024487,3548.33621283972
"54",54,95713.0951059598,1478.1030432203,2808.8018508199
"55",55,95094.0201411806,1570.67786712406,3335.30199169535
"56",56,95149.0005580483,1586.08994066911,3264.90950128256
"57",57,95222.4581434761,1650.27775267648,3127.26410384746
"58",58,95295.6710735748,1682.82656724634,3021.50235917888
"59",59,95116.8060543098,1629.56539546732,3253.62855022293
"60",60,94783.306135836,1639.94142496491,3576.75243919908
"61",61,94237.3077510982,1688.11222715735,4074.58002174447
"62",62,94561.8971914883,1696.05296378207,3742.04984472958
"63",63,93969.2632300586,1634.23506841975,4396.50170152168
"64",64,94231.945004965,1630.26417793793,4137.79081709705
"65",65,93019.9661648217,1668.46500368137,5311.5688314969
"66",66,93776.622598128,1707.12541812346,4516.25198374855
"67",67,94185.0547558479,1742.73913734767,4072.20610680444
"68",68,92687.1830630549,1727.91539393361,5584.90154301152
"69",69,93858.5897997007,1720.72797840387,4420.68222189543
"70",70,93054.8641339533,1746.75543269385,5198.38043335282
"71",71,92912.1697065772,1668.91127448054,5418.91901894221
"72",72,93381.1609076366,1698.69972993417,4920.13936242924
"73",73,93756.4806406657,1766.28214345546,4477.23721587881
"74",74,93394.3830211579,1721.78904158411,4883.82793725795
"75",75,92658.2288609055,1804.09329388356,5537.67784521093
"76",76,92269.99284552,1816.47809689313,5913.52905758688
"77",77,92771.1571996654,1801.76693489133,5427.0758654433
"78",78,92151.141940214,1764.86525615304,6083.99280363295
"79",79,92152.0251053883,1893.73165900072,5954.24323561103
"80",80,93188.3026131231,1890.80947134045,4920.88791553644
"81",81,91906.0614452438,1872.1981083587,6221.74044639746
"82",82,91745.5283946958,1849.73110426587,6404.74050103835
"83",83,91854.6998467106,1859.25424391977,6286.04590936964
"84",84,91569.8375380239,1906.78895824523,6523.37350373082
"85",85,92515.9802458988,1908.9827205105,5575.03703359066
"86",86,92159.8468815693,1918.4148400218,5921.73827840892
"87",87,91252.2594241618,1926.1868030041,6821.5537728341
"88",88,91572.8024618394,1904.30932473095,6522.88821342963
"89",89,91472.0253244485,1976.6989852859,6551.27569026559
"90",90,90439.1273119328,1913.00060890072,7647.87207916644
"91",91,91489.1187086917,1887.75334442973,6623.12794687857
"92",92,91072.4796484268,1892.65831086904,7034.86204070417
"93",93,91427.8453430296,1865.12090615167,6707.03375081877
"94",94,90790.4918011845,1972.2853220578,7237.22287675769
"95",95,90893.4800967424,1941.3921729337,7165.12773032391
"96",96,90851.3870221863,1949.05585653609,7199.55712127765
"97",97,91115.4672990219,1903.3483601386,6981.18434083955
"98",98,90938.6051069939,2054.54046046765,7006.85443253849
"99",99,90436.9847853396,1979.93854785103,7583.07666680936
"100",100,90543.9118569604,1963.2997729463,7492.78837009328
"101",101,91246.2705232926,1961.5416286766,6792.18784803076
"102",102,89754.8381764089,2042.60722308681,8202.5546005043
"103",103,89283.75580398,2035.61726587985,8680.62693014012
"104",104,89598.9636685338,2014.23556678824,8386.800764678
"105",105,89674.9751740891,1990.78064252405,8334.24418338683
"106",106,89921.7905558532,2072.4221924488,8005.78725169799
"107",107,89413.0688505377,2051.4774526808,8535.45369678149
"108",108,89369.0964752604,2172.57126668669,8458.3322580529
"109",109,90188.2488528421,2069.60186019867,7742.14928695924
"110",110,89717.5767549303,2124.23684853357,8158.18639653614
"111",111,89208.5354241725,2103.65791285603,8687.80666297147
"112",112,88789.1587375529,2134.49212763291,9076.34913481417
"113",113,87975.6573626773,2116.04110231211,9908.30153501055
"114",114,88638.8550133345,2125.2336210962,9235.91136556935
"115",115,88054.3944418731,2180.10167891512,9765.50387921176
"116",116,89057.6366732234,2268.68885564359,8673.67447113303
"117",117,89422.3596018123,2162.40653833361,8415.23385985413
"118",118,88356.0670002319,2006.71445750278,9637.21854226535
"119",119,88101.6106484946,2142.81802245746,9755.57132904791
"120",120,88576.6461632061,2197.77246501356,9225.58137178032
"121",121,87808.9648363185,2188.81231077417,10002.2228529073
"122",122,87217.9827936699,2259.82209296251,10522.1951133675
"123",123,87070.1403979641,2178.27703895354,10751.5825630824
"124",124,87362.4887870684,2244.18742747891,10393.3237854527
"125",125,88121.7862409743,2325.05910095744,9553.15465806827
"126",126,88022.2645773306,2180.53157221101,9797.20385045843
"127",127,86170.1950496309,2182.16760616374,11647.6373442053
"128",128,87030.8890060696,2179.35761851892,10789.7533754115
"129",129,87503.6594862798,2201.68427869448,10294.6562350258
"130",130,86890.6807129071,2257.1615663772,10852.1577207157
"131",131,87214.7027966319,2155.80246302477,10629.4947403433
"132",132,86670.175452012,2204.57160124676,11125.2529467412
"133",133,86560.4538033167,2195.32486260432,11244.221334079
"134",134,85580.3071077299,2290.54300064539,12129.1498916248
"135",135,85589.2368412967,2226.81824470802,12183.9449139953
"136",136,85546.0875723008,2181.07509873839,12272.8373289608
"137",137,85500.7155555039,2259.94474524812,12239.3396992479
"138",138,85893.0110722362,2259.49591946684,11847.493008297
"139",139,85770.1727038162,2275.16028760048,11954.6670085833
"140",140,85548.8294593072,2222.87975074469,12228.2907899481
"141",141,86267.0488540787,2192.71591164686,11540.2352342745
"142",142,84695.8927343618,2228.23445544988,13075.8728101883
"143",143,85338.6717950313,2220.46323029777,12440.864974671
"144",144,85213.0112546449,2297.47266125954,12489.5160840956
"145",145,84327.5521563095,2290.09788733792,13382.3499563526
"146",146,84303.6516734075,2285.4436107785,13410.904715814
"147",147,85461.6202245665,2321.09487069772,12217.2849047358
"148",148,84710.0749124872,2280.89285706685,13009.032230446
"149",149,84173.7011740386,2275.58618378199,13550.7126421794
"150",150,84244.592423222,2331.96170353255,13423.4458732455
"151",151,84389.6951008133,2268.45065957986,13341.8542396069
"152",152,83721.975990172,2286.69490830179,13991.3291015262
"153",153,84545.5168761542,2227.14673517755,13227.3363886683
"154",154,84376.9742937796,2284.59857230821,13338.4271339122
"155",155,83792.5245258605,2300.22681015135,13907.2486639881
"156",156,84764.3082630604,2383.71060147155,12851.981135468
"157",157,83963.6857193362,2311.71279984641,13724.6014808174
"158",158,83637.4446813757,2230.88749666677,14131.6678219575
"159",159,84500.136400455,2319.56607476628,13180.2975247787
"160",160,83413.3034787536,2375.23204517808,14211.4644760683
"161",161,83723.7308677378,2253.18820330171,14023.0809289605
"162",162,83285.9606417985,2268.1898941539,14445.8494640476
"163",163,83308.2375278541,2285.19259081348,14406.5698813324
"164",164,83155.9780612422,2250.03408431553,14593.9878544422
"165",165,82661.406301258,2151.35553876935,15187.2381599726
"166",166,82466.3254049991,2260.43856444162,15273.2360305593
"167",167,82188.1025143581,2310.62826045625,15501.2692251856
