"","Day","S","I","R"
"1",1,105396.845188768,644.180834245122,-6041.02602301338
"2",2,85801.7099421532,695.528625797236,13502.7614320495
"3",3,83997.9438234274,1172.38021601547,14829.6759605571
"4",4,88276.4167165166,330.673306160641,11392.9099773227
"5",5,86774.8506592622,1389.02363327067,11836.1257074671
"6",6,95496.1504710916,2118.55082167417,2385.29870723418
"7",7,101587.185911945,1114.16205665183,-2701.34796859664
"8",8,101988.175281395,2197.77641311338,-4185.95169450847
"9",9,103143.307259656,2656.69932190246,-5800.00658155857
"10",10,86716.9024594405,2598.36165606246,10684.7358844971
"11",11,96237.9773560532,1358.68594784508,2403.33669610175
"12",12,84163.377773023,1424.32853200045,14412.2936949766
"13",13,85804.1139537128,-24.9312286266047,14220.8172749138
"14",14,89679.8955521524,506.256260379788,9813.84818746784
"15",15,91395.2941064443,-100.02937872797,8704.73527228367
"16",16,93474.7581710406,1560.52804336303,4964.71378559635
"17",17,95385.9783897749,2642.64719309969,1971.37441712544
"18",18,90980.1978535036,1525.6719054962,7494.13024100022
"19",19,101266.941844978,1517.79842920337,-2784.74027418171
"20",20,112341.758987202,1176.48290225128,-13518.2418894532
"21",21,89062.4591742919,927.00298292899,10010.5378427791
"22",22,67567.550895808,-51.2336907796448,32483.6827949717
"23",23,91680.0111237545,-1068.01943733798,9388.00831358352
"24",24,97869.9307863747,-1140.50319496189,3270.57240858722
"25",25,104928.511704458,1060.53744017215,-5989.04914462986
"26",26,99906.8490537399,1490.18415366819,-1397.03320740811
"27",27,102391.992812647,1931.74402704951,-4323.73683969637
"28",28,95010.0496445548,1432.91325720072,3557.03709824451
"29",29,99558.6415044374,2523.34888369963,-2081.990388137
"30",30,97063.4970499639,3028.75502371128,-92.2520736751849
"31",31,102184.321806147,2217.87106385582,-4402.19287000241
"32",32,86150.0611621483,3011.64854727109,10838.2902905806
"33",33,89832.4254041179,2584.27532339761,7583.2992724845
"34",34,102581.261724446,1335.11595136168,-3916.37767580728
"35",35,94332.5405336793,890.798472847078,4776.66099347359
"36",36,102619.882391862,604.347792806303,-3224.23018466876
"37",37,89418.5117889439,-525.514442249589,11107.0026533056
"38",38,91558.7785590133,185.79668052769,8255.42476045904
"39",39,88292.5561275472,917.913298631305,10789.5305738215
"40",40,100407.548964106,1674.86826084064,-2082.41722494632
"41",41,102130.174812779,876.84689851897,-3007.02171129774
"42",42,108614.444804418,850.94743705125,-9465.39224146968
"43",43,103915.47235766,568.933782164571,-4484.40613982496
"44",44,97777.8648849538,344.776874733208,1877.35824031299
"45",45,89328.199749998,345.995074135675,10325.8051758663
"46",46,94553.9440220051,451.229347432129,4994.82663056272
"47",47,95399.1718966845,-327.83731335933,4928.66541667484
"48",48,88666.8641926137,312.188396838975,11020.9474105473
"49",49,92043.0829136618,1661.45848546853,6295.45860086964
"50",50,85896.1463999814,1313.32748422473,12790.5261157939
"51",51,88313.000577688,2305.80158188267,9381.19784042935
"52",52,93567.3120391671,1946.73074302187,4485.95721781108
"53",53,102658.489358536,1190.33993647957,-3848.82929501541
"54",54,102590.957094299,1206.16578556284,-3797.12287986192
"55",55,104998.27568821,1465.38682196864,-6463.66251017883
"56",56,104951.501674723,676.726684925671,-5628.22835964883
"57",57,85389.7866036763,-230.222154739716,14840.4355510634
"58",58,88738.4285982615,1200.82390857487,10060.7474931636
"59",59,83953.3673425709,1730.08677254414,14316.545884885
"60",60,79340.0228519422,1545.29018911319,19114.6869589446
"61",61,83350.8109046832,2484.21123590528,14164.9778594115
"62",62,84552.9801676822,2306.47665113339,13140.5431811844
"63",63,78050.5996279996,930.048805739032,21019.3515662613
"64",64,93064.7258754001,1996.97613254147,4938.29799205843
"65",65,90351.0242780187,1431.12000861273,8217.85571336862
"66",66,101077.799154052,1376.82744506227,-2454.62659911429
"67",67,83285.4564808022,2738.02541805017,13976.5181011477
"68",68,77685.1138461181,1617.91784182531,20696.9683120566
"69",69,81581.5161403094,1863.18864516602,16555.2952145246
"70",70,93335.9583853605,1259.9160031485,5404.12561149097
"71",71,87496.8768107788,2118.09567303323,10385.027516188
"72",72,100781.847908961,1369.7583472064,-2151.60625616768
"73",73,96263.2429768937,775.385394508362,2961.37162859792
"74",74,98565.4237670982,1018.32457676753,416.251656134269
"75",75,108672.546353688,1588.6764557087,-10261.2228093962
"76",76,98522.9242742694,1530.92450124074,-53.8487755101587
"77",77,104514.164768304,621.599792717133,-5135.76456102136
"78",78,101299.35841791,2457.95820534393,-3757.31662325435
"79",79,85836.7790988969,3030.28731726909,11132.933583834
"80",80,94031.234446039,3630.07016054777,2338.69539341319
"81",81,84144.3568678539,3486.2596017343,12369.3835304118
"82",82,85133.7096262457,3246.22002742357,11620.0703463307
"83",83,89679.5557166434,3142.17372709965,7178.27055625697
"84",84,84015.0657670025,3032.75886395426,12952.1753690433
"85",85,83739.6023389335,3534.2094023232,12726.1882587433
"86",86,80025.3378687888,3590.5921598753,16384.0699713359
"87",87,99520.5747074254,1778.73256644515,-1299.3072738706
"88",88,90754.7172668564,1840.22277349763,7405.05995964594
"89",89,104561.239894778,1826.81108777996,-6388.0509825584
"90",90,93006.1257868352,1347.0132443701,5646.8609687947
"91",91,95621.5056087244,2029.21106081723,2349.28333045834
"92",92,109606.25127318,1612.52678463435,-11218.7780578141
"93",93,110119.491302393,2747.2072657671,-12866.6985681605
"94",94,107869.454451605,2350.13162946976,-10219.586081075
"95",95,94080.7675808227,2691.60838215024,3227.62403702707
"96",96,93341.1786889863,2464.99682908108,4193.82448193265
"97",97,92641.4647730337,2005.51246227494,5353.02276469139
"98",98,83244.20984006,1115.1352058302,15640.6549541098
"99",99,82047.3027012003,1040.6182952382,16912.0790035615
"100",100,79610.2323151525,1440.77031820863,18948.9973666389
"101",101,94210.3202437643,1253.38484611172,4536.29491012397
"102",102,86429.9834772992,2379.24234105039,11190.7741816504
"103",103,92217.6863847142,2403.32504806705,5378.98856721876
"104",104,88018.8204691165,3623.3067214403,8357.87280944315
"105",105,82443.5117051441,2353.27683298739,15203.2114618685
"106",106,82638.6394424272,1898.45948168762,15462.9010758852
"107",107,80633.5452087659,3090.28277586165,16276.1720153725
"108",108,88994.899157912,3234.06632911042,7771.03451297762
"109",109,95882.6015871769,3220.60777735048,896.790635472597
"110",110,79472.4824121735,3967.81166076676,16559.7059270597
"111",111,80981.2457398592,3254.14878102046,15764.6054791203
"112",112,87553.2132915036,2741.0200245252,9705.76668397118
"113",113,72207.1175322353,2513.15918973761,25279.7232780271
