"","Day","S","I","R"
"1",1,100974.30871388,-123.394798645163,-850.913915235096
"2",2,100943.001106861,-120.721660647883,-822.279446213238
"3",3,100930.549619186,-120.285638644955,-810.263980541359
"4",4,100923.747997413,-116.000972032401,-807.747025380894
"5",5,100914.304015847,-114.978816961981,-799.325198884568
"6",6,100890.46781149,-111.254666059658,-779.213145430529
"7",7,100867.306964809,-107.000847098356,-760.306117710662
"8",8,100836.302178332,-103.878273294604,-732.423905037024
"9",9,100816.708541954,-102.116228457423,-714.592313496407
"10",10,100781.107520952,-100.03862848385,-681.068892468022
"11",11,100741.722623489,-97.9645552403841,-643.758068249034
"12",12,100714.837673409,-93.8045150224451,-621.033158386982
"13",13,100704.479479859,-92.1588712315498,-612.320608627784
"14",14,100700.843647468,-88.8651205122229,-611.978526955624
"15",15,100655.497891769,-86.1680490668115,-569.329842702173
"16",16,100655.44404064,-81.9338187418113,-573.510221898378
"17",17,100639.764066619,-78.9700917559707,-560.793974863449
"18",18,100629.303774435,-76.4262302110594,-552.877544223798
"19",19,100611.069320395,-74.5267685420701,-536.542551852853
"20",20,100571.467991219,-71.1619513151909,-500.30603990405
"21",21,100560.116791717,-68.480660506862,-491.636131210371
"22",22,100556.812556252,-63.5422292953985,-493.270326956656
"23",23,100523.842554026,-59.8768133288063,-463.965740696903
"24",24,100505.01329156,-58.0567187780085,-446.956572782227
"25",25,100485.903322441,-57.7333917437318,-428.169930697575
"26",26,100471.622229491,-53.495444088087,-418.126785403037
"27",27,100439.811629025,-51.0887955894348,-388.722833435526
"28",28,100404.337676166,-47.4729432420468,-356.864732923731
"29",29,100396.162438769,-46.0299456086109,-350.132493159928
"30",30,100369.258547716,-42.4379723106407,-326.820575405004
"31",31,100345.749071306,-39.5377997307393,-306.211271574854
"32",32,100335.350958436,-36.1776183770349,-299.173340059198
"33",33,100291.593781385,-33.89326642291,-257.700514962167
"34",34,100251.687544031,-31.6077134063193,-220.079830624823
"35",35,100258.931426179,-28.3539724393189,-230.577453739612
"36",36,100233.637657849,-25.8157773522322,-207.82188049674
"37",37,100212.027167012,-23.8302123458667,-188.196954665722
"38",38,100189.770036978,-19.1305157645858,-170.639521213849
"39",39,100177.9589685,-17.3178792623678,-160.641089238064
"40",40,100156.163440938,-14.641760443542,-141.521680494176
"41",41,100152.135686912,-12.5929716629003,-139.542715249551
"42",42,100121.692838324,-8.82059752113651,-112.872240803158
"43",43,100100.103193421,-5.8639005723434,-94.2392928483054
"44",44,100069.650865865,-4.07963046211544,-65.5712354029092
"45",45,100050.22238562,-2.934933103764,-47.2874525159428
"46",46,100032.62867449,0.748754548403875,-33.3774290379314
"47",47,100003.338608938,4.63201794938205,-7.97062688765989
"48",48,99986.5522526007,7.04318341640066,6.40456398287432
