"","Day","S","I","R"
"1",1,100981.879824712,-124.535784085369,-857.344040627009
"2",2,100962.818497055,-122.943793791021,-839.874703264131
"3",3,100954.224613632,-119.900045900288,-834.32456773138
"4",4,100909.455307748,-117.579398538847,-791.875909209394
"5",5,100871.709167838,-117.623066549313,-754.086101289045
"6",6,100854.606290813,-112.55036398085,-742.055926832059
"7",7,100820.613052245,-109.357562019534,-711.255490225302
"8",8,100802.481272816,-106.659608142689,-695.821664672965
"9",9,100786.312440503,-103.578174061078,-682.734266441627
"10",10,100762.926542097,-99.9558877861457,-662.97065431048
"11",11,100752.432406855,-98.0376006086834,-654.394806246816
"12",12,100738.768548275,-94.5814665237973,-644.187081750819
"13",13,100726.668618102,-91.8449720242879,-634.823646078037
"14",14,100699.881231134,-88.3624329730634,-611.518798161141
"15",15,100698.318899291,-86.8001011298444,-611.518798161141
"16",16,100674.361037412,-83.5375045743755,-590.823532837963
"17",17,100652.127611121,-80.4661382694838,-571.66147285149
"18",18,100631.770828291,-77.7092968837577,-554.061531407725
"19",19,100611.886348535,-75.7914516129936,-536.094896922313
"20",20,100572.974752529,-73.0011904485851,-499.973562080794
"21",21,100554.641955753,-70.2965068023178,-484.345448950918
"22",22,100525.17569037,-67.4064482313639,-457.769242138346
"23",23,100510.727726814,-65.0855192551548,-445.642207558848
"24",24,100485.591902644,-64.2224055484916,-421.369497095504
"25",25,100470.62968959,-60.6048198244671,-410.024869765869
"26",26,100453.888159959,-57.4629356560042,-396.425224303369
"27",27,100435.225025297,-51.9123205071199,-383.312704790299
"28",28,100433.378794476,-50.0660896852322,-383.312704790299
"29",29,100410.830602307,-46.2768223285902,-364.553779978181
"30",30,100385.949505324,-43.140490755108,-342.809014569033
"31",31,100362.116975734,-40.2031173911143,-321.913858342416
"32",32,100349.648959868,-37.0924230081803,-312.556536859549
"33",33,100325.23202989,-35.1811528003234,-290.050877089663
"34",34,100312.364446744,-32.3289509397374,-280.035495803872
"35",35,100281.167155871,-27.0207228136444,-254.146433056999
"36",36,100247.417340568,-25.0925777179276,-222.324762850339
"37",37,100219.20510897,-23.8639387728996,-195.341170196864
"38",38,100190.7706557,-21.1464921941813,-169.624163505999
"39",39,100180.355552661,-20.2529412562701,-160.102611404686
"40",40,100169.420016674,-17.0204511091821,-152.399565564706
"41",41,100147.810527419,-12.9743170431671,-134.836210375689
"42",42,100127.618489396,-9.86603801053529,-117.752451385394
"43",43,100121.558712428,-5.31514789476599,-116.24356453332
"44",44,100099.640337299,-5.37325976082759,-94.2670775379567
"45",45,100084.224491422,-1.12667160001288,-83.0978198219062
"46",46,100051.91539771,1.00780000048658,-52.9231977109736
"47",47,100017.560868691,6.31649456755729,-23.8773632582935
"48",48,100004.991490766,7.4784126999976,-12.469903466491
"49",49,99982.275167072,8.62006682693606,9.10476610103218
"50",50,99954.0901335581,10.6512498703805,35.2586165715193
"51",51,99928.5742511697,13.4133620360645,58.0123867942475
"52",52,99909.6646291089,15.9944929640542,74.3408779270913
