"","Day","S","I","R"
"1",1,101003.352486113,-126.661681292559,-876.69080482042
"2",2,100963.001531623,-124.112480464654,-838.889051158356
"3",3,100924.501096013,-119.07756892738,-805.423527085785
"4",4,100929.718654021,-116.221044436326,-813.497609584592
"5",5,100890.088976717,-113.036587083488,-777.052389633823
"6",6,100870.427601052,-109.059025812952,-761.368575238803
"7",7,100826.595061441,-107.812555330549,-718.782506110623
"8",8,100846.334803126,-105.607740924322,-740.72706220128
"9",9,100799.319033163,-103.361756928975,-695.957276234438
"10",10,100788.123210197,-101.238845348736,-686.884364848042
"11",11,100757.266118648,-96.5521495868144,-660.713969061312
"12",12,100740.14167096,-92.912564342876,-647.229106617092
"13",13,100715.499103606,-91.4817214421388,-624.017382164264
"14",14,100714.271829147,-89.1884637936937,-625.083365353557
"15",15,100664.053178445,-85.3803653483706,-578.672813096662
"16",16,100675.796367167,-81.657149350425,-594.139217816686
"17",17,100647.027459849,-82.3621968162442,-564.665263032614
"18",18,100621.279141287,-77.9756048685885,-543.303536418274
"19",19,100581.450110814,-74.8797888633905,-506.570321951019
"20",20,100569.958002299,-72.5007705523024,-497.457231746536
"21",21,100568.66790131,-68.5487016165712,-500.11919969341
"22",22,100528.246981601,-65.6129476510996,-462.634033949563
"23",23,100519.289899441,-63.5688967488832,-455.721002692416
"24",24,100482.878216585,-61.1679476119873,-421.710268973001
"25",25,100463.067460756,-59.7358365356082,-403.331624220411
"26",26,100456.780845748,-54.9678177530537,-401.81302799511
"27",27,100428.705284389,-51.5645330534001,-377.140751335178
"28",28,100409.10378594,-50.4647129094972,-358.639073030535
"29",29,100389.394615003,-47.4750546145761,-341.91956038872
"30",30,100352.794050027,-45.1982092582686,-307.59584076863
"31",31,100345.505655137,-42.2839832350817,-303.221671901655
"32",32,100327.121567637,-38.9079950129574,-288.213572624048
"33",33,100305.870987598,-36.3901291202827,-269.480858478097
"34",34,100272.341751281,-32.6822470653916,-239.659504216012
"35",35,100256.752279378,-30.6447152134069,-226.107564164892
"36",36,100237.561074989,-27.518626155678,-210.042448833518
"37",37,100226.440035937,-24.2216918954608,-202.218344041591
"38",38,100194.492236546,-22.3544311892165,-172.137805356493
"39",39,100179.226275413,-18.1820166429993,-161.044258769833
"40",40,100146.04490557,-15.4080928785698,-130.636812691171
"41",41,100150.627466165,-13.1006442239026,-137.526821941513
"42",42,100122.384430087,-10.6996793644831,-111.684750722387
"43",43,100087.436595524,-6.10484659511688,-81.3317489287003
"44",44,100074.633002758,-4.31213470433219,-70.3208680532921
"45",45,100060.146109708,-1.26675941021528,-58.8793502975858
"46",46,100036.690355136,1.73448846053304,-38.4248435967681
"47",47,100033.6119586,4.77554050943075,-38.3874991096867
"48",48,100011.871906672,6.65796552605634,-18.5298721980174
"49",49,99972.8987994649,8.0893691803634,19.0118313547619
"50",50,99961.2326053153,11.108555206856,27.6588394779011
"51",51,99928.6752068977,17.0910188757831,54.2337742264877
"52",52,99909.5237790038,17.712996123519,72.7632248726873
"53",53,99886.8598787641,20.382552510292,92.757568725566
"54",54,99873.9809584889,21.8743606616652,104.144680849481
"55",55,99848.8584595564,26.5581136810522,124.583426762552
"56",56,99821.1075566741,27.9733775615278,150.919065764415
"57",57,99787.5070689395,30.0109522122167,182.481978848276
"58",58,99799.2029556783,34.0674394525753,166.729604869146
"59",59,99775.0457187582,35.1887468402255,189.765534401612
"60",60,99746.0833602142,40.7107178877067,213.205921898119
"61",61,99714.8509381229,42.6013613036064,242.547700573449
"62",62,99690.6697109279,45.5919379317783,263.738351140334
"63",63,99677.006938747,49.2414876546159,273.751573598433
"64",64,99655.4430887358,50.5428883410669,294.014022923168
"65",65,99630.2648000446,54.8861982294438,314.849001725992
"66",66,99611.6197089075,57.1360564712211,331.244234621301
"67",67,99587.2782692133,58.4163796331522,354.305351153575
"68",68,99568.2130790028,62.0544505626665,369.732470434507
"69",69,99547.2269909864,65.4391332560932,387.333875757465
"70",70,99529.1884681892,68.7412120338976,402.070319776933
"71",71,99496.7970147739,71.3390099142232,431.86397531192
"72",72,99473.3890390325,74.4314656804444,452.179495287041
"73",73,99474.4947769233,77.1201350802928,448.385087996456
"74",74,99457.0476961359,81.2144510748218,461.737852789327
"75",75,99434.2757610884,81.2252216406668,484.499017270886
"76",76,99413.013668904,84.0333647509328,502.952966345035
"77",77,99373.6884340993,86.4856890031123,539.82587689756
"78",78,99353.9746856515,89.5883279316284,556.436986416924
"79",79,99347.6156089973,92.2657865289979,560.118604473673
"80",80,99331.6397291459,95.4764073750022,572.883863479099
"81",81,99296.7184949815,100.761844639886,602.519660378607
"82",82,99285.8454059208,102.278965808443,611.875628270708
"83",83,99243.1260329734,105.040357604699,651.833609421865
"84",84,99233.2104822398,108.052098884684,658.737418875525
"85",85,99225.1909446756,111.843261798468,662.965793525914
"86",86,99182.2274332545,113.552846090485,704.219720655058
"87",87,99178.8238072413,116.494338986272,704.681853772413
"88",88,99126.5294912603,116.790370611374,756.680138128343
"89",89,99131.051235418,120.031985631848,748.916778950153
"90",90,99107.5481731776,124.965275096911,767.486551725521
"91",91,99099.4175959149,126.362699139425,774.219704945641
"92",92,99059.4223408821,130.090159634391,810.487499483527
"93",93,99052.1114248041,131.416527234073,816.472047961836
"94",94,99007.8389530226,133.608264118411,858.552782858955
"95",95,98989.213580157,138.641764644073,872.144655198974
"96",96,99000.0854747746,139.662045521667,860.252479703753
"97",97,98963.697728576,144.380380655531,891.921890768431
"98",98,98929.6270212761,146.513342875486,923.859635848387
"99",99,98915.0952519356,148.630509765602,936.274238298836
"100",100,98897.5378432647,152.522902061962,949.939254673368
"101",101,98890.0799774123,155.434282657048,954.485739930672
"102",102,98852.5125480045,157.912606652682,989.57484534278
"103",103,98830.4653287553,159.153519675379,1010.38115156933
"104",104,98799.3503376266,162.839057394432,1037.81060497893
"105",105,98783.2872574304,164.763026289035,1051.94971628054
"106",106,98794.6757748699,169.923567989335,1035.40065714072
"107",107,98761.3662297816,171.96400198535,1066.66976823304
"108",108,98727.9851625467,174.813462122512,1097.2013753308
"109",109,98706.2957650379,178.328237438072,1115.37599752405
"110",110,98693.4814261858,179.666996343188,1126.85157747102
"111",111,98673.1432628567,182.049291158347,1144.80744598493
"112",112,98653.5407042813,185.749379910888,1160.70991580777
"113",113,98625.5220594824,187.751108260838,1186.72683225676
"114",114,98601.4971970062,192.1042945438,1206.39850845002
"115",115,98578.1816066556,193.240919262428,1228.577474082
"116",116,98548.0465836509,195.642101682745,1256.31131466638
"117",117,98531.1783512999,200.467762425585,1268.35388627452
"118",118,98526.5234623051,202.511789837351,1270.96474785754
"119",119,98510.7827110247,204.505984464905,1284.71130451039
"120",120,98481.5506190356,207.062454545689,1311.38692641868
"121",121,98480.6344689545,212.91744494327,1306.44808610222
"122",122,98434.3540930653,213.741847388657,1351.90405954609
"123",123,98432.5726521373,217.955880227656,1349.47146763505
"124",124,98384.324708459,219.233166018366,1396.44212552261
"125",125,98382.5651830776,221.213901175705,1396.22091574668
"126",126,98351.0238919866,223.204245724476,1425.77186228888
"127",127,98307.1848889957,228.544694304464,1464.27041669984
"128",128,98314.0113954391,230.535352940063,1455.45325162079
"129",129,98299.3522634213,233.68480620508,1466.9629303736
"130",130,98252.8278893119,236.633941094773,1510.53816959333
"131",131,98242.190449917,236.95373509004,1520.85581499293
"132",132,98237.9279297786,242.30802429724,1519.76404592412
"133",133,98195.4549619351,244.7734937051,1559.77154435985
"134",134,98180.6424893512,247.160535430843,1572.19697521796
"135",135,98167.4137049384,250.687343716689,1581.89895134493
"136",136,98140.1658223657,251.39692103557,1608.43725659875
"137",137,98128.0081330484,253.950154237277,1618.04171271429
"138",138,98084.4742129182,259.215577049227,1656.31021003258
"139",139,98083.7007911908,261.345931851694,1654.95327695752
"140",140,98079.7150066531,263.403516408628,1656.88147693828
"141",141,98050.2601663033,265.897935374309,1683.84189832244
"142",142,98014.1974234213,269.553073891347,1716.2495026874
"143",143,98000.3335564311,273.737196895408,1725.92924667352
"144",144,97968.7015704702,275.060401436035,1756.23802809374
"145",145,97972.173631785,278.769576642719,1749.05679157227
"146",146,97915.7170673328,279.658432403896,1804.62450026328
"147",147,97911.4164905601,283.635902174209,1804.94760726565
"148",148,97889.0359259452,286.787919701212,1824.1761543536
"149",149,97859.9302552218,287.451938169401,1852.61780660881
"150",150,97853.8383252825,291.548535627633,1854.61313908988
"151",151,97815.6093134554,294.853706695473,1889.53697984916
"152",152,97802.42602498,297.974241762195,1899.5997332578
"153",153,97794.3476271653,301.885311703387,1903.76706113134
"154",154,97762.6202469554,304.468625530151,1932.91112751441
"155",155,97751.9505572935,305.164741585617,1942.88470112086
"156",156,97731.9412512934,309.953212230351,1958.10553647626
"157",157,97683.2008095,311.431133632456,2005.36805686754
"158",158,97679.9115435254,313.186765935468,2006.90169053915
"159",159,97644.4760786676,317.183534740693,2038.34038659168
"160",160,97654.2041679813,320.074748062157,2025.72108395656
"161",161,97620.8292018621,323.065877653592,2056.1049204843
"162",162,97610.8455880568,325.183092604197,2063.97131933901
