"","Day","S","I","R"
"1",1,100962.160064159,-124.134147024004,-838.025917134899
"2",2,100962.160064159,-124.134147024004,-838.025917134899
"3",3,100935.284208888,-119.018223134332,-816.265985753536
"4",4,100905.310020997,-115.291162208325,-790.018858788457
"5",5,100905.310020997,-115.291162208325,-790.018858788457
"6",6,100862.307548859,-110.921036008235,-751.386512850631
"7",7,100859.823917943,-109.166924096263,-750.656993846295
"8",8,100811.767348552,-105.716175056683,-706.051173495629
"9",9,100808.754025351,-102.702851855569,-706.051173495629
"10",10,100781.758465457,-98.2443726939402,-683.514092763418
"11",11,100781.758465457,-98.2443726939402,-683.514092763418
"12",12,100744.617188924,-94.1040244106997,-650.513164513453
"13",13,100732.731057213,-91.2373468675351,-641.493710345284
"14",14,100722.852025858,-89.266238413718,-633.585787444103
"15",15,100707.358647519,-85.9611415045647,-621.397506014867
"16",16,100668.523127498,-83.0648022008775,-585.458325297053
"17",17,100644.971997036,-80.3655739278569,-564.606423108232
"18",18,100623.517075282,-77.3773419862471,-546.139733295561
"19",19,100616.995496518,-74.0250342745265,-542.970462243379
"20",20,100584.197488088,-72.7818388911973,-511.415649196876
"21",21,100561.922852934,-68.6059121083557,-493.316940825852
"22",22,100542.792683229,-66.8490341946079,-475.94364903465
"23",23,100525.061599085,-64.4433021775228,-460.618296907483
"24",24,100504.113072588,-60.5819167662466,-443.531155821964
"25",25,100465.218035745,-57.3379700983222,-407.880065646836
"26",26,100447.941510361,-56.9112350797737,-391.030275281293
"27",27,100413.534945867,-51.6656733878129,-361.869272478891
"28",28,100409.885163204,-49.9682072391099,-359.916955964703
"29",29,100393.873941395,-45.2123708695204,-348.661570525038
"30",30,100366.375625019,-43.9883976880673,-322.387227331302
"31",31,100364.730264646,-43.1161040496773,-321.614160596251
"32",32,100331.647739125,-39.5023835912751,-292.145355533646
"33",33,100302.931943887,-36.3036280547777,-266.628315832499
"34",34,100275.88816304,-31.4259571845514,-244.462205855171
"35",35,100275.88816304,-31.4259571845514,-244.462205855171
"36",36,100250.146444688,-28.2554411326321,-221.891003555337
"37",37,100221.096204829,-24.6474816938404,-196.44872313482
"38",38,100198.291868105,-21.2467254817302,-177.045142623262
"39",39,100167.011399773,-15.5978116099387,-151.413588162953
"40",40,100167.011399773,-15.5978116099387,-151.413588162953
"41",41,100143.308096562,-12.1758527976051,-131.132243764034
"42",42,100120.485663683,-9.79893899837084,-110.686724684768
"43",43,100099.241210167,-7.04877615950009,-92.1924340074323
"44",44,100083.646429044,-5.96747917689885,-77.6789498667281
"45",45,100047.018998832,-1.38189859561004,-45.6371002362352
"46",46,100045.963800587,-0.32670035033567,-45.6371002362352
"47",47,100004.008229712,3.74348953224012,-7.75171924406072
"48",48,99997.3066121535,6.88704978612257,-4.19366193957283
"49",49,99960.2172567399,6.89677751347656,32.8859657465987
"50",50,99951.4412072151,13.1284940377867,35.4302987471543
"51",51,99930.9314649802,14.7192495834579,54.3492854363312
"52",52,99911.1477817005,14.8205132691733,74.0317050303487
"53",53,99891.761617562,18.4986412181293,89.7397412199083
"54",54,99868.6784552252,25.5029234666116,105.818621308182
"55",55,99847.8814667854,25.0149654273081,127.103567787304
"56",56,99818.8557602644,30.6507640145502,150.493475721094
"57",57,99818.8557602644,30.6507640145502,150.493475721094
"58",58,99784.890693299,35.1162994709082,179.993007230085
"59",59,99750.4208202273,37.9098272487391,211.669352523932
"60",60,99737.4651523908,38.9877668776157,223.547080731603
"61",61,99698.7257325641,43.857074015691,257.417193420169
"62",62,99698.7257325641,43.857074015691,257.417193420169
"63",63,99674.0778728817,47.1893468504746,278.732780267874
"64",64,99645.4789684587,53.4855753581261,301.035456183187
"65",65,99620.3278141785,55.7873155885139,323.884870233032
"66",66,99620.3278141785,55.7873155885139,323.884870233032
"67",67,99575.321299471,59.6992032913782,364.979497237588
"68",68,99565.6028778746,62.6855572201777,371.711564905196
"69",69,99561.1794324312,66.5511715096359,372.269396059186
"70",70,99521.9883040843,68.5946839650705,409.417011950603
"71",71,99512.6138703484,69.4485884138421,417.93754123774
"72",72,99482.8846440999,74.0884538973577,443.026902002767
"73",73,99463.2687428368,76.8381780673699,459.893079095822
"74",74,99445.7368815029,79.0110713375552,475.252047159584
"75",75,99426.6566692827,80.3160329388648,493.027297778432
"76",76,99405.6236397859,84.3395037972068,510.036856416861
"77",77,99380.8872451817,88.9610887548832,530.151666063373
"78",78,99362.1773017647,89.6104892099315,548.212209025406
"79",79,99354.4373359056,93.3633086622123,552.199355432154
"80",80,99316.3715084946,95.1507621680787,588.477729337305
"81",81,99296.6534521464,99.9040075139801,603.4425403396
"82",82,99274.5430092771,100.018982059753,625.438008663134
"83",83,99259.804869884,102.696895478761,637.49823463724
"84",84,99225.8814924979,105.543859102257,668.574648399834
"85",85,99210.3259274061,111.481540324919,678.192532268939
"86",86,99210.3259274061,111.481540324919,678.192532268939
"87",87,99172.2393066449,115.499783632237,712.260909722877
"88",88,99154.271705868,118.894242666458,726.834051465572
"89",89,99136.985964261,123.034063410531,739.979972328503
"90",90,99103.4104852114,125.006088212454,771.583426576179
"91",91,99082.7591690526,127.620915639888,789.619915307509
"92",92,99074.7103717272,127.436536821163,797.853091451596
"93",93,99036.6336640464,131.663417690945,831.702918262626
"94",94,99027.4531841774,134.873175773101,837.673640049455
"95",95,98994.4320228055,138.792009738038,866.775967456476
"96",96,98979.6569541902,141.683948385319,878.659097424511
"97",97,98966.437722062,144.918995938744,888.643281999248
"98",98,98944.5545964788,147.621568660499,907.823834860713
"99",99,98920.9881705576,150.683728998946,928.328100443501
"100",100,98899.3047065977,152.121915397865,948.573378004406
"101",101,98867.1402927793,153.688142987826,979.171564232864
