"","Day","S","I","R"
"1",1,99981.6066025837,58.3568670029615,-39.9634695867117
"2",2,99978.9997643571,58.8290091827738,-37.8287735398845
"3",3,99985.664398291,59.0583067904688,-44.7227050814666
"4",4,99993.2365489508,60.3486307811055,-53.5851797318811
"5",5,99992.0872185184,58.2971861101154,-50.3844046285069
"6",6,99984.7820762017,59.6175829738089,-44.399659175548
"7",7,99997.6515557232,59.1648978558739,-56.8164535790483
"8",8,99985.4111295206,58.5347926260581,-43.9459221466613
"9",9,99965.6661756963,59.9210436324702,-25.5872193287549
"10",10,99955.9822235223,61.0435531088409,-17.0257766311325
"11",11,99962.3904480534,59.5820371646334,-21.9724852180196
"12",12,99938.4382098197,60.8799450512996,0.681845129029024
"13",13,99933.7783420929,59.6198959319545,6.60176197516979
"14",14,99920.7250538442,60.0744572985596,19.2004888572791
"15",15,99910.015582325,61.4557727639627,28.5286449110786
"16",16,99915.8101345484,61.1628504430012,23.0270150085662
"17",17,99906.0785550983,63.3956377452018,30.5258071564984
"18",18,99914.1634855722,61.8881845635629,23.9483298642385
"19",19,99909.5909777162,62.3064895130871,28.1025327707298
"20",20,99904.4034507766,62.731922804503,32.8646264189091
"21",21,99918.7568615891,61.8027794218129,19.4403589890907
"22",22,99919.2732213723,64.1249398946794,16.601838732984
"23",23,99903.9323010449,65.6863188996695,30.3813800553823
"24",24,99889.7902565012,66.1976562489768,44.012087249819
"25",25,99874.1902831647,64.4696175139152,61.3400993213756
"26",26,99860.081437135,63.7322848497315,76.1862780152607
"27",27,99852.9495422851,63.7975053180695,83.2529523968069
"28",28,99851.2139849107,63.384013148955,85.4020019403404
"29",29,99871.6378523565,64.3604622265117,64.0016854169797
"30",30,99864.4211465692,64.644434130305,70.9344193004408
"31",31,99855.4591029322,65.483550042497,79.0573470252578
"32",32,99869.6454369997,64.5970547981325,65.7575082021351
"33",33,99860.4449166913,64.2531400963787,75.3019432123525
"34",34,99856.3306394526,63.4717729247161,80.1975876227036
"35",35,99859.9331349966,63.2722390563541,76.7946259470725
"36",36,99838.5396896917,63.5994849128442,97.8608253954737
"37",37,99832.5983588061,63.4607136324626,103.940927561402
"38",38,99806.446228624,63.4715031945881,130.082268181441
"39",39,99800.0306742358,62.7376821428889,137.231643621335
"40",40,99803.4672759378,62.1290592147793,134.403664847433
"41",41,99784.2404401473,62.3285699062527,153.430989946465
"42",42,99774.716786123,61.4762970631966,163.806916813838
"43",43,99783.6936052553,61.9355589019657,154.370835842753
"44",44,99782.1293676322,61.6373643196773,156.233268048166
"45",45,99788.9925072832,61.9675547004626,149.039938016374
"46",46,99772.2360439734,60.9881845055929,166.77577152099
"47",47,99760.0249873723,61.7399576502844,178.235054977427
"48",48,99762.6840836376,60.844152474518,176.471763887884
"49",49,99769.9464441953,59.6542470313964,170.399308773276
"50",50,99750.6295096172,60.0820013613912,189.288489021439
"51",51,99735.3106780712,59.0296550238352,205.659666905003
"52",52,99723.7283027258,59.6576732774896,216.614023996756
"53",53,99723.9454148329,58.6111832668095,217.443401900245
"54",54,99727.2767408629,57.7230597504536,215.00019938667
"55",55,99721.0098340411,58.9030162406299,220.087149718257
"56",56,99720.7894743987,57.2024949133864,222.00803068788
"57",57,99718.0238121189,55.251066993075,226.725120888045
"58",58,99709.3859612838,53.9127219648999,236.701316751263
