"","Day","S","I","R"
"1",1,99987.868413094,56.7114787047834,-44.5798917987301
"2",2,100013.780306165,58.7262153737092,-72.5065215389036
"3",3,99989.6683305685,57.280619275974,-46.9489498444545
"4",4,99991.3211554967,59.7813227042081,-51.1024782008774
"5",5,99981.4532512152,57.4476663172165,-38.9009175324254
"6",6,99964.5103479518,58.6317413252489,-23.1420892770758
"7",7,99971.1160190913,59.0430511412535,-30.159070232586
"8",8,99959.0016112177,60.1146504232744,-19.1162616410207
"9",9,99973.4890662684,61.0030116985212,-34.4920779669143
"10",10,99946.0566248482,60.9774777422529,-7.03410259044798
"11",11,99936.7072016126,62.083356142319,1.20944224504654
"12",12,99924.7201550465,60.2500972589328,15.0297476945895
"13",13,99939.8712200206,62.0142562456642,-1.88547626623034
"14",14,99933.5271585482,61.6398134245353,4.83302802723659
"15",15,99911.8741732268,60.5125857054057,27.6132410678136
"16",16,99924.7776096938,61.2529940259403,13.9693962802438
"17",17,99907.1608138565,63.7086842325999,29.1305019108916
"18",18,99906.5699772655,62.6426084717143,30.7874142627819
"19",19,99923.2129770625,62.2703125178981,14.5167104195886
"20",20,99920.4920316032,62.0077908357536,17.5001775610129
"21",21,99898.2334292388,61.7949203985454,39.9716503626163
"22",22,99883.349368464,64.1075471816188,52.5430843544262
"23",23,99883.1271493588,63.1533883282472,53.7194623129503
"24",24,99893.3816789611,62.785032948386,43.8332880905495
"25",25,99888.3444659828,63.3922874003376,48.2632466168392
"26",26,99878.3637370741,63.7288685236851,57.9073944022371
"27",27,99865.602981309,60.6888002197779,73.7082184712571
"28",28,99874.6509808107,63.1993825300701,62.1496366591969
"29",29,99887.4675264716,63.098158733772,49.4343147945926
"30",30,99855.3529139023,66.8889986878436,77.7580874098479
"31",31,99867.126928505,62.3295365459601,70.543534949024
"32",32,99835.7122199456,63.6511962479482,100.636583806415
"33",33,99848.0448379166,62.8924619610567,89.0627001223557
"34",34,99835.6468254088,65.2888684797214,99.0643061115264
"35",35,99825.9945776035,64.5984662229072,109.406956173627
"36",36,99829.0625735956,63.1952864603497,107.74213994406
"37",37,99833.3842352156,66.0146563087731,100.601108475613
"38",38,99810.3134901615,63.790213113988,125.89629672449
"39",39,99790.700800372,62.4296072542132,146.869592373831
"40",40,99807.4684791505,63.1805167647618,129.351004084694
"41",41,99804.413040384,63.2641962610634,132.322763354941
"42",42,99786.5828456325,63.2328025292037,150.184351838335
"43",43,99769.2660445435,59.9064333866716,170.827522069812
"44",44,99787.6646718922,59.8132885094795,152.522039598318
"45",45,99786.064141364,61.0705745270476,152.865284108993
"46",46,99773.6323138542,61.4728305920395,164.894855553744
"47",47,99755.0346670243,59.3494813172517,185.615851658447
"48",48,99764.0790662505,59.5849417920119,176.335991957519
"49",49,99762.9408540738,58.3813152803108,178.677830645887
"50",50,99744.2561891457,57.6519973172102,198.091813537088
"51",51,99737.0726454715,59.4583686765383,203.468985851965
"52",52,99740.0286791567,58.4225753072975,201.548745535989
"53",53,99728.1078204646,56.4022195313216,215.489960004065
"54",54,99738.1456641791,57.3171999233432,204.53713589758
"55",55,99732.4135109928,56.6173000490346,210.969188958212
"56",56,99722.2994674968,57.9873758832874,219.713156619944
"57",57,99724.1147373468,54.5433060164059,221.341956636799
"58",58,99697.2309676177,53.2215456772671,249.547486705029
"59",59,99687.0316773661,52.0691942577449,260.899128376137
"60",60,99697.3590686152,53.2884089596054,249.352522425185
"61",61,99698.2630626022,50.3965540005665,251.340383397276
"62",62,99685.3998087848,48.1287078252341,266.471483389963
"63",63,99692.2531136625,46.2359020292565,261.510984308218
"64",64,99681.2856643484,49.1638596383659,269.550476013233
"65",65,99660.138574294,45.267476932664,294.59394877329
"66",66,99673.6820167541,44.9066898146277,281.411293431237
"67",67,99654.7012546161,44.0932280214853,301.20551736246
"68",68,99641.5459240862,42.1384369448639,316.315638968945
"69",69,99635.966867525,40.3041865268824,323.728945948145
"70",70,99644.3288350537,37.9932644390798,317.67790050718
"71",71,99646.4135742729,36.1632379184537,317.423187808662
"72",72,99624.8820419648,37.2468966644805,337.871061370755
"73",73,99616.7655420306,33.0660169570802,350.168441012329
"74",74,99622.2764698993,31.1107663003936,346.612763800312
"75",75,99604.7071295197,28.4245020234802,366.868368456831
"76",76,99620.8116401661,25.5499542622593,353.638405571616
"77",77,99591.8224179182,25.7408001982862,382.436781883506
"78",78,99592.8360356769,23.5701788976988,383.593785425369
"79",79,99594.5646758381,20.3538852342471,385.081438927605
"80",80,99555.317726026,18.4459342531442,426.236339720888
"81",81,99560.4684897758,16.982929789158,422.548580435044
"82",82,99570.2554540424,15.1603320753226,414.584213882231
"83",83,99548.5542087168,10.979829202577,440.465962080614
"84",84,99545.9251283129,8.63405569261973,445.440815994479
"85",85,99545.0208677134,7.05118684151997,447.927945445113
"86",86,99551.327752601,3.92077626554097,444.751471133456
"87",87,99510.2264181465,1.35167873242427,488.421903121081
"88",88,99523.244169976,-1.33192538724489,478.087755411291
"89",89,99518.4319262056,-5.45138756320081,487.019461357635
"90",90,99510.8897998599,-7.4656665464777,496.575866686595
"91",91,99492.4123122693,-10.7717958010859,518.359483531812
"92",92,99508.0929888227,-15.0294545756296,506.93646575298
"93",93,99483.919104215,-18.4089306092025,534.48982639417
"94",94,99470.6655944896,-18.7303275071865,548.064733017576
"95",95,99455.2488424268,-24.3083272912052,569.059484864414
"96",96,99445.7338987796,-27.1773780552394,581.443479275663
"97",97,99468.3780250184,-31.1092750512806,562.73125003287
"98",98,99446.8243833654,-34.3938206615041,587.56943729615
"99",99,99437.5797578513,-35.9672851112572,598.387527259961
"100",100,99442.7343528624,-42.9121228509186,600.177769988557
"101",101,99432.7336221692,-45.534667232218,612.801045063058
"102",102,99420.9853060336,-49.5879865340586,628.602680500408
"103",103,99418.088745887,-54.0565686182653,635.967822731304
"104",104,99401.7473613575,-58.5477113039282,656.800349946464
"105",105,99389.3577845005,-62.4484994262112,673.090714925666
"106",106,99399.7010183889,-66.935036592065,667.234018203164
"107",107,99374.1043609627,-70.2052380166989,696.100877053966
"108",108,99368.0094503673,-76.393059672059,708.383609304802
"109",109,99364.2544482738,-80.6148912427983,716.360442969003
"110",110,99345.7081275672,-87.7044852618653,741.996357694635
"111",111,99330.7869515402,-89.7876149956199,759.000663455388
"112",112,99330.904380013,-96.0492788523137,765.144898839343
"113",113,99298.2924826848,-101.531960404265,803.239477719439
"114",114,99325.1101601584,-104.425211439611,779.315051281193
"115",115,99308.4028093081,-111.148013252703,802.745203944615
"116",116,99289.0886477001,-117.521124912109,828.432477211997
"117",117,99266.3730448958,-122.279653243289,855.906608347445
"118",118,99264.9419760883,-127.68517332199,862.743197233644
"119",119,99279.2158201434,-134.908106464834,855.692286321465
"120",120,99228.4214324223,-140.441620516816,912.020188094521
"121",121,99251.6420641563,-145.044241722523,893.402177566218
"122",122,99246.604599261,-150.852370725903,904.247771464908
"123",123,99208.4782997113,-157.045947074715,948.567647363411
"124",124,99216.0308152172,-164.688208278624,948.657393061436
"125",125,99186.4811665936,-170.592008461836,984.110841868251
"126",126,99190.6456988105,-177.500470543487,986.854771732975
"127",127,99181.3705891831,-186.154434195197,1004.78384501205
"128",128,99165.6367768297,-192.55393497823,1026.91715814848
"129",129,99160.4044461225,-197.264331721689,1036.8598855992
"130",130,99132.8844558035,-205.195995382973,1072.31153957947
"131",131,99142.2829334327,-212.819526031947,1070.53659259921
"132",132,99128.5965213884,-219.876618272037,1091.28009688364
"133",133,99089.8931946324,-227.111045634909,1137.21785100251
"134",134,99074.5334835746,-234.263563799071,1159.73008022449
"135",135,99084.8457195806,-241.537696787794,1156.69197720719
"136",136,99079.5668262701,-251.468099758555,1171.90127348841
"137",137,99068.0882657207,-257.386245454263,1189.29797973357
"138",138,99056.6417117645,-264.204486544395,1207.56277477993
"139",139,99037.4920395508,-274.572867505114,1237.08082795431
"140",140,99029.0421338419,-284.040269661623,1254.99813581971
"141",141,99006.551636352,-289.524559771896,1282.97292341985
"142",142,99003.6260072624,-301.032810276072,1297.40680301366
"143",143,98997.0807000732,-307.865363922516,1310.78466384933
"144",144,98970.3613004625,-316.754968035245,1346.39366757277
"145",145,98983.2713075404,-325.749939830012,1342.47863228962
