"","Day","S","I","R"
"1",1,99994.7015220728,58.0892047328543,-52.790726805646
"2",2,99994.7015220728,58.0892047328543,-52.790726805646
"3",3,99984.9302404839,57.8079377330869,-42.7381782169978
"4",4,99975.5839758512,59.7449366470686,-35.3289124982551
"5",5,99975.5839758512,59.7449366470686,-35.3289124982551
"6",6,99975.5839758512,59.7449366470686,-35.3289124982551
"7",7,99966.5453066798,58.7758458496296,-25.3211525293932
"8",8,99959.7831861306,60.4483007934327,-20.2314869240367
"9",9,99957.0604265312,60.2545334841854,-17.3149600153849
"10",10,99943.9748397475,61.8890231480553,-5.86386289558938
"11",11,99942.2042668963,60.6725541104297,-2.87682100668279
"12",12,99942.2042668963,60.6725541104297,-2.87682100668279
"13",13,99942.2042668963,60.6725541104297,-2.87682100668279
"14",14,99938.475897985,60.4024077132342,1.12169430173553
"15",15,99938.475897985,60.4024077132342,1.12169430173553
"16",16,99922.7504737842,61.992260788842,15.2572654269334
"17",17,99922.7504737842,61.992260788842,15.2572654269334
"18",18,99916.4342637566,63.0495669770567,20.5161692663282
"19",19,99902.0448456758,62.234110813645,35.7210435105236
"20",20,99902.0448456758,62.234110813645,35.7210435105236
"21",21,99892.5441536493,64.0624901285559,43.3933562221569
"22",22,99892.5441536493,64.0624901285559,43.3933562221569
"23",23,99892.5441536493,64.0624901285559,43.3933562221569
"24",24,99885.1554678063,63.1413879588812,51.7031442347931
"25",25,99880.4078684506,63.7641479134454,55.8279836360034
"26",26,99880.4078684506,63.7641479134454,55.8279836360034
"27",27,99880.4078684506,63.7641479134454,55.8279836360034
"28",28,99863.7813435787,63.6591020777302,72.5595543435595
"29",29,99863.7813435787,63.6591020777302,72.5595543435595
"30",30,99861.0627592406,63.7125863769488,75.2246543824422
"31",31,99843.6528980688,63.5162400175883,92.8308619135809
"32",32,99843.6528980688,63.5162400175883,92.8308619135809
"33",33,99843.6528980688,63.5162400175883,92.8308619135809
"34",34,99821.426262669,64.3040331594465,114.269704171565
"35",35,99821.426262669,64.3040331594465,114.269704171565
"36",36,99821.426262669,64.3040331594465,114.269704171565
"37",37,99819.1490907255,64.64947762944,116.201431645097
"38",38,99819.1490907255,64.64947762944,116.201431645097
"39",39,99809.6913955498,62.9228202873904,127.385784162764
"40",40,99798.5397885474,61.9687032009478,139.491508251658
"41",41,99795.8559109149,63.1578165739876,140.986272511135
"42",42,99794.6855638505,63.8898469821586,141.424589167334
"43",43,99784.663699297,61.1748018623993,154.161498840614
"44",44,99784.663699297,61.1748018623993,154.161498840614
"45",45,99784.663699297,61.1748018623993,154.161498840614
"46",46,99784.663699297,61.1748018623993,154.161498840614
"47",47,99770.0160369063,59.1922837699829,170.791679323694
"48",48,99770.0160369063,59.1922837699829,170.791679323694
"49",49,99763.1022258821,60.6809371825533,176.216836935358
"50",50,99758.8662603202,58.2211940947695,182.912545585035
"51",51,99758.8662603202,58.2211940947695,182.912545585035
"52",52,99754.6042678381,57.0211609441837,188.374571217682
"53",53,99748.2044234458,57.6960052078721,194.099571346298
"54",54,99743.347053659,55.811862103466,200.841084237502
"55",55,99737.7000296934,55.6009824919014,206.698987814657
"56",56,99727.5376273375,53.0995884201698,219.36278424233
"57",57,99727.5376273375,53.0995884201698,219.36278424233
"58",58,99706.8484930778,51.2354244971908,241.916082425002
"59",59,99706.8484930778,51.2354244971908,241.916082425002
"60",60,99706.8484930778,51.2354244971908,241.916082425002
"61",61,99694.4344394194,50.3471726521687,255.218387928397
"62",62,99694.4344394194,50.3471726521687,255.218387928397
"63",63,99678.4553378727,47.2051842708565,274.3394778564
"64",64,99668.659393024,43.7693768884411,287.57123008751
"65",65,99668.659393024,43.7693768884411,287.57123008751
"66",66,99668.659393024,43.7693768884411,287.57123008751
"67",67,99661.7219961784,42.7750963528675,295.502907468777
"68",68,99654.5513868352,41.1675784846261,304.281034680189
"69",69,99642.543759724,39.6763758377017,317.779864438319
"70",70,99642.543759724,39.6763758377017,317.779864438319
"71",71,99626.4422914627,37.0513326958094,336.506375841528
"72",72,99626.4422914627,37.0513326958094,336.506375841528
"73",73,99619.0316510332,32.3338719147468,348.634477052005
"74",74,99619.0316510332,31.4333042571216,349.53504470963
"75",75,99619.0316510332,31.4333042571216,349.53504470963
"76",76,99597.636383543,28.7063182116083,373.657298245382
"77",77,99596.0198755977,26.1985727186612,377.78155168365
"78",78,99590.6592759042,23.6274809657189,385.713243130129
"79",79,99590.2471297182,19.3001831682164,390.452687113578
"80",80,99569.2039410748,17.3410487512169,413.455010173943
"81",81,99569.2039410748,17.3410487512169,413.455010173943
"82",82,99563.3307985104,10.8687920815954,425.800409407986
"83",83,99563.3307985104,10.8687920815954,425.800409407986
"84",84,99563.3307985104,10.8687920815954,425.800409407986
"85",85,99547.0663747017,8.04148484353664,444.892140454768
"86",86,99544.9397858409,3.34190003578175,451.718314123312
"87",87,99537.3600052864,2.12696617476371,460.51302853883
"88",88,99523.5694344496,-0.924567387767127,477.355132938152
"89",89,99523.0910684944,-6.85522801160715,483.764159517212
"90",90,99498.1854931334,-10.3955467145043,512.210053581124
"91",91,99498.1854931334,-10.3955467145043,512.210053581124
"92",92,99498.1854931334,-10.3955467145043,512.210053581124
"93",93,99497.0597909239,-15.5758903665893,518.516099442689
"94",94,99482.3471731213,-22.3999036036696,540.052730482348
