"","Day","S","I","R"
"1",1,99990.918937491,47.1322187509332,-38.0511562419033
"2",2,99987.8815273458,47.1369303185799,-35.0184576643442
"3",3,99987.3702382404,48.9718801851217,-36.3421184255465
"4",4,99982.3986154467,51.6311745434225,-34.0297899901127
"5",5,99966.7049336408,51.5380848836021,-18.2430185244282
"6",6,99975.5848070707,51.4023344143059,-26.9871414850425
"7",7,99959.383577123,53.3127809060808,-12.6963580290977
"8",8,99965.9775119943,54.1169554480152,-20.0944674423101
"9",9,99975.5596568629,54.6883602877184,-30.2480171506361
"10",10,99961.9506123785,55.4618312431643,-17.4124436216608
"11",11,99945.0805874488,56.5401721553104,-1.62075960406369
"12",12,99939.8342616695,57.6861927366132,2.479545593895
"13",13,99937.8258899184,57.0499824182215,5.12412766340718
"14",14,99925.3586241141,58.130245064652,16.5111308212926
"15",15,99916.9237830563,58.5292091794617,24.5470077641994
"16",16,99912.5115182354,58.098765984633,29.3897157800095
"17",17,99915.7836800687,56.6877732925309,27.5285466387862
"18",18,99925.5759671649,58.2609327630813,16.1631000719778
"19",19,99929.628175305,59.6918474281822,10.6799772667738
"20",20,99910.4597711672,59.7282140781499,29.8120147546853
"21",21,99913.6467440596,58.8628157496532,27.4904401907448
"22",22,99908.3600836596,60.6773059530884,30.9626103873095
"23",23,99904.2075619742,60.7030264443211,35.0894115814754
"24",24,99903.4659263695,60.2712536396286,36.2628199908915
"25",25,99927.2679513444,61.7943875396523,10.9376611159307
"26",26,99928.5943613939,61.9671047803661,9.43853382577376
"27",27,99926.8567470496,63.5604976488315,9.58275530151796
"28",28,99907.3374107172,63.6477684400109,29.0148208428128
"29",29,99898.6252946771,65.2476265067801,36.1270788161417
"30",30,99907.5303495822,65.686328096772,26.7833223210316
"31",31,99898.545628386,65.5489818189664,35.9053897950194
"32",32,99890.6551109548,65.9992259078995,43.3456631373207
"33",33,99874.3502087238,67.9274518076744,57.722339468532
"34",34,99874.658976675,67.653157007609,57.6878663173942
"35",35,99885.1026892213,68.6205973309352,46.2767134477283
"36",36,99873.6427885217,68.5784401230601,57.7787713552786
"37",37,99851.343528494,68.9860155020399,79.6704560039111
"38",38,99823.3228021286,67.8857661111635,108.791431760237
"39",39,99818.0051554598,67.949132108321,114.045712431838
"40",40,99797.9552676239,68.2721166535465,133.772615722599
"41",41,99793.2545830493,68.1071589049009,138.638258045807
