"","Day","S","I","R"
"1",1,100001.921323913,44.0455304661704,-45.966854379416
"2",2,100006.023590193,48.0013836562413,-54.0249738491801
"3",3,99986.299540445,48.5165996393047,-34.8161400843538
"4",4,99969.3848622084,48.54516265994,-17.9300248682984
"5",5,99986.9008266256,49.2355546141005,-36.1363812397479
"6",6,99999.2522353702,50.7153859341764,-49.9676213043851
"7",7,99965.6620569454,51.8932401119059,-17.5552970572684
"8",8,99973.2665283029,50.1215758293316,-23.3881041322401
"9",9,99964.0717352449,53.724940190372,-17.796675435311
"10",10,99953.5039725907,53.7146610138662,-7.21863360455141
"11",11,99963.8465796976,52.5512906716315,-16.3978703692477
"12",12,99939.1258062923,53.5475704530903,7.32662325461844
"13",13,99952.5716383187,55.4971797894463,-8.0688181080994
"14",14,99937.0406115117,56.6717632820749,6.28762520620306
"15",15,99934.6847579558,56.66879501038,8.64644703380827
"16",16,99918.3708980691,58.6924301175305,22.9366718133697
"17",17,99914.4316456769,58.1608223805532,27.4075319425161
"18",18,99932.6444321393,60.0301530950393,7.32541476569023
"19",19,99913.8748255102,58.6511838321037,27.4739906577325
"20",20,99904.7151785073,57.6373218206373,37.6474996720746
"21",21,99927.3193549271,61.3011136048337,11.379531468049
"22",22,99895.1973715809,61.5755057146147,43.2271227044808
"23",23,99913.847241284,62.081108746139,24.0716499698419
"24",24,99905.8344528214,63.2350924012803,30.9304547773476
"25",25,99898.6233014042,62.8208980751016,38.5558005206812
"26",26,99904.7088800956,64.2655160655434,31.0256038388758
"27",27,99873.3086150926,66.0582150225753,60.633169884846
"28",28,99871.6972375983,64.6963067222144,63.606455679461
"29",29,99867.0567569423,66.0607670905931,66.882475967117
"30",30,99876.1090598032,64.8084323426724,59.0825078540943
"31",31,99874.5011593662,66.2991739687831,59.1996666649652
"32",32,99870.9409777151,64.9850771813923,64.0739451035241
"33",33,99861.7663035668,66.9635619916705,71.270134441582
"34",34,99861.695086441,65.4136540649342,72.8912594940376
"35",35,99859.4028300378,66.6134052147724,73.9837647474373
"36",36,99847.5286812458,68.2002264707234,84.2710922835082
"37",37,99855.0718324122,69.2473079295907,75.6808596582216
"38",38,99836.8950981627,67.4657133927949,95.639188444459
"39",39,99819.582273105,68.9703758814134,111.447351013592
"40",40,99841.8207086012,68.2210111595101,89.9582802393192
"41",41,99829.0118269414,69.9004663492545,101.087706709366
"42",42,99831.685674086,68.1682179779789,100.146107936054
"43",43,99810.3345071696,68.3816037548683,121.283889075505
"44",44,99817.0511095423,69.4110168642609,113.537873593429
"45",45,99796.3222609284,66.8230105262736,136.854728545379
"46",46,99810.6190027499,68.8184860110949,120.562511238965
"47",47,99802.2024773538,67.7456140185474,130.051908627632
"48",48,99794.7017239832,65.5502425086081,139.7480335082
"49",49,99792.703529406,68.0125962189553,139.283874375077
"50",50,99784.2684496402,68.6285364762116,147.103013883552
"51",51,99789.2583600544,66.0655513445968,144.676088600985
"52",52,99770.4003079367,67.1697153935643,162.429976669764
"53",53,99775.4244740122,64.5952915499132,159.980234437865
"54",54,99773.1907902515,65.2065428753623,161.602666873182
"55",55,99756.8433226851,64.7470877660557,178.409589548887
"56",56,99756.9578029667,64.1040657780425,178.938131255246
"57",57,99732.8956387918,64.5313394367285,202.573021771447
"58",58,99754.4225815547,61.7458602862062,183.831558159124
"59",59,99723.6338539038,61.8591108066621,214.507035289492
"60",60,99736.9411599835,62.1832103508574,200.875629665646
"61",61,99740.1933995842,60.6429095389291,199.163690876828
"62",62,99723.68554674,60.9451076416477,215.369345618313
"63",63,99716.5981222851,59.6957426027845,223.706135112113
"64",64,99724.4975964865,57.1631642880395,218.339239225454
"65",65,99708.6956692824,56.539268306879,234.765062410726
"66",66,99710.0599541247,56.6054259281962,233.334619947108
"67",67,99679.1506868804,54.7912452438776,266.058067875737
"68",68,99695.7141332508,56.5000283041775,247.785838444988
"69",69,99680.6192032714,53.904437677173,265.476359051444
"70",70,99701.1032200899,53.0506660517946,245.846113858332
"71",71,99688.3636463442,50.0327796424319,261.603574013401
"72",72,99673.1962599532,51.3932400277449,275.410500019078
"73",73,99671.2738905221,49.0766439068754,279.649465571032
"74",74,99660.1356435664,47.1907738915294,292.673582542099
"75",75,99636.5059655865,46.0968859282329,317.3971484853
"76",76,99637.2819441941,43.8182881030245,318.899767702912
"77",77,99638.0376715793,42.2528959563086,319.709432464434
"78",78,99630.8049230641,40.3289692456674,328.866107690197
"79",79,99630.5328193949,38.5609949837068,330.906185621366
"80",80,99624.7901804888,35.4884840234826,339.721335487696
"81",81,99611.8289911145,33.555038355669,354.615970529819
"82",82,99624.0545030856,34.1319415947819,341.81355531966
"83",83,99602.4692554085,30.6875216766616,366.8432229148
"84",84,99601.6464118724,28.3482972449043,370.005290882739
"85",85,99579.6848186665,28.2714826780092,392.043698655474
"86",86,99577.9202603635,25.1071696098663,396.972570026629
"87",87,99576.0142629479,22.8886804917442,401.097056560411
"88",88,99571.8459423555,21.2055178691873,406.948539775328
"89",89,99569.2782616311,16.4588521032675,414.262886265619
"90",90,99552.9272355832,16.3605746786611,430.712189738113
"91",91,99550.1099778026,12.9672176701903,436.922804527173
"92",92,99535.9333084705,9.90005456008064,454.166636969422
"93",93,99544.8306796143,7.16345322750249,448.005867158152
"94",94,99531.1624523949,4.69066100254935,464.146886602556
"95",95,99514.0204649914,3.43306338312217,482.546471625521
"96",96,99506.4091958453,-0.476190994239076,494.066995148973
"97",97,99492.8887423224,-3.87114182854629,510.982399506189
"98",98,99509.8775563204,-7.12701411153946,497.249457791159
"99",99,99493.4262705958,-10.3377339202518,516.91146332444
"100",100,99477.7238556276,-13.3681487996687,535.644293172115
"101",101,99468.7833891554,-17.4064466036249,548.623057448239
"102",102,99464.654701849,-18.6967158288747,554.042013979841
"103",103,99461.4348646328,-24.5129072191172,563.078042586284
"104",104,99440.3847175234,-23.7243748553951,583.339657331963
"105",105,99449.3533830684,-31.7303047355603,582.376921667176
"106",106,99450.7276327351,-35.9470050421346,585.219372307018
"107",107,99439.934292626,-39.4957327949808,599.561440168953
"108",108,99411.8777682791,-41.3410594551876,629.463291176082
"109",109,99424.3456600699,-44.100841835422,619.755181765493
"110",110,99408.9524745972,-48.8263838036681,639.873909206458
"111",111,99401.6138274704,-53.5537479218082,651.93992045137
"112",112,99386.9471334108,-58.1060589520864,671.158925541316
"113",113,99381.507047729,-61.8975373761751,680.390489647128
"114",114,99369.2226549881,-63.4698462355499,694.24719124742
"115",115,99355.9766359102,-70.7665108447471,714.789874934543
"116",116,99343.3396902616,-74.3859984014491,731.046308139811
"117",117,99340.1661521199,-80.9075910532061,740.74143893335
"118",118,99341.4584756489,-84.4611925656416,743.002716916786
"119",119,99325.4936776414,-90.9859829482612,765.492305306856
