"","Day","S","I","R"
"1",1,100008.282228506,45.09477174703,-53.3770002531565
"2",2,99998.9288609894,46.4279380585327,-45.3567990478883
"3",3,99995.6972455926,47.4127244481533,-43.1099700407394
"4",4,99985.1471379292,50.2100379554998,-35.3571758847341
"5",5,99985.1471379292,50.2100379554998,-35.3571758847341
"6",6,99985.1471379292,50.2100379554998,-35.3571758847341
"7",7,99979.2417806392,52.0354419389834,-31.2772225781875
"8",8,99974.4204171563,51.267859044394,-25.6882762006973
"9",9,99970.8593925018,53.0635912625242,-23.9229837643164
"10",10,99970.8593925018,53.0635912625242,-23.9229837643164
"11",11,99964.7836792884,54.7676042546419,-19.5512835430901
"12",12,99938.8296516841,55.877866107056,5.29248220885115
"13",13,99938.8296516841,55.877866107056,5.29248220885115
"14",14,99937.9018643007,56.8056534904049,5.29248220885115
"15",15,99937.9018643007,56.8056534904049,5.29248220885115
"16",16,99936.6604873889,58.0470304022625,5.29248220885115
"17",17,99933.7937425723,59.3083859368735,6.89787149081981
"18",18,99921.3245629244,59.133827173416,19.5416099021792
"19",19,99921.3245629244,59.133827173416,19.5416099021792
"20",20,99914.4710632412,61.6689271775614,23.8600095812507
"21",21,99914.4710632412,61.6689271775614,23.8600095812507
"22",22,99912.4890342686,61.8852918804465,25.6256738509995
"23",23,99906.3057244568,61.5530403474573,32.1412351957819
"24",24,99906.3057244568,61.5530403474573,32.1412351957819
"25",25,99884.8525703946,63.3501873120052,51.7972422934315
"26",26,99884.8525703946,63.3501873120052,51.7972422934315
"27",27,99884.8525703946,63.3501873120052,51.7972422934315
"28",28,99883.1769900035,65.025767703098,51.7972422934315
"29",29,99883.1769900035,65.025767703098,51.7972422934315
"30",30,99880.4125622838,67.7901954227939,51.7972422934315
"31",31,99871.4759537838,65.6101415274612,62.9139046886989
"32",32,99871.4759537838,65.6101415274612,62.9139046886989
"33",33,99871.4759537838,65.6101415274612,62.9139046886989
"34",34,99871.4759537838,65.6101415274612,62.9139046886989
"35",35,99848.4854122132,68.9636464079388,82.5509413788956
"36",36,99846.9199807468,67.1955551994056,85.8844640538423
"37",37,99832.4816758281,67.528418961602,99.9899052103476
"38",38,99832.4816758281,67.528418961602,99.9899052103476
"39",39,99832.4816758281,67.528418961602,99.9899052103476
"40",40,99832.4816758281,67.528418961602,99.9899052103476
"41",41,99820.1055506585,68.7207423246166,111.173707016902
"42",42,99820.1055506585,68.7207423246166,111.173707016902
"43",43,99820.1055506585,68.7207423246166,111.173707016902
"44",44,99817.5301148099,66.9177981722497,115.552087017812
"45",45,99812.9475195538,67.9698267239947,119.082653722253
"46",46,99812.0126854835,68.6490444628132,119.338270053734
"47",47,99800.9399247384,67.81149251028,131.24858275135
"48",48,99800.9399247384,67.81149251028,131.24858275135
